['CV', 166, 'UV', 19, 'fold', 'elfedit', 'V3', 'V2', 0.972972972972973, 0.08721184730529785]
['CV', 255, 'BV', 7, 'sleep', 'libSDL2-2.0.so', 'V0', 'V0', 0.9815083393763597, 0.9288730621337891]
['BV', 60, 'UV', 87, 'codeblocks', 'objdump', 'V1', 'V0', 0.9871688359641835, 76.09064626693726]
['BV', 50, 'CV', 41, 'sort', 'nice', 'V0', 'V2', 0.9568345323741008, 0.05945992469787598]
['CV', 182, 'UV', 19, 'du', 'elfedit', 'V0', 'V2', 0.9939668174962293, 0.12911581993103027]
['CV', 184, 'BV', 79, 'ptx', 'bash', 'V0', 'V3', 0.970565749235474, 4.064644813537598]
['CV', 58, 'UV', 39, 'readlink', 'find', 'V2', 'V3', 0.9648506151142355, 0.49598050117492676]
['UV', 13, 'CV', 144, 'strings', 'who', 'V2', 'V3', 0.9945549738219895, 1.2023603916168213]
['BV', 9, 'CV', 238, 'dot', 'md5sum', 'V2', 'V0', 0.9921875, 0.024788618087768555]
['BV', 8, 'CV', 24, 'cluster', 'factor', 'V2', 'V2', 0.9774605559729527, 0.21831321716308594]
['CV', 189, 'BV', 50, 'uptime', 'sort', 'V0', 'V0', 0.8694029850746269, 0.06163787841796875]
['CV', 104, 'BV', 29, 'mkfifo', 'perl', 'V3', 'V3', 0.9885949627752257, 2.3595356941223145]
['BV', 40, 'CV', 213, 'lua', 'whoami', 'V2', 'V0', 0.9971978984238179, 0.3374910354614258]
['UV', 33, 'CV', 4, 'ar', 'basename', 'V3', 'V2', 0.9967091731797614, 0.7236347198486328]
['BV', 12, 'CV', 44, 'sort', 'true', 'V2', 'V2', 0.9826946847960445, 0.08497953414916992]
['CV', 155, 'UV', 35, 'cat', 'size', 'V3', 'V3', 0.9815648445873526, 1.0792434215545654]
['BV', 17, 'CV', 340, 'codeblocks', 'fold', 'V2', 'V1', 0.9993647567018168, 2.1958706378936768]
['BV', 51, 'CV', 160, 'cp', 'shred', 'V0', 'V3', 0.8967452300785634, 0.18157148361206055]
['UV', 35, 'CV', 87, 'size', 'touch', 'V3', 'V3', 0.9921681780708986, 1.5929994583129883]
['UV', 6, 'CV', 245, 'sdiff', '[', 'V2', 'V0', 0.9342560553633218, 0.06424927711486816]
['CV', 219, 'UV', 63, 'cp', 'elfedit', 'V0', 'V1', 0.9768115942028985, 0.131361722946167]
['BV', 78, 'CV', 2, 'make', 'unlink', 'V2', 'V2', 0.9903614457831326, 0.29973530769348145]
['UV', 22, 'CV', 118, 'nm', 'sha1sum', 'V3', 'V3', 0.9941176470588236, 1.0981965065002441]
['UV', 4, 'CV', 217, 'cmp', 'chmod', 'V2', 'V0', 0.8937728937728938, 0.06901431083679199]
['CV', 30, 'BV', 26, 'pinky', 'geany', 'V2', 'V2', 0.9924812030075187, 6.616426706314087]
['UV', 66, 'CV', 304, 'diff3', 'chmod', 'V0', 'V1', 0.9101123595505618, 0.10883307456970215]
['CV', 75, 'BV', 67, 'tr', 'cluster', 'V2', 'V0', 0.9539316918189039, 0.2568490505218506]
['UV', 58, 'BV', 25, 'objcopy', 'git', 'V1', 'V3', 0.9679580375723367, 130.11011743545532]
['CV', 70, 'BV', 61, 'vdir', 'cmp', 'V2', 'V0', 0.9762532981530343, 0.07504153251647949]
['UV', 31, 'CV', 142, 'gprof', 'nohup', 'V3', 'V3', 0.9960293825689894, 1.0810165405273438]
['CV', 313, 'BV', 31, 'logname', 'codeblocks', 'V1', 'V0', 0.9962901623053991, 2.445894718170166]
['UV', 85, 'CV', 59, 'elfedit', 'head', 'V0', 'V2', 0.9727626459143969, 0.07885336875915527]
['UV', 12, 'CV', 205, 'c++filt', 'sha1sum', 'V2', 'V0', 0.9969512195121951, 0.7351582050323486]
['CV', 247, 'BV', 34, 'shred', 'svn', 'V0', 'V0', 0.9789069990412272, 0.5726549625396729]
['UV', 24, 'CV', 79, 'readelf', 'fold', 'V3', 'V2', 0.994776119402985, 0.41313838958740234]
['CV', 290, 'UV', 14, 'tail', 'objcopy', 'V1', 'V2', 0.9765152823346572, 1.44081449508667]
['UV', 43, 'CV', 169, 'sdiff', 'sort', 'V3', 'V3', 0.8953211736716892, 0.27985191345214844]
['UV', 68, 'BV', 4, 'diff', 'geany', 'V0', 'V3', 0.9870013811032577, 18.596413135528564]
['CV', 5, 'UV', 54, 'mkdir', 'as', 'V2', 'V1', 0.9746599093091491, 1.7536687850952148]
['CV', 151, 'BV', 71, 'md5sum', 'ruby', 'V3', 'V1', 1.0, 0.014075517654418945]
['CV', 263, 'UV', 56, 'unlink', 'c++filt', 'V1', 'V1', 0.9843273835437527, 0.6070535182952881]
['CV', 42, 'BV', 30, 'dircolors', 'bash', 'V2', 'V0', 0.9830663615560641, 1.5040509700775146]
['CV', 83, 'BV', 12, 'tac', 'sort', 'V2', 'V2', 0.9264214046822743, 0.27332568168640137]
['CV', 70, 'UV', 15, 'vdir', 'ld', 'V2', 'V2', 0.9757477768795473, 3.6366021633148193]
['CV', 95, 'BV', 54, 'du', 'lua', 'V3', 'V3', 0.9516698343741515, 1.7306742668151855]
['UV', 12, 'CV', 202, 'c++filt', 'chown', 'V2', 'V0', 0.9953261100488634, 1.1108615398406982]
['UV', 16, 'CV', 62, 'gprof', 'unexpand', 'V2', 'V2', 0.9968341907400079, 0.8184454441070557]
['UV', 33, 'CV', 318, 'ar', 'who', 'V3', 'V1', 0.9971352568037651, 0.8953287601470947]
['UV', 62, 'CV', 180, 'ar', 'fmt', 'V1', 'V0', 0.9971802618328298, 0.6914732456207275]
['UV', 58, 'BV', 37, 'objcopy', 'geany', 'V1', 'V1', 0.9748669426374926, 119.27114343643188]
['CV', 161, 'UV', 72, 'pathchk', 'find', 'V3', 'V0', 0.90847711927982, 0.2505776882171631]
['UV', 43, 'CV', 325, 'sdiff', 'md5sum', 'V3', 'V1', 0.9473684210526316, 0.06366825103759766]
['CV', 3, 'UV', 74, 'test', 'strip', 'V2', 'V0', 0.9810650887573964, 1.1282169818878174]
['UV', 54, 'CV', 46, 'as', 'cut', 'V1', 'V2', 0.995711605467703, 1.5522010326385498]
['BV', 57, 'CV', 176, 'svn', 'unlink', 'V2', 'V0', 0.9961575408261287, 0.28859567642211914]
['BV', 78, 'CV', 125, 'make', 'split', 'V2', 'V3', 0.9854077253218884, 0.6717658042907715]
['BV', 64, 'CV', 260, 'openssl', 'ln', 'V2', 'V0', 0.9973333333333333, 1.555863380432129]
['CV', 341, 'UV', 54, 'uniq', 'as', 'V1', 'V1', 0.9802889158903739, 1.294243574142456]
['CV', 195, 'BV', 74, 'chgrp', 'git', 'V0', 'V1', 0.9890687841600495, 3.800356864929199]
['CV', 2, 'UV', 16, 'unlink', 'gprof', 'V2', 'V2', 0.9781572676727561, 0.7939622402191162]
['BV', 41, 'CV', 199, 'libvlccore.so', 'expand', 'V1', 'V0', 0.9994807892004154, 1.0313851833343506]
['CV', 137, 'UV', 56, 'cksum', 'c++filt', 'V3', 'V1', 0.9753663198131238, 1.0105161666870117]
['CV', 340, 'BV', 78, 'fold', 'make', 'V1', 'V2', 0.9697117733268197, 0.3062715530395508]
['UV', 51, 'CV', 78, 'nm', 'rm', 'V1', 'V2', 0.9924091090691171, 1.5306782722473145]
['CV', 220, 'UV', 19, 'cut', 'elfedit', 'V0', 'V2', 0.9772209567198178, 0.06008648872375488]
['BV', 2, 'CV', 39, 'cmp', 'whoami', 'V1', 'V2', 0.9534883720930233, 0.047892093658447266]
['CV', 181, 'BV', 21, 'dir', 'cp', 'V0', 'V1', 0.9556025369978858, 0.19253039360046387]
['CV', 240, 'UV', 45, 'link', 'cmp', 'V0', 'V1', 0.8457831325301205, 0.038933753967285156]
['CV', 230, 'UV', 76, 'yes', 'as', 'V0', 'V0', 0.987444713939221, 0.8236536979675293]
['UV', 43, 'CV', 144, 'sdiff', 'who', 'V3', 'V3', 0.9310344827586207, 0.11234283447265625]
['BV', 81, 'CV', 345, 'dot', 'rmdir', 'V1', 'V1', 0.9904761904761905, 0.01964426040649414]
['CV', 344, 'UV', 79, 'tac', 'strings', 'V1', 'V0', 0.9598158225198828, 1.7909343242645264]
['BV', 9, 'UV', 70, 'dot', 'locate', 'V2', 'V0', 0.9943019943019943, 0.07088422775268555]
['CV', 280, 'UV', 11, 'pr', 'ranlib', 'V1', 'V2', 0.9722827162938033, 1.2626609802246094]
['BV', 80, 'UV', 16, 'cluster', 'gprof', 'V1', 'V2', 0.9521419009370816, 4.112886905670166]
['CV', 112, 'BV', 26, 'expand', 'geany', 'V3', 'V2', 0.993650509747809, 6.893496990203857]
['CV', 97, 'UV', 4, 'ptx', 'cmp', 'V3', 'V2', 0.9523809523809523, 0.11165118217468262]
['CV', 205, 'BV', 4, 'sha1sum', 'geany', 'V0', 'V3', 0.9948384948384948, 5.289970397949219]
['CV', 257, 'UV', 23, 'tac', 'strip', 'V0', 'V3', 0.9613100288477855, 2.143094778060913]
['CV', 332, 'BV', 53, '[', 'ssh', 'V1', 'V2', 0.9889032454206886, 2.1798043251037598]
['CV', 70, 'BV', 66, 'vdir', 'lua', 'V2', 'V1', 0.9617194854094759, 1.3585400581359863]
