['UO', 3, 'CO', 237, 'nm', 'nproc', 'O1', 'O2', 0.9937823834196892, 0.8486394882202148]
['CO', 216, 'UO', 56, 'dir', 'elfedit', 'O2', 'O3', 0.9903567984570878, 0.2247159481048584]
['BO', 75, 'UO', 0, 'gvmap', 'locate', 'O1', 'O1', 0.9400570884871551, 0.8943696022033691]
['CO', 127, 'BO', 40, 'pr', 'lua', 'O1', 'O0', 0.9659276546091016, 1.5974228382110596]
['CO', 260, 'UO', 84, 'sha256sum', 'sdiff', 'O2', 'O0', 0.9183673469387755, 0.11372852325439453]
['CO', 194, 'BO', 46, 'tr', 'ruby', 'O1', 'O3', 0.9918973206686412, 7.6041059494018555]
['UO', 69, 'CO', 9, 'as', 'du', 'O0', 'O3', 0.9967920156834789, 6.216706275939941]
['UO', 76, 'CO', 238, 'addr2line', 'expand', 'O0', 'O2', 0.996008553100499, 1.5856051445007324]
['BO', 29, 'CO', 377, 'libvlc.so.12.0.0', 'false', 'O2', 'O0', 0.9926547743966422, 0.4332597255706787]
['CO', 288, 'BO', 67, 'uname', 'libSDL2-2.0.so.0.16.0', 'O2', 'O1', 0.9853869969040248, 1.5775139331817627]
['CO', 171, 'UO', 24, 'nohup', 'diff', 'O1', 'O2', 0.9116321009918846, 0.2008209228515625]
['UO', 66, 'CO', 83, 'nm', 'csplit', 'O0', 'O3', 0.9967338051170387, 2.4087860584259033]
['BO', 79, 'CO', 241, 'bash', 'chown', 'O3', 'O2', 0.9940356109113235, 3.861649513244629]
['CO', 160, 'BO', 67, 'cut', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9755231917757924, 2.443588972091675]
['CO', 250, 'UO', 17, 'sum', 'objdump', 'O2', 'O1', 0.9831000792183786, 1.7180421352386475]
['UO', 45, 'CO', 371, 'strip', 'tsort', 'O3', 'O0', 0.9929015084294588, 2.130610942840576]
['CO', 183, 'UO', 12, 'link', 'gprof', 'O1', 'O1', 0.9737871674491393, 0.9563384056091309]
['BO', 25, 'CO', 345, 'dot', 'chown', 'O3', 'O0', 0.9902755267423015, 0.06828689575195312]
['BO', 66, 'UO', 74, 'svn', 'ld', 'O2', 'O0', 0.9753025029007127, 20.616318225860596]
['CO', 7, 'BO', 15, 'fmt', 'diff', 'O3', 'O0', 0.9220389805097451, 0.33716869354248047]
['CO', 192, 'UO', 58, 'shred', 'objdump', 'O1', 'O3', 0.9763001974983542, 2.966916084289551]
['CO', 365, 'UO', 67, 'chmod', 'strip', 'O0', 'O0', 0.9815986198964922, 4.100044250488281]
['BO', 63, 'CO', 77, 'cluster', 'env', 'O0', 'O3', 0.9928425357873211, 0.35843563079833984]
['BO', 56, 'CO', 408, 'libvlc.so.12.0.0', 'fold', 'O3', 'O0', 0.9932203389830508, 0.47658634185791016]
['UO', 50, 'CO', 40, 'strings', 'sync', 'O3', 'O3', 0.9960369881109643, 0.7845509052276611]
['BO', 28, 'CO', 411, 'ruby', 'sort', 'O0', 'O0', 0.9990748694905174, 21.219745874404907]
['CO', 329, 'UO', 78, 'stdbuf', 'elfedit', 'O0', 'O0', 0.9771615008156607, 0.1253974437713623]
['UO', 19, 'BO', 35, 'cmp', 'make', 'O1', 'O3', 0.9590235396687009, 0.5233590602874756]
['UO', 52, 'BO', 4, 'ld', 'libgeany.so.0.0.0', 'O3', 'O2', 0.9771577448574631, 152.21622943878174]
['UO', 53, 'CO', 17, 'gprof', 'stdbuf', 'O3', 'O3', 0.995592065718293, 1.1662046909332275]
['UO', 63, 'CO', 158, 'cmp', 'true', 'O3', 'O1', 0.9364406779661016, 0.058226585388183594]
['CO', 377, 'UO', 8, 'false', 'c++filt', 'O0', 'O1', 0.9761448349307774, 0.9637420177459717]
['BO', 67, 'CO', 14, 'libSDL2-2.0.so.0.16.0', 'stty', 'O1', 'O3', 0.9953989587117085, 2.993257761001587]
['CO', 171, 'UO', 50, 'nohup', 'strings', 'O1', 'O3', 0.9757227984992275, 0.9884324073791504]
['BO', 19, 'CO', 153, 'libvlccore.so.9.0.0', 'nice', 'O1', 'O1', 0.9961330239752514, 2.227281093597412]
