['CO', 277, 'UO', 45, 'who', 'strip', 'O2', 'O3', 0.9818537626756805, 1.3551106452941895]
['UO', 9, 'CO', 12, 'strings', 'ptx', 'O1', 'O3', 0.994001199760048, 1.7224986553192139]
['BO', 65, 'CO', 336, 'gvmap', 'tee', 'O0', 'O0', 0.9811507936507936, 0.48803234100341797]
['UO', 49, 'BO', 64, 'c++filt', 'dot', 'O3', 'O0', 0.997692662667282, 0.2999763488769531]
['CO', 40, 'BO', 57, 'sync', 'libvlccore.so.9.0.0', 'O3', 'O3', 0.9935538913641103, 2.836205244064331]
['UO', 54, 'CO', 296, 'addr2line', 'shred', 'O3', 'O2', 0.9901960784313726, 1.3953211307525635]
['CO', 62, 'BO', 75, 'printf', 'gvmap', 'O3', 'O1', 0.9234323432343234, 0.3430759906768799]
['BO', 48, 'CO', 103, 'libvlccore.so.9.0.0', 'ln', 'O0', 'O3', 0.9983169705469845, 8.49397087097168]
['CO', 210, 'BO', 0, 'stat', 'codeblocks', 'O2', 'O1', 0.989453675884481, 7.512595176696777]
['BO', 6, 'UO', 45, 'codeblocks', 'strip', 'O0', 'O3', 0.9861203889260002, 90.70072817802429]
['BO', 21, 'UO', 70, 'cp', 'ranlib', 'O1', 'O0', 0.9813789632611978, 5.077634334564209]
['CO', 368, 'UO', 23, 'cut', 'cmp', 'O0', 'O2', 0.9201331114808652, 0.09288382530212402]
['CO', 136, 'UO', 70, 'expr', 'ranlib', 'O1', 'O0', 0.9885210891617725, 2.5034687519073486]
['UO', 54, 'CO', 255, 'addr2line', 'numfmt', 'O3', 'O2', 0.9926215277777778, 1.075502872467041]
['CO', 288, 'BO', 22, 'uname', 'perl', 'O2', 'O0', 0.9959048224246275, 2.5214128494262695]
['CO', 54, 'BO', 2, 'true', 'perl', 'O3', 'O1', 0.9927615327167232, 2.4703094959259033]
['CO', 357, 'UO', 51, 'split', 'objcopy', 'O0', 'O3', 0.97185515702763, 2.1890408992767334]
['CO', 232, 'UO', 44, 'tee', 'nm', 'O2', 'O3', 0.9770562770562771, 0.9563875198364258]
['CO', 249, 'UO', 49, 'echo', 'c++filt', 'O2', 'O3', 0.9841664781723591, 0.7144820690155029]
['BO', 54, 'CO', 367, 'lua', 'cp', 'O3', 'O0', 0.9735703988467083, 2.9358246326446533]
