['UO', 39, 'BO', 16, 'size', 'make', 'O2', 'O0', 0.9738482590846891, 6.446328163146973]
['CO', 184, 'BO', 72, 'uname', 'make', 'O1', 'O2', 0.9511090991398823, 0.38095641136169434]
['BO', 42, 'UO', 67, 'cmp', 'strip', 'O1', 'O0', 0.9929228591648974, 2.41481351852417]
['CO', 397, 'BO', 50, '[', 'perl', 'O0', 'O2', 0.9875188858963411, 3.591799259185791]
['CO', 197, 'UO', 71, 'nl', 'c++filt', 'O1', 'O0', 0.9900156896305805, 1.8827235698699951]
['BO', 29, 'CO', 221, 'libvlc.so.12.0.0', 'printenv', 'O2', 'O2', 0.9946149703823371, 0.3171389102935791]
['CO', 230, 'UO', 12, 'pwd', 'gprof', 'O2', 'O1', 0.9793170731707317, 1.0219802856445312]
['UO', 54, 'CO', 41, 'addr2line', 'echo', 'O3', 'O3', 0.9969156201806565, 0.8970820903778076]
['BO', 67, 'UO', 21, 'libSDL2-2.0.so.0.16.0', 'sdiff', 'O1', 'O1', 0.9944524843222383, 3.1250462532043457]
['CO', 65, 'BO', 33, 'false', 'sort', 'O3', 'O2', 0.9247648902821317, 0.15308260917663574]
['BO', 63, 'CO', 210, 'cluster', 'stat', 'O0', 'O2', 0.9770009199632015, 0.7725493907928467]
['BO', 46, 'CO', 60, 'ruby', 'base64', 'O3', 'O3', 0.99938698361884, 5.734708309173584]
['BO', 62, 'CO', 339, 'bash', 'wc', 'O1', 'O0', 0.9965691413323168, 3.0829625129699707]
['UO', 19, 'CO', 96, 'cmp', 'fold', 'O1', 'O3', 0.912568306010929, 0.06996726989746094]
['CO', 199, 'BO', 82, 'sha224sum', 'cp', 'O1', 'O3', 0.9165154264972777, 0.20120644569396973]
['BO', 75, 'CO', 212, 'gvmap', 'test', 'O1', 'O2', 0.9624739402362752, 0.29100704193115234]
['CO', 21, 'UO', 5, 'mktemp', 'readelf', 'O3', 'O1', 0.9633598340822676, 0.7258422374725342]
['CO', 86, 'BO', 31, 'timeout', 'bash', 'O3', 'O2', 0.9824085337325723, 2.87410569190979]
['UO', 26, 'CO', 320, 'nm', 'dir', 'O2', 'O0', 0.9805580558055805, 4.147346496582031]
['CO', 303, 'BO', 11, 'sha224sum', 'ssh', 'O2', 'O1', 0.9831410825199645, 1.4193243980407715]
['CO', 258, 'UO', 16, 'dircolors', 'size', 'O2', 'O1', 0.9774388970127429, 1.0445094108581543]
['CO', 85, 'UO', 21, '[', 'sdiff', 'O3', 'O1', 0.9140401146131805, 0.11006760597229004]
['BO', 50, 'CO', 238, 'perl', 'expand', 'O2', 'O2', 0.9974839435873667, 2.4454450607299805]
['UO', 85, 'CO', 232, 'locate', 'tee', 'O0', 'O2', 0.9858356940509915, 0.287808895111084]
['UO', 33, 'CO', 53, 'objcopy', 'chmod', 'O2', 'O3', 0.9934931506849315, 1.8176052570343018]
['CO', 137, 'UO', 19, 'chown', 'cmp', 'O1', 'O1', 0.9471598414795245, 0.12480974197387695]
['UO', 7, 'BO', 61, 'ranlib', 'git', 'O1', 'O1', 0.9664945661985053, 77.86002230644226]
['BO', 64, 'CO', 328, 'dot', 'dirname', 'O0', 'O0', 0.9794520547945206, 0.037302494049072266]
['CO', 208, 'BO', 9, 'sha384sum', 'git', 'O2', 'O0', 0.9913359902963091, 4.30847692489624]
['UO', 74, 'BO', 46, 'ld', 'ruby', 'O0', 'O3', 0.9761207826220921, 259.29008889198303]
['CO', 226, 'BO', 59, 'uptime', 'libgeany.so.0.0.0', 'O2', 'O3', 0.9941727520837943, 8.89348554611206]
['BO', 71, 'UO', 86, 'libSDL2-2.0.so.0.16.0', 'xargs', 'O0', 'O0', 0.998158379373849, 4.511730194091797]
['CO', 223, 'UO', 21, 'join', 'sdiff', 'O2', 'O1', 0.9135618479880775, 0.10087108612060547]
['UO', 4, 'BO', 74, 'strip', 'dot', 'O1', 'O1', 0.99822032390105, 0.3841843605041504]
['BO', 76, 'UO', 0, 'openssl', 'locate', 'O2', 'O1', 0.9911239550005161, 7.029995918273926]
['BO', 80, 'CO', 124, 'ssh', 'mkfifo', 'O3', 'O1', 0.9940793368857312, 1.2612814903259277]
['UO', 64, 'CO', 230, 'diff', 'pwd', 'O3', 'O2', 0.9788359788359788, 0.16791963577270508]
['BO', 46, 'CO', 322, 'ruby', 'users', 'O3', 'O0', 0.999386461244802, 5.419151067733765]
['CO', 237, 'UO', 5, 'nproc', 'readelf', 'O2', 'O1', 0.970160116448326, 0.4408142566680908]
['UO', 29, 'CO', 265, 'as', 'od', 'O2', 'O2', 0.9955079931298718, 2.0672709941864014]
['UO', 71, 'CO', 339, 'c++filt', 'wc', 'O0', 'O0', 0.9980312192378006, 2.1136600971221924]
['BO', 2, 'UO', 30, 'perl', 'ranlib', 'O1', 'O2', 0.9914045354791514, 54.895835638046265]
['CO', 233, 'BO', 72, 'chgrp', 'make', 'O2', 'O2', 0.9490968801313628, 0.7441747188568115]
['UO', 11, 'CO', 160, 'ld', 'cut', 'O1', 'O1', 0.9942076954902772, 1.6917529106140137]
['BO', 50, 'CO', 137, 'perl', 'chown', 'O2', 'O1', 0.995052405442354, 5.136202096939087]
['BO', 26, 'CO', 172, 'gvmap', 'yes', 'O3', 'O1', 0.975397973950796, 0.25810742378234863]
['UO', 44, 'CO', 283, 'nm', 'mv', 'O3', 'O2', 0.9736693624224186, 3.220275402069092]
['BO', 10, 'CO', 223, 'openssl', 'join', 'O3', 'O2', 0.9975728155339806, 2.71250057220459]
['UO', 46, 'CO', 246, 'readelf', 'sha1sum', 'O3', 'O2', 0.992077781778898, 0.5098838806152344]
['UO', 76, 'BO', 33, 'addr2line', 'sort', 'O0', 'O2', 0.9920529801324504, 4.35804295539856]
['BO', 19, 'CO', 175, 'libvlccore.so.9.0.0', 'readlink', 'O1', 'O1', 0.9953930319608407, 2.7730283737182617]
['CO', 319, 'BO', 76, 'fmt', 'openssl', 'O0', 'O2', 0.9907478797224364, 4.034983396530151]
['UO', 16, 'CO', 198, 'size', 'rm', 'O1', 'O1', 0.9834155972359329, 1.9684174060821533]
['BO', 33, 'CO', 176, 'sort', 'head', 'O2', 'O1', 0.9520153550863724, 0.18975353240966797]
['CO', 307, 'UO', 15, 'sort', 'elfedit', 'O2', 'O1', 0.9710144927536232, 0.2299971580505371]
['CO', 125, 'UO', 31, 'mktemp', 'c++filt', 'O1', 'O2', 0.9671422395157804, 1.261591911315918]
['CO', 109, 'BO', 66, 'basename', 'svn', 'O1', 'O2', 0.979296066252588, 0.5949397087097168]
['CO', 149, 'UO', 63, 'split', 'cmp', 'O1', 'O3', 0.898928024502297, 0.09630799293518066]
['CO', 199, 'UO', 26, 'sha224sum', 'nm', 'O1', 'O2', 0.9712777191129884, 1.1490647792816162]
['CO', 176, 'UO', 66, 'head', 'nm', 'O1', 'O0', 0.9845282497582539, 2.207620859146118]
['BO', 42, 'CO', 89, 'cmp', 'pathchk', 'O1', 'O3', 0.9385171790235082, 0.06880521774291992]
['UO', 15, 'CO', 389, 'elfedit', 'env', 'O1', 'O0', 0.9716312056737588, 0.1014244556427002]
['UO', 59, 'CO', 122, 'locate', 'uptime', 'O3', 'O1', 0.9786476868327402, 0.2706301212310791]
['BO', 23, 'UO', 18, 'git', 'diff3', 'O2', 'O1', 0.9984512798451279, 6.584700584411621]
['CO', 301, 'BO', 40, 'nl', 'lua', 'O2', 'O0', 0.9891812146545366, 0.8962976932525635]
['CO', 33, 'UO', 47, 'chown', 'as', 'O3', 'O3', 0.9693114754098361, 2.8273379802703857]
['CO', 139, 'BO', 21, 'base32', 'cp', 'O1', 'O1', 0.9045801526717557, 0.19223761558532715]
['BO', 21, 'UO', 71, 'cp', 'c++filt', 'O1', 'O0', 0.9817315329626688, 4.964667558670044]
['CO', 38, 'BO', 53, 'sha1sum', 'bash', 'O3', 'O0', 0.9916761873673903, 3.295254945755005]
['CO', 176, 'BO', 29, 'head', 'libvlc.so.12.0.0', 'O1', 'O2', 0.9719438877755511, 0.6287169456481934]
['UO', 64, 'CO', 335, 'diff', 'pr', 'O3', 'O0', 0.9623168178646196, 0.4026954174041748]
['CO', 120, 'UO', 21, 'dirname', 'sdiff', 'O1', 'O1', 0.8760757314974182, 0.07745814323425293]
['BO', 26, 'UO', 64, 'gvmap', 'diff', 'O3', 'O3', 0.9581550166428912, 0.9097118377685547]
['BO', 35, 'UO', 3, 'make', 'nm', 'O3', 'O1', 0.9512268553364444, 6.960161924362183]
['CO', 365, 'BO', 10, 'chmod', 'openssl', 'O0', 'O3', 0.9907347554406378, 5.580454349517822]
['UO', 24, 'CO', 288, 'diff', 'uname', 'O2', 'O2', 0.9942583732057416, 0.1323866844177246]
['CO', 203, 'UO', 26, 'sort', 'nm', 'O1', 'O2', 0.9593233225622505, 3.073516845703125]
['CO', 19, 'UO', 1, 'dd', 'xargs', 'O3', 'O1', 0.9659413434247871, 0.27753305435180664]
['CO', 335, 'BO', 42, 'pr', 'cmp', 'O0', 'O1', 0.944792973651192, 0.13656020164489746]
['CO', 406, 'UO', 79, 'rm', 'size', 'O0', 'O0', 0.9814141414141414, 3.827584743499756]
['CO', 21, 'BO', 64, 'mktemp', 'dot', 'O3', 'O0', 1.0, 0.04068708419799805]
['BO', 58, 'CO', 22, 'svn', 'pwd', 'O1', 'O3', 0.9927243330638642, 0.6404650211334229]
['UO', 9, 'BO', 9, 'strings', 'git', 'O1', 'O0', 0.9664012855160324, 76.66438674926758]
['UO', 68, 'CO', 226, 'readelf', 'uptime', 'O0', 'O2', 0.9932590095929479, 0.8927097320556641]
['CO', 379, 'BO', 46, 'nohup', 'ruby', 'O0', 'O3', 0.9910035781223377, 6.693388938903809]
['CO', 354, 'UO', 15, 'sum', 'elfedit', 'O0', 'O1', 0.9633333333333334, 0.11333537101745605]
['BO', 66, 'CO', 80, 'svn', 'uname', 'O2', 'O3', 0.9926078028747434, 0.5236060619354248]
['CO', 110, 'BO', 41, 'mkdir', 'libSDL2-2.0.so.0.16.0', 'O1', 'O2', 0.9729427826734517, 3.4268219470977783]
['UO', 53, 'CO', 262, 'gprof', 'true', 'O3', 'O2', 0.9966983078827899, 0.6724345684051514]
['BO', 67, 'CO', 114, 'libSDL2-2.0.so.0.16.0', 'users', 'O1', 'O1', 0.9940988443570199, 2.0212395191192627]
['BO', 38, 'CO', 193, 'acyclic', 'pathchk', 'O2', 'O1', 0.9589041095890412, 0.037203073501586914]
['UO', 27, 'CO', 141, 'strip', 'truncate', 'O2', 'O1', 0.9957264957264957, 1.0815496444702148]
['CO', 375, 'BO', 58, 'logname', 'svn', 'O0', 'O1', 0.9809681423251966, 0.6499230861663818]
['CO', 141, 'UO', 10, 'truncate', 'objcopy', 'O1', 'O1', 0.9739989599583984, 1.1977479457855225]
['UO', 46, 'CO', 169, 'readelf', 'false', 'O3', 'O1', 0.9846491228070176, 0.435929536819458]
['UO', 81, 'CO', 394, 'diff3', 'shuf', 'O0', 'O0', 0.9458333333333333, 0.22446966171264648]
['CO', 40, 'BO', 63, 'sync', 'cluster', 'O3', 'O0', 0.9712378017462763, 0.4052243232727051]
['CO', 169, 'UO', 41, 'false', 'locate', 'O1', 'O2', 0.9604891815616181, 0.20312166213989258]
['BO', 35, 'CO', 187, 'make', 'csplit', 'O3', 'O1', 0.9713804713804713, 0.6609196662902832]
['UO', 78, 'CO', 365, 'elfedit', 'chmod', 'O0', 'O0', 0.9630086313193588, 0.18461203575134277]
['BO', 39, 'CO', 397, 'codeblocks', '[', 'O3', 'O0', 0.9979317476732161, 5.013087272644043]
['UO', 65, 'CO', 312, 'sdiff', 'sha384sum', 'O3', 'O0', 0.9337931034482758, 0.13322234153747559]
['CO', 72, 'BO', 3, 'head', 'openssl', 'O3', 'O1', 0.9905087738660192, 3.558001756668091]
['CO', 350, 'UO', 32, 'sha1sum', 'strings', 'O0', 'O2', 0.9705380017079419, 1.3935883045196533]
['CO', 260, 'BO', 60, 'sha256sum', 'openssl', 'O2', 'O0', 0.9955792223450216, 3.348897695541382]
['CO', 181, 'BO', 14, 'env', 'cmp', 'O1', 'O0', 0.9174147217235189, 0.08017492294311523]
['UO', 86, 'CO', 293, 'xargs', '[', 'O0', 'O2', 0.9564220183486238, 0.18223142623901367]
['CO', 123, 'BO', 72, 'dd', 'make', 'O1', 'O2', 0.9490703314470493, 0.7928698062896729]
['UO', 23, 'CO', 383, 'cmp', 'readlink', 'O2', 'O0', 0.9049180327868852, 0.10184049606323242]
['CO', 242, 'BO', 34, 'tail', 'cp', 'O2', 'O2', 0.9045226130653267, 0.27735018730163574]
['CO', 91, 'BO', 19, 'comm', 'libvlccore.so.9.0.0', 'O3', 'O1', 0.9921403239720119, 3.1681644916534424]
['BO', 22, 'CO', 359, 'perl', 'numfmt', 'O0', 'O0', 0.9984749757382504, 4.732957601547241]
['CO', 60, 'UO', 54, 'base64', 'addr2line', 'O3', 'O3', 0.9721436343852013, 1.085587739944458]
['UO', 19, 'CO', 63, 'cmp', 'logname', 'O1', 'O3', 0.9410609037328095, 0.05818819999694824]
['CO', 67, 'UO', 61, 'nohup', 'find', 'O3', 'O3', 0.9729139362166885, 0.5158674716949463]
['BO', 62, 'CO', 15, 'bash', 'join', 'O1', 'O3', 0.9963926333776343, 3.0231850147247314]
['CO', 155, 'BO', 83, 'realpath', 'lua', 'O1', 'O2', 0.9537607891491985, 0.8113725185394287]
['CO', 241, 'BO', 47, 'chown', 'libvlc.so.12.0.0', 'O2', 'O0', 0.9735427862753204, 1.0617282390594482]
