['CO', 367, 'BO', 65, 'cp', 'gvmap', 'O0', 'O0', 0.9611520428667113, 1.8303065299987793]
['CO', 34, 'BO', 72, 'tail', 'make', 'O3', 'O2', 0.9406337745687926, 0.7965352535247803]
['CO', 256, 'BO', 22, 'ls', 'perl', 'O2', 'O0', 0.9822517274082103, 9.521977186203003]
['BO', 48, 'CO', 99, 'libvlccore.so.9.0.0', 'sort', 'O0', 'O3', 0.9979391358109501, 9.959254026412964]
['UO', 38, 'CO', 374, 'elfedit', 'printf', 'O2', 'O0', 0.9795918367346939, 0.10954880714416504]
['UO', 7, 'CO', 296, 'ranlib', 'shred', 'O1', 'O2', 0.9908028357922973, 1.580810308456421]
['CO', 236, 'UO', 73, 'factor', 'objcopy', 'O2', 'O0', 0.9862036712264702, 2.828371524810791]
['CO', 287, 'BO', 28, 'link', 'ruby', 'O2', 'O0', 0.9948981327165742, 3.7412121295928955]
['BO', 44, 'CO', 81, 'cmp', 'cat', 'O2', 'O3', 0.941923774954628, 0.06771373748779297]
['BO', 48, 'UO', 65, 'libvlccore.so.9.0.0', 'sdiff', 'O0', 'O3', 0.9987219539903437, 4.8746864795684814]
['UO', 30, 'CO', 216, 'ranlib', 'dir', 'O2', 'O2', 0.986034546122749, 2.961106777191162]
['BO', 59, 'CO', 344, 'libgeany.so.0.0.0', 'expr', 'O3', 'O0', 0.9989719111437488, 9.193911790847778]
['CO', 127, 'UO', 49, 'pr', 'c++filt', 'O1', 'O3', 0.9642324888226528, 1.5936315059661865]
['CO', 132, 'UO', 84, 'factor', 'sdiff', 'O1', 'O0', 0.9500594530321046, 0.16068625450134277]
['CO', 355, 'UO', 40, 'chroot', 'objdump', 'O0', 'O2', 0.9773493326142645, 2.1383793354034424]
['BO', 83, 'UO', 22, 'lua', 'diff3', 'O2', 'O2', 0.9897032101756511, 0.9057271480560303]
['BO', 3, 'CO', 151, 'openssl', 'numfmt', 'O1', 'O1', 0.9955840141311548, 3.0444421768188477]
['BO', 35, 'UO', 22, 'make', 'diff3', 'O3', 'O2', 0.9847780126849894, 0.6206119060516357]
['BO', 56, 'CO', 212, 'libvlc.so.12.0.0', 'test', 'O3', 'O2', 0.9941205291523763, 0.47765564918518066]
['CO', 401, 'BO', 38, 'pathchk', 'acyclic', 'O0', 'O2', 0.981651376146789, 0.040644168853759766]
['UO', 60, 'CO', 47, 'xargs', 'numfmt', 'O3', 'O3', 0.9667063020214031, 0.17357587814331055]
['BO', 80, 'CO', 245, 'ssh', 'truncate', 'O3', 'O2', 0.9964375834941368, 1.1234488487243652]
['UO', 83, 'CO', 212, 'diff', 'test', 'O0', 'O2', 0.9612703330751355, 0.2325291633605957]
['BO', 19, 'CO', 261, 'libvlccore.so.9.0.0', 'chmod', 'O1', 'O2', 0.9975282821560985, 3.4984517097473145]
['UO', 54, 'CO', 376, 'addr2line', 'tty', 'O3', 'O0', 0.994273127753304, 0.8860719203948975]
['BO', 70, 'CO', 305, 'diff', 'uniq', 'O3', 'O2', 0.9748533109807209, 0.2074129581451416]
['BO', 19, 'CO', 249, 'libvlccore.so.9.0.0', 'echo', 'O1', 'O2', 0.9992227727581852, 1.6319246292114258]
['UO', 65, 'CO', 299, 'sdiff', 'comm', 'O3', 'O2', 0.9290322580645162, 0.08362555503845215]
['UO', 53, 'CO', 220, 'gprof', 'ptx', 'O3', 'O2', 0.9921537857983523, 1.5704126358032227]
['UO', 5, 'CO', 299, 'readelf', 'comm', 'O1', 'O2', 0.9899461400359066, 0.5183889865875244]
['CO', 217, 'BO', 14, 'du', 'cmp', 'O2', 'O0', 0.9785575048732944, 0.20510601997375488]
['BO', 72, 'CO', 49, 'make', 'nice', 'O2', 'O3', 0.9848214285714286, 0.40129780769348145]
['CO', 46, 'BO', 17, 'whoami', 'codeblocks', 'O3', 'O2', 0.9950251850009327, 3.9889426231384277]
['CO', 228, 'BO', 55, 'mkfifo', 'make', 'O2', 'O1', 0.9664429530201343, 0.3164339065551758]
['BO', 49, 'CO', 361, 'svn', 'nice', 'O0', 'O0', 0.9910979228486647, 0.6983397006988525]
['CO', 174, 'UO', 41, 'b2sum', 'locate', 'O1', 'O2', 0.9634247714048213, 0.3053925037384033]
['BO', 69, 'CO', 340, 'cmp', 'factor', 'O3', 'O0', 0.9061371841155235, 0.15353846549987793]
['BO', 46, 'CO', 209, 'ruby', 'touch', 'O3', 'O2', 0.9993214818835663, 7.976891756057739]
['CO', 19, 'BO', 3, 'dd', 'openssl', 'O3', 'O1', 0.9920267212584851, 4.8606791496276855]
['CO', 174, 'UO', 79, 'b2sum', 'size', 'O1', 'O0', 0.9885602678571429, 2.393519878387451]
['UO', 81, 'CO', 42, 'diff3', 'sum', 'O0', 'O3', 0.941101152368758, 0.12486958503723145]
['UO', 73, 'CO', 252, 'objcopy', 'seq', 'O0', 'O2', 0.9971537001897534, 1.7889831066131592]
['CO', 229, 'UO', 0, 'mktemp', 'locate', 'O2', 'O1', 0.9471440750213129, 0.2627425193786621]
['CO', 75, 'UO', 76, 'mv', 'addr2line', 'O3', 'O0', 0.9811904148415357, 5.571543455123901]
