['UO', 26, 'CO', 179, 'nm', 'mv', 'O2', 'O1', 0.9811703895144914, 3.4666082859039307]
['UO', 66, 'BO', 12, 'nm', 'libgeany.so.0.0.0', 'O0', 'O0', 0.9861675266220222, 125.88982105255127]
['BO', 27, 'CO', 269, 'perl', 'cksum', 'O3', 'O2', 0.9984521122218639, 2.068528175354004]
['UO', 77, 'CO', 131, 'ar', 'wc', 'O0', 'O1', 0.9949006977992485, 2.0565500259399414]
['CO', 115, 'UO', 34, 'groups', 'ld', 'O1', 'O2', 0.9804919423240034, 1.643439769744873]
['BO', 74, 'CO', 398, 'dot', 'timeout', 'O1', 'O0', 0.9854368932038835, 0.04667329788208008]
['BO', 56, 'CO', 77, 'libvlc.so.12.0.0', 'env', 'O3', 'O3', 0.9961032635168047, 0.4442746639251709]
['CO', 266, 'UO', 81, 'df', 'diff3', 'O2', 'O0', 0.9284294234592445, 0.2306661605834961]
['CO', 299, 'UO', 50, 'comm', 'strings', 'O2', 'O3', 0.9748066298342541, 0.9020788669586182]
['CO', 213, 'UO', 7, 'basename', 'ranlib', 'O2', 'O1', 0.9812823576264437, 0.8760735988616943]
['CO', 225, 'BO', 78, 'stdbuf', 'ssh', 'O2', 'O0', 0.9910619781253676, 1.9229469299316406]
['UO', 79, 'CO', 411, 'size', 'sort', 'O0', 'O0', 0.9956803455723542, 5.70971941947937]
['UO', 17, 'CO', 147, 'objdump', 'chroot', 'O1', 'O1', 0.9963225636984502, 1.7802417278289795]
['BO', 38, 'UO', 7, 'acyclic', 'ranlib', 'O2', 'O1', 0.9862152848165416, 0.4724917411804199]
['BO', 47, 'CO', 374, 'libvlc.so.12.0.0', 'printf', 'O0', 'O0', 0.9947368421052631, 0.7194538116455078]
['CO', 191, 'BO', 5, 'id', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9917201564814463, 8.257599592208862]
['BO', 72, 'CO', 207, 'make', 'ln', 'O2', 'O1', 0.9667194928684628, 0.9263103008270264]
['CO', 197, 'BO', 27, 'nl', 'perl', 'O1', 'O3', 0.9913992297817715, 3.1847214698791504]
['CO', 55, 'BO', 58, 'cp', 'svn', 'O3', 'O1', 0.9710144927536232, 1.8600211143493652]
['CO', 82, 'BO', 83, 'shuf', 'lua', 'O3', 'O2', 0.9564179104477611, 1.0072085857391357]
['CO', 154, 'UO', 66, 'dircolors', 'nm', 'O1', 'O0', 0.9888935165903096, 2.0118112564086914]
['UO', 75, 'CO', 223, 'gprof', 'join', 'O0', 'O2', 0.9967944437024175, 1.827704668045044]
['BO', 12, 'CO', 337, 'libgeany.so.0.0.0', 'chgrp', 'O0', 'O0', 0.9990438856487236, 10.876192331314087]
['CO', 67, 'UO', 83, 'nohup', 'diff', 'O3', 'O0', 0.9225512528473804, 0.26402831077575684]
['CO', 18, 'BO', 52, 'uptime', 'svn', 'O3', 'O3', 0.9884570988841862, 0.9912490844726562]
['CO', 276, 'UO', 49, 'yes', 'c++filt', 'O2', 'O3', 0.981038374717833, 0.7067415714263916]
['UO', 61, 'CO', 46, 'find', 'whoami', 'O3', 'O3', 0.9911032028469751, 0.3950834274291992]
