['UV', 39, 'BV', 70, 'find', 'ssh', 'V3', 'V0', 0.9685461163381636, 20.556132793426514]
['UV', 1, 'CV', 39, 'xargs', 'whoami', 'V2', 'V2', 0.9595959595959596, 0.08034896850585938]
['UV', 3, 'CV', 41, 'diff3', 'nice', 'V2', 'V2', 0.9727427597955707, 0.06580662727355957]
['CV', 254, 'UV', 64, 'uniq', 'size', 'V0', 'V1', 0.9793161671591388, 0.8749151229858398]
['UV', 78, 'CV', 147, 'c++filt', 'hostid', 'V0', 'V3', 0.9968602825745683, 0.7678966522216797]
['BV', 31, 'CV', 41, 'codeblocks', 'nice', 'V0', 'V2', 0.9993403258790158, 2.5950284004211426]
['BV', 29, 'CV', 306, 'perl', 'cp', 'V3', 'V1', 0.9975050678309684, 4.059389114379883]
['CV', 226, 'BV', 80, 'logname', 'cluster', 'V0', 'V1', 0.9536, 0.1556539535522461]
['CV', 58, 'BV', 5, 'readlink', 'libvlccore.so', 'V2', 'V0', 0.9881719016953607, 1.782029390335083]
['UV', 62, 'CV', 70, 'ar', 'vdir', 'V1', 'V2', 0.9926457069314212, 2.5506393909454346]
['UV', 13, 'CV', 24, 'strings', 'factor', 'V2', 'V2', 0.9969911884805501, 0.8005678653717041]
['UV', 55, 'CV', 91, 'ranlib', 'basename', 'V1', 'V3', 0.9956323208258884, 0.9511654376983643]
['BV', 6, 'CV', 222, 'libvlc.so', 'df', 'V0', 'V0', 0.9882697947214076, 0.4061105251312256]
['BV', 68, 'CV', 222, 'dot', 'df', 'V0', 'V0', 0.9941520467836258, 0.034197330474853516]
['CV', 103, 'UV', 6, 'dd', 'sdiff', 'V3', 'V2', 0.9381663113006397, 0.18076229095458984]
['BV', 21, 'UV', 67, 'cp', 'cmp', 'V1', 'V0', 0.9504814305364512, 0.11107492446899414]
['CV', 310, 'BV', 31, 'tsort', 'codeblocks', 'V1', 'V0', 0.9936524728907696, 2.8881020545959473]
['CV', 214, 'UV', 46, 'ls', 'diff', 'V0', 'V1', 0.9352831362787803, 0.4517042636871338]
['CV', 237, 'BV', 27, 'mv', 'libSDL2-2.0.so', 'V0', 'V1', 0.9716293252021742, 3.8059897422790527]
['BV', 37, 'CV', 28, 'geany', 'chown', 'V1', 'V2', 0.9987003341997772, 7.218882083892822]
['UV', 84, 'CV', 286, 'ar', 'expand', 'V0', 'V1', 0.997043918918919, 0.6127686500549316]
['UV', 43, 'CV', 51, 'sdiff', 'printf', 'V3', 'V2', 0.9211678832116789, 0.10155630111694336]
['CV', 61, 'UV', 81, 'ginstall', 'ld', 'V2', 'V0', 0.9724157543011517, 3.6994378566741943]
['BV', 56, 'CV', 67, 'ssh', 'uname', 'V3', 'V2', 0.9972396871645454, 0.9950244426727295]
['CV', 316, 'UV', 47, 'nohup', 'sdiff', 'V1', 'V1', 0.879646017699115, 0.06676244735717773]
['BV', 48, 'CV', 8, 'gvmap', 'du', 'V3', 'V2', 0.9592711682743837, 0.700415849685669]
['UV', 40, 'CV', 328, 'diff3', 'uname', 'V3', 'V1', 0.9705882352941176, 0.05073666572570801]
['BV', 81, 'CV', 168, 'dot', 'sleep', 'V1', 'V3', 0.9935064935064936, 0.028997182846069336]
['CV', 113, 'BV', 29, 'date', 'perl', 'V3', 'V3', 0.9824069749338316, 4.388018608093262]
['CV', 15, 'BV', 5, 'uptime', 'libvlccore.so', 'V2', 'V0', 0.9907894736842106, 1.8593552112579346]
['CV', 269, 'BV', 20, 'du', 'sort', 'V1', 'V1', 0.9137529137529138, 0.15714049339294434]
['UV', 32, 'CV', 203, 'addr2line', 'tail', 'V3', 'V0', 0.9948553054662379, 1.0785930156707764]
['UV', 72, 'CV', 298, 'find', 'seq', 'V0', 'V1', 0.9885527391659853, 0.14248275756835938]
['CV', 291, 'UV', 22, 'pinky', 'nm', 'V1', 'V3', 0.9777682770414707, 0.9780991077423096]
['BV', 6, 'CV', 188, 'libvlc.so', 'dirname', 'V0', 'V0', 0.9923322683706071, 0.20442533493041992]
['UV', 77, 'CV', 260, 'ranlib', 'ln', 'V0', 'V0', 0.9966645820304357, 0.8367376327514648]
['CV', 279, 'UV', 12, 'pwd', 'c++filt', 'V1', 'V2', 0.9777146602578108, 0.7755656242370605]
