['UO', 59, 'CO', 101, 'locate', 'rmdir', 'O3', 'O3', 0.9872727272727273, 0.22716736793518066]
['UO', 4, 'CO', 213, 'strip', 'basename', 'O1', 'O2', 0.9937073938122706, 0.9443082809448242]
['CO', 335, 'UO', 85, 'pr', 'locate', 'O0', 'O0', 0.956496178718401, 0.6319065093994141]
['BO', 8, 'UO', 8, 'cp', 'c++filt', 'O0', 'O1', 0.9547038327526133, 4.880501985549927]
['CO', 109, 'UO', 64, 'basename', 'diff', 'O1', 'O3', 0.91674047829938, 0.1814579963684082]
['UO', 6, 'CO', 84, 'as', 'vdir', 'O1', 'O3', 0.9935244034056842, 5.085168123245239]
['BO', 10, 'UO', 51, 'openssl', 'objcopy', 'O3', 'O3', 0.9789160888637328, 40.161030292510986]
['UO', 1, 'BO', 19, 'xargs', 'libvlccore.so.9.0.0', 'O1', 'O1', 0.9768992393651986, 4.553399324417114]
['BO', 53, 'CO', 27, 'bash', 'wc', 'O0', 'O3', 0.9977241323254491, 3.243267774581909]
['UO', 11, 'CO', 97, 'ld', 'uniq', 'O1', 'O3', 0.9967311359302642, 2.009570598602295]
['BO', 64, 'CO', 316, 'dot', 'test', 'O0', 'O0', 0.974293059125964, 0.04613471031188965]
['BO', 7, 'CO', 179, 'sort', 'mv', 'O0', 'O1', 0.9220647773279352, 0.8236021995544434]
['CO', 132, 'BO', 30, 'factor', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.9881210521353823, 3.638259172439575]
['CO', 341, 'UO', 41, 'nproc', 'locate', 'O0', 'O2', 0.9502664298401421, 0.259458065032959]
['CO', 9, 'UO', 66, 'du', 'nm', 'O3', 'O0', 0.984139365574623, 4.914996147155762]
['BO', 48, 'UO', 66, 'libvlccore.so.9.0.0', 'nm', 'O0', 'O0', 0.9919550256857613, 84.12914443016052]
['UO', 25, 'CO', 101, 'sdiff', 'rmdir', 'O2', 'O3', 0.919629057187017, 0.09332084655761719]
['BO', 9, 'UO', 82, 'git', 'cmp', 'O0', 'O0', 0.999309928405072, 5.841037034988403]
['CO', 124, 'UO', 61, 'mkfifo', 'find', 'O1', 'O3', 0.9641416405199462, 0.43334126472473145]
['BO', 31, 'CO', 99, 'bash', 'sort', 'O2', 'O3', 0.9925240299038803, 6.964860916137695]
['UO', 18, 'CO', 95, 'diff3', 'sha224sum', 'O1', 'O3', 0.9448476052249637, 0.10492134094238281]
['UO', 20, 'CO', 165, 'diff', 'cksum', 'O1', 'O1', 0.985663082437276, 0.18152976036071777]
['CO', 330, 'UO', 40, 'uptime', 'objdump', 'O0', 'O2', 0.9776851727382713, 2.419386863708496]
['UO', 46, 'CO', 93, 'readelf', 'nl', 'O3', 'O3', 0.9943502824858758, 0.6018352508544922]
['UO', 53, 'CO', 348, 'gprof', 'pinky', 'O3', 'O0', 0.9908128619932095, 1.383697509765625]
['CO', 53, 'UO', 52, 'chmod', 'ld', 'O3', 'O3', 0.971834837298332, 2.626504421234131]
['CO', 390, 'BO', 9, 'chcon', 'git', 'O0', 'O0', 0.9843157311511742, 11.1019868850708]
['BO', 20, 'CO', 6, 'sort', 'mkdir', 'O1', 'O3', 0.9420544337137841, 0.2314913272857666]
['BO', 71, 'CO', 122, 'libSDL2-2.0.so.0.16.0', 'uptime', 'O0', 'O1', 0.9945031712473573, 3.09267258644104]
['UO', 11, 'CO', 207, 'ld', 'ln', 'O1', 'O1', 0.9920042643923241, 3.1805737018585205]
['BO', 33, 'CO', 93, 'sort', 'nl', 'O2', 'O3', 0.9825072886297376, 0.17521357536315918]
['UO', 66, 'CO', 346, 'nm', 'tail', 'O0', 'O0', 0.9962967861393995, 3.56699538230896]
['BO', 76, 'CO', 252, 'openssl', 'seq', 'O2', 'O2', 0.997784424504265, 2.4379425048828125]
['BO', 6, 'UO', 44, 'codeblocks', 'nm', 'O0', 'O3', 0.987379275847474, 79.96018815040588]
['CO', 60, 'BO', 36, 'base64', 'cluster', 'O3', 'O2', 0.9486803519061584, 0.29920244216918945]
['CO', 300, 'BO', 44, 'sha512sum', 'cmp', 'O2', 'O2', 0.9115384615384615, 0.06775212287902832]
['CO', 202, 'BO', 14, 'sleep', 'cmp', 'O1', 'O0', 0.8870673952641166, 0.079254150390625]
['BO', 6, 'CO', 209, 'codeblocks', 'touch', 'O0', 'O2', 0.9982709195977613, 8.365505933761597]
['CO', 234, 'UO', 47, 'kill', 'as', 'O2', 'O3', 0.9874419874419874, 1.3182404041290283]
['BO', 16, 'CO', 31, 'make', 'date', 'O0', 'O3', 0.9924184988627748, 0.839144229888916]
['UO', 10, 'CO', 145, 'objcopy', 'echo', 'O1', 'O1', 0.9947744295418917, 1.0353610515594482]
['BO', 43, 'CO', 375, 'diff', 'logname', 'O1', 'O0', 0.9821428571428571, 0.188826322555542]
['CO', 298, 'UO', 70, 'tr', 'ranlib', 'O2', 'O0', 0.98892490545651, 1.9447839260101318]
['BO', 14, 'CO', 165, 'cmp', 'cksum', 'O0', 'O1', 0.9201451905626135, 0.08061647415161133]
['BO', 45, 'CO', 4, 'diff', 'test', 'O2', 'O3', 0.979469632164243, 0.20629572868347168]
['UO', 51, 'CO', 326, 'objcopy', 'stty', 'O3', 'O0', 0.9930045470444211, 1.6269738674163818]
['UO', 53, 'CO', 235, 'gprof', 'wc', 'O3', 'O2', 0.9947622884770346, 1.1486129760742188]
['UO', 44, 'CO', 129, 'nm', 'chgrp', 'O3', 'O1', 0.9880510918829831, 1.7563295364379883]
['CO', 255, 'UO', 65, 'numfmt', 'sdiff', 'O2', 'O3', 0.8972099853157122, 0.10156655311584473]
['CO', 291, 'UO', 85, 'csplit', 'locate', 'O2', 'O0', 0.9646133682830931, 0.4566769599914551]
['CO', 138, 'UO', 49, 'tail', 'c++filt', 'O1', 'O3', 0.9682068673166596, 1.7519612312316895]
['CO', 283, 'UO', 81, 'mv', 'diff3', 'O2', 'O0', 0.9655667144906743, 0.390073299407959]
