['CV', 117, 'BV', 15, 'pinky', 'libvlccore.so', 'V3', 'V3', 0.9877356347944584, 2.912893772125244]
['CV', 286, 'BV', 75, 'expand', 'cmp', 'V1', 'V2', 0.8597285067873304, 0.04788947105407715]
['BV', 47, 'CV', 337, 'dot', 'comm', 'V3', 'V1', 0.9918367346938776, 0.024239301681518555]
['UV', 10, 'CV', 25, 'as', 'expand', 'V2', 'V2', 0.9978465679676986, 1.19248628616333]
['CV', 75, 'UV', 54, 'tr', 'as', 'V2', 'V1', 0.9785666443402545, 1.6052017211914062]
['CV', 79, 'UV', 72, 'fold', 'find', 'V2', 'V0', 0.9276729559748428, 0.20829367637634277]
['BV', 32, 'CV', 249, 'perl', 'tr', 'V0', 'V0', 0.9983017265779791, 1.7123079299926758]
['BV', 16, 'UV', 49, 'libvlc.so', 'xargs', 'V3', 'V1', 0.9898710865561694, 0.5579900741577148]
['UV', 16, 'CV', 284, 'gprof', 'wc', 'V2', 'V1', 0.9976195199365205, 0.8453874588012695]
['BV', 46, 'CV', 109, 'cluster', 'kill', 'V3', 'V3', 0.981118373275236, 0.29004931449890137]
['CV', 225, 'BV', 22, 'printf', 'cmp', 'V0', 'V3', 0.8980891719745223, 0.05438518524169922]
['UV', 77, 'CV', 20, 'ranlib', 'tee', 'V0', 'V2', 0.9966548191511604, 0.7805664539337158]
['BV', 57, 'UV', 23, 'svn', 'strip', 'V2', 'V3', 0.9627160157844604, 9.268705368041992]
['UV', 36, 'CV', 240, 'objdump', 'link', 'V3', 'V0', 0.9986178299930891, 0.8211071491241455]
['BV', 5, 'CV', 270, 'libvlccore.so', 'users', 'V0', 'V1', 0.999468085106383, 1.133605718612671]
['CV', 320, 'BV', 22, 'head', 'cmp', 'V1', 'V3', 0.8505050505050505, 0.05536699295043945]
['CV', 332, 'UV', 13, '[', 'strings', 'V1', 'V2', 0.9801381692573402, 0.8060448169708252]
['CV', 175, 'BV', 39, 'stat', 'svn', 'V0', 'V1', 0.9860009332711153, 0.4689295291900635]
['BV', 25, 'CV', 296, 'git', 'sum', 'V3', 'V1', 0.9993183367416496, 4.202291011810303]
['CV', 140, 'UV', 81, 'tty', 'ld', 'V3', 'V0', 0.9860606060606061, 1.348212480545044]
['UV', 41, 'CV', 185, 'cmp', 'printenv', 'V3', 'V0', 0.9705882352941176, 0.03458428382873535]
['CV', 1, 'UV', 13, 'stat', 'strings', 'V2', 'V2', 0.9777492511767223, 1.082731008529663]
['UV', 33, 'CV', 189, 'ar', 'uptime', 'V3', 'V0', 0.9975262832405689, 0.7928581237792969]
['CV', 155, 'UV', 44, 'cat', 'diff3', 'V3', 'V1', 0.8810975609756098, 0.09608626365661621]
['UV', 13, 'CV', 339, 'strings', 'rm', 'V2', 'V1', 0.9945217024863042, 1.1874730587005615]
['BV', 79, 'CV', 33, 'bash', 'sync', 'V3', 'V2', 0.9982179982179982, 1.4421749114990234]
['CV', 137, 'BV', 24, 'cksum', 'git', 'V3', 'V0', 0.9908758028693199, 3.4944941997528076]
['CV', 52, 'BV', 38, 'logname', 'ruby', 'V2', 'V2', 1.0, 0.0102996826171875]
['UV', 9, 'CV', 158, 'readelf', '[', 'V2', 'V3', 0.9838362068965517, 0.4055750370025635]
['CV', 227, 'BV', 12, 'tty', 'sort', 'V0', 'V2', 0.8911917098445596, 0.08466887474060059]
['UV', 42, 'CV', 26, 'diff', 'date', 'V3', 'V2', 0.9784232365145228, 0.2160050868988037]
['UV', 44, 'CV', 297, 'diff3', 'chroot', 'V1', 'V1', 0.9810246679316889, 0.049902915954589844]
['CV', 171, 'BV', 57, 'rmdir', 'svn', 'V3', 'V2', 0.973967684021544, 0.6070230007171631]
['BV', 26, 'CV', 104, 'geany', 'mkfifo', 'V2', 'V3', 0.9991939456361112, 4.655673980712891]
['BV', 56, 'CV', 321, 'ssh', 'hostid', 'V3', 'V1', 0.9987633328180553, 0.7714016437530518]
['CV', 307, 'BV', 12, 'cut', 'sort', 'V1', 'V2', 0.9159663865546218, 0.11846208572387695]
['BV', 42, 'CV', 143, 'libvlc.so', 'yes', 'V1', 'V3', 0.9935828877005347, 0.36215806007385254]
['UV', 44, 'CV', 319, 'diff3', 'readlink', 'V1', 'V1', 0.9525547445255474, 0.05608105659484863]
['BV', 11, 'CV', 137, 'bash', 'cksum', 'V1', 'V3', 0.9963405446130664, 1.8071484565734863]
['BV', 2, 'CV', 52, 'cmp', 'logname', 'V1', 'V2', 0.9531914893617022, 0.04880475997924805]
['BV', 42, 'CV', 52, 'libvlc.so', 'logname', 'V1', 'V2', 0.9923329682365827, 0.2968635559082031]
['BV', 29, 'CV', 157, 'perl', 'vdir', 'V3', 'V3', 0.9950169875424688, 7.786139965057373]
['CV', 204, 'BV', 32, 'pinky', 'perl', 'V0', 'V0', 0.9864035501841186, 1.7820510864257812]
['CV', 96, 'UV', 16, 'users', 'gprof', 'V3', 'V2', 0.9730205278592375, 1.1397740840911865]
['UV', 87, 'CV', 95, 'objdump', 'du', 'V0', 'V3', 0.9931477516059957, 3.6092424392700195]
['BV', 57, 'UV', 77, 'svn', 'ranlib', 'V2', 'V0', 0.9473764723879455, 7.915129661560059]
['UV', 83, 'CV', 313, 'addr2line', 'logname', 'V0', 'V1', 0.9977416440831075, 0.5104336738586426]
['CV', 315, 'UV', 42, 'false', 'diff', 'V1', 'V3', 0.9232245681381958, 0.1121056079864502]
['BV', 12, 'CV', 188, 'sort', 'dirname', 'V2', 'V0', 0.979381443298969, 0.07404422760009766]
['UV', 25, 'BV', 9, 'as', 'dot', 'V3', 'V2', 0.9986276931521888, 0.4995701313018799]
['CV', 216, 'UV', 32, 'dircolors', 'addr2line', 'V0', 'V3', 0.981140350877193, 0.8233234882354736]
['CV', 50, 'BV', 54, 'cksum', 'lua', 'V2', 'V3', 0.9698524695317511, 0.5102591514587402]
['UV', 45, 'BV', 4, 'cmp', 'geany', 'V1', 'V3', 0.9922904750062174, 7.926345586776733]
['CV', 20, 'UV', 77, 'tee', 'ranlib', 'V2', 'V0', 0.9795107673008572, 0.9493405818939209]
['CV', 63, 'UV', 79, 'mv', 'strings', 'V2', 'V0', 0.968382650993109, 2.5755600929260254]
['BV', 42, 'CV', 347, 'libvlc.so', 'ln', 'V1', 'V1', 0.9871726349545697, 0.3859069347381592]
['CV', 325, 'BV', 6, 'md5sum', 'libvlc.so', 'V1', 'V0', 0.9900682805710739, 0.3491244316101074]
['UV', 83, 'CV', 16, 'addr2line', 'dd', 'V0', 'V2', 0.9935883735840991, 1.3248820304870605]
['BV', 17, 'CV', 266, 'codeblocks', 'mkdir', 'V2', 'V1', 0.9991140361979496, 3.165114164352417]
['UV', 3, 'BV', 50, 'diff3', 'sort', 'V2', 'V0', 0.9254327563249001, 0.12108349800109863]
['CV', 188, 'BV', 20, 'dirname', 'sort', 'V0', 'V1', 0.8690265486725663, 0.059647321701049805]
['UV', 43, 'CV', 270, 'sdiff', 'users', 'V3', 'V1', 0.9498207885304659, 0.06166839599609375]
['CV', 10, 'UV', 26, 'ptx', 'ranlib', 'V2', 'V3', 0.9586976744186047, 2.678102493286133]
['CV', 78, 'BV', 17, 'rm', 'codeblocks', 'V2', 'V2', 0.9924971864449168, 7.504000663757324]
['CV', 133, 'UV', 53, 'cut', 'readelf', 'V3', 'V1', 0.959493670886076, 0.34843897819519043]
['CV', 334, 'UV', 37, 'shred', 'locate', 'V1', 'V3', 0.9753303964757709, 0.29565954208374023]
['UV', 59, 'CV', 169, 'ld', 'sort', 'V1', 'V3', 0.9939837823698666, 4.522744178771973]
['CV', 218, 'UV', 35, 'true', 'size', 'V0', 'V3', 0.9836065573770492, 0.5709457397460938]
['UV', 73, 'CV', 182, 'nm', 'du', 'V0', 'V0', 0.9912170639899623, 1.4618091583251953]
['BV', 13, 'CV', 233, 'cp', 'head', 'V2', 'V0', 0.9754189944134078, 0.1183617115020752]
['UV', 5, 'CV', 115, 'diff', 'chown', 'V2', 'V3', 0.9573560767590619, 0.35807347297668457]
['CV', 53, 'BV', 55, 'tty', 'codeblocks', 'V2', 'V3', 0.997006921494045, 3.32857084274292]
['UV', 6, 'BV', 30, 'sdiff', 'bash', 'V2', 'V0', 0.9740085144521622, 2.6730892658233643]
['BV', 40, 'CV', 87, 'lua', 'touch', 'V2', 'V3', 0.9899276046584828, 1.0234487056732178]
['CV', 91, 'BV', 48, 'basename', 'gvmap', 'V3', 'V3', 0.9609756097560975, 0.27787256240844727]
['BV', 13, 'CV', 181, 'cp', 'dir', 'V2', 'V0', 0.9481605351170569, 0.30148792266845703]
['BV', 20, 'CV', 44, 'sort', 'true', 'V1', 'V2', 0.9732441471571907, 0.06139349937438965]
['BV', 51, 'CV', 30, 'cp', 'pinky', 'V0', 'V2', 0.9390420899854862, 0.1017460823059082]
['CV', 141, 'BV', 60, 'false', 'codeblocks', 'V3', 'V1', 0.9950060823356168, 3.8288872241973877]
['CV', 94, 'UV', 83, 'dir', 'addr2line', 'V3', 'V0', 0.9631425800193987, 3.3778908252716064]
['CV', 235, 'UV', 29, 'ginstall', 'objcopy', 'V0', 'V3', 0.9706784861916127, 2.327997922897339]
['BV', 35, 'CV', 260, 'libvlccore.so', 'ln', 'V2', 'V0', 0.9995389048991354, 1.713324785232544]
['CV', 223, 'BV', 18, 'tsort', 'sort', 'V0', 'V3', 0.923828125, 0.13154101371765137]
['CV', 28, 'BV', 31, 'chown', 'codeblocks', 'V2', 'V0', 0.9897215716887848, 6.831917762756348]
['CV', 235, 'BV', 6, 'ginstall', 'libvlc.so', 'V0', 'V0', 0.9800734137388568, 0.7558674812316895]
['UV', 26, 'BV', 31, 'ranlib', 'codeblocks', 'V3', 'V0', 0.9809552907628069, 63.924870014190674]
['CV', 252, 'BV', 31, 'rm', 'codeblocks', 'V0', 'V0', 0.9914782038675845, 5.24125599861145]
['BV', 78, 'CV', 108, 'make', 'chgrp', 'V2', 'V3', 0.9814892721918385, 0.7573719024658203]
['CV', 154, 'UV', 20, 'uname', 'size', 'V3', 'V2', 0.9753506162345942, 0.9330794811248779]
['BV', 69, 'CV', 124, 'gvmap', 'seq', 'V0', 'V3', 0.9733727810650887, 0.30844593048095703]
['CV', 254, 'BV', 4, 'uniq', 'geany', 'V0', 'V3', 0.9935116250051991, 5.562377452850342]
['UV', 76, 'CV', 2, 'as', 'unlink', 'V0', 'V2', 0.9980184005661713, 0.9618966579437256]
['BV', 34, 'CV', 124, 'svn', 'seq', 'V0', 'V3', 0.9905615856536102, 0.5461926460266113]
['CV', 153, 'UV', 84, 'link', 'ar', 'V3', 'V0', 0.9783918553916476, 0.9565482139587402]
['CV', 196, 'UV', 80, 'kill', 'objcopy', 'V0', 'V0', 0.9859757140413887, 0.8789236545562744]
['CV', 245, 'UV', 87, '[', 'objdump', 'V0', 'V0', 0.9857120670911632, 1.0822665691375732]
['UV', 25, 'BV', 12, 'as', 'sort', 'V3', 'V2', 0.9946571682991986, 3.601378917694092]
['BV', 79, 'UV', 66, 'bash', 'diff3', 'V3', 'V0', 0.996121400174537, 2.9560904502868652]
['CV', 120, 'BV', 46, 'sync', 'cluster', 'V3', 'V3', 0.9604395604395605, 0.27313756942749023]
['UV', 22, 'CV', 233, 'nm', 'head', 'V3', 'V0', 0.9948663101604278, 0.7969138622283936]
['CV', 117, 'UV', 53, 'pinky', 'readelf', 'V3', 'V1', 0.9548872180451128, 0.3740246295928955]
['BV', 18, 'CV', 148, 'sort', 'ginstall', 'V3', 'V3', 0.9098497495826378, 0.6276106834411621]
['BV', 24, 'CV', 79, 'git', 'fold', 'V0', 'V2', 0.9992778914430136, 2.4695942401885986]
['UV', 67, 'CV', 66, 'cmp', 'link', 'V0', 'V2', 0.9574468085106383, 0.04732012748718262]
['BV', 27, 'CV', 25, 'libSDL2-2.0.so', 'expand', 'V1', 'V2', 0.9961283185840708, 1.1380219459533691]
['CV', 278, 'UV', 51, 'mkfifo', 'nm', 'V1', 'V1', 0.9801729592912888, 0.6587810516357422]
['CV', 170, 'UV', 20, 'tac', 'size', 'V3', 'V2', 0.9599415814729815, 1.174262285232544]
['CV', 107, 'BV', 77, 'tee', 'perl', 'V3', 'V2', 0.9864701274656412, 3.3686842918395996]
['CV', 220, 'BV', 44, 'cut', 'make', 'V0', 'V0', 0.9609292502639916, 0.30483150482177734]
['CV', 325, 'UV', 9, 'md5sum', 'readelf', 'V1', 'V2', 0.9767306573589296, 0.28516125679016113]
['BV', 34, 'CV', 239, 'svn', 'env', 'V0', 'V0', 0.9989738327347357, 0.2749330997467041]
['BV', 73, 'CV', 248, 'geany', 'pathchk', 'V0', 'V0', 0.999568011231708, 2.489217519760132]
['UV', 26, 'BV', 63, 'ranlib', 'ruby', 'V3', 'V0', 0.9753570217415879, 81.04838848114014]
['CV', 36, 'BV', 60, 'chroot', 'codeblocks', 'V2', 'V1', 0.9936089985300697, 4.000268459320068]
['BV', 73, 'CV', 175, 'geany', 'stat', 'V0', 'V0', 0.9995691280228363, 3.398974657058716]
['CV', 3, 'UV', 41, 'test', 'cmp', 'V2', 'V3', 0.9256360078277887, 0.06467604637145996]
['UV', 0, 'CV', 122, 'locate', 'sum', 'V2', 'V3', 0.9274486094316807, 0.12930536270141602]
['CV', 277, 'UV', 9, 'dd', 'readelf', 'V1', 'V2', 0.9621416982152515, 0.4039325714111328]
['CV', 213, 'BV', 30, 'whoami', 'bash', 'V0', 'V0', 0.9891467497979448, 1.0173964500427246]
['UV', 43, 'CV', 301, 'sdiff', 'ls', 'V3', 'V1', 0.9148471615720524, 0.18989038467407227]
['CV', 132, 'UV', 53, 'cp', 'readelf', 'V3', 'V1', 0.9623174752708431, 0.8943390846252441]
['UV', 1, 'CV', 226, 'xargs', 'logname', 'V2', 'V0', 0.9716535433070866, 0.05813097953796387]
['UV', 15, 'BV', 46, 'ld', 'cluster', 'V2', 'V3', 0.9876106194690265, 5.548151016235352]
['BV', 77, 'CV', 263, 'perl', 'unlink', 'V2', 'V1', 0.9989913544668588, 1.3927137851715088]
['UV', 49, 'BV', 38, 'xargs', 'ruby', 'V1', 'V2', 1.0, 0.014963150024414062]
['UV', 61, 'CV', 261, 'addr2line', 'touch', 'V1', 'V1', 0.9966322879393812, 0.9371242523193359]
['CV', 282, 'UV', 32, 'chgrp', 'addr2line', 'V1', 'V3', 0.9701365187713311, 1.2796761989593506]
['BV', 49, 'CV', 119, 'make', 'paste', 'V3', 'V3', 0.9797267518730718, 0.45349836349487305]
['CV', 234, 'UV', 25, 'hostid', 'as', 'V0', 'V3', 0.9874693543993462, 0.8732984066009521]
