['UV', 29, 'BV', 48, 'objcopy', 'gvmap', 'V3', 'V3', 0.9778687282097923, 4.7298970222473145]
['CV', 143, 'UV', 33, 'yes', 'ar', 'V3', 'V3', 0.9775601795185639, 1.0073797702789307]
['BV', 0, 'UV', 58, 'bash', 'objcopy', 'V2', 'V1', 0.9829181494661922, 40.860278844833374]
['CV', 261, 'BV', 8, 'touch', 'cluster', 'V1', 'V2', 0.9674556213017751, 0.28248047828674316]
['CV', 237, 'UV', 8, 'mv', 'strip', 'V0', 'V2', 0.9666999666999667, 2.417689561843872]
['UV', 71, 'CV', 12, 'xargs', 'stty', 'V0', 'V2', 0.9076923076923077, 0.06435418128967285]
['UV', 17, 'CV', 219, 'addr2line', 'cp', 'V2', 'V0', 0.9922480620155039, 1.610191822052002]
['UV', 80, 'CV', 275, 'objcopy', 'dirname', 'V0', 'V1', 0.9979416809605489, 0.6899487972259521]
['UV', 67, 'CV', 244, 'cmp', 'vdir', 'V0', 'V0', 0.9041614123581336, 0.14229774475097656]
['BV', 50, 'CV', 88, 'sort', 'stat', 'V0', 'V3', 0.9419279907084785, 0.15795588493347168]
['BV', 80, 'CV', 144, 'cluster', 'who', 'V1', 'V3', 0.9793530626290433, 0.35197877883911133]
['BV', 32, 'CV', 86, 'perl', 'ln', 'V0', 'V2', 0.9962717867462019, 2.621812343597412]
['BV', 50, 'CV', 262, 'sort', 'stat', 'V0', 'V1', 0.9413919413919414, 0.06284523010253906]
['UV', 71, 'BV', 2, 'xargs', 'cmp', 'V0', 'V1', 0.8949416342412452, 0.06200814247131348]
['UV', 15, 'BV', 11, 'ld', 'bash', 'V2', 'V1', 0.9756205393797764, 44.348973512649536]
['BV', 68, 'CV', 75, 'dot', 'tr', 'V0', 'V2', 0.9940828402366864, 0.03099203109741211]
['BV', 1, 'CV', 140, 'libSDL2-2.0.so', 'tty', 'V3', 'V3', 0.9966120835686053, 1.5314958095550537]
['UV', 47, 'BV', 28, 'sdiff', 'openssl', 'V1', 'V1', 0.9860885008139707, 5.87839674949646]
['CV', 210, 'BV', 67, 'chroot', 'cluster', 'V0', 'V0', 0.9538188277087034, 0.14390778541564941]
['BV', 23, 'CV', 215, 'diff', 'nice', 'V3', 'V0', 0.9887218045112782, 0.11116147041320801]
['UV', 70, 'CV', 232, 'locate', 'readlink', 'V0', 'V0', 0.9770408163265306, 0.08314681053161621]
['UV', 15, 'CV', 189, 'ld', 'uptime', 'V2', 'V0', 0.9979896611143021, 1.0650670528411865]
['BV', 68, 'CV', 52, 'dot', 'logname', 'V0', 'V2', 0.9921568627450981, 0.02294611930847168]
['CV', 112, 'UV', 30, 'expand', 'ld', 'V3', 'V3', 0.984254182482778, 1.701611042022705]
['CV', 297, 'BV', 66, 'chroot', 'lua', 'V1', 'V1', 0.9724907063197026, 0.34538865089416504]
