['CV', 338, 'UV', 6, 'nl', 'sdiff', 'V1', 'V2', 0.9234234234234234, 0.17829108238220215]
['UV', 62, 'CV', 9, 'ar', 'users', 'V1', 'V2', 0.9980067769583416, 1.4095869064331055]
['BV', 10, 'UV', 2, 'gvmap', 'find', 'V2', 'V2', 0.9534173348606338, 1.4649488925933838]
['UV', 70, 'BV', 39, 'locate', 'svn', 'V0', 'V1', 0.9744582043343654, 1.2887446880340576]
['CV', 191, 'BV', 50, 'mkfifo', 'sort', 'V0', 'V0', 0.8797595190380761, 0.054433584213256836]
['CV', 72, 'BV', 65, 'id', 'ssh', 'V2', 'V1', 0.985092789777913, 2.2796499729156494]
['CV', 246, 'BV', 35, 'id', 'libvlccore.so', 'V0', 'V2', 0.993737678302215, 1.774550199508667]
['CV', 343, 'UV', 45, 'sort', 'cmp', 'V1', 'V1', 0.955617198335645, 0.11179637908935547]
['UV', 20, 'CV', 175, 'size', 'stat', 'V2', 'V0', 0.9965731420004283, 0.8409473896026611]
['BV', 61, 'CV', 45, 'cmp', 'cp', 'V0', 'V2', 0.9361179361179361, 0.09498286247253418]
['BV', 20, 'CV', 35, 'sort', 'sum', 'V1', 'V2', 0.9494799405646359, 0.0916447639465332]
['CV', 183, 'BV', 67, 'users', 'cluster', 'V0', 'V0', 0.9635732870771899, 0.18114042282104492]
['CV', 124, 'UV', 45, 'seq', 'cmp', 'V3', 'V1', 0.8934707903780069, 0.0793294906616211]
['CV', 126, 'UV', 69, 'whoami', 'sdiff', 'V3', 'V0', 0.8944, 0.0874471664428711]
['UV', 0, 'CV', 287, 'locate', 'date', 'V2', 'V1', 0.9553219448094612, 0.11364865303039551]
['CV', 330, 'UV', 54, 'csplit', 'as', 'V1', 'V1', 0.9671077990492098, 3.3029956817626953]
['CV', 285, 'BV', 51, 'factor', 'cp', 'V1', 'V0', 0.9123102866779089, 0.07166385650634766]
['BV', 52, 'CV', 254, 'libSDL2-2.0.so', 'uniq', 'V2', 'V0', 0.9968907889623008, 1.3218727111816406]
['CV', 128, 'BV', 31, 'nice', 'codeblocks', 'V3', 'V0', 0.9948670702816531, 4.291087865829468]
['CV', 145, 'BV', 17, 'readlink', 'codeblocks', 'V3', 'V2', 0.9918238993710692, 5.763282299041748]
['UV', 83, 'BV', 72, 'addr2line', 'perl', 'V0', 'V1', 0.9655347759760439, 37.76881670951843]
['CV', 213, 'UV', 17, 'whoami', 'addr2line', 'V0', 'V2', 0.9808570807048075, 0.5924100875854492]
['CV', 49, 'UV', 24, 'tsort', 'readelf', 'V2', 'V3', 0.9702602230483272, 0.46332573890686035]
['UV', 48, 'BV', 39, 'locate', 'svn', 'V1', 'V1', 0.9800590841949779, 1.5237445831298828]
['UV', 11, 'CV', 125, 'ranlib', 'split', 'V2', 'V3', 0.9946029298380878, 1.701235055923462]
['UV', 12, 'CV', 127, 'c++filt', 'ls', 'V2', 'V3', 0.990506929941143, 3.1423308849334717]
['UV', 61, 'CV', 188, 'addr2line', 'dirname', 'V1', 'V0', 0.9974199096968394, 0.5501525402069092]
['CV', 310, 'BV', 49, 'tsort', 'make', 'V1', 'V3', 0.9658671586715867, 0.3240470886230469]
['BV', 67, 'CV', 24, 'cluster', 'factor', 'V0', 'V2', 0.978369384359401, 0.20639729499816895]
['CV', 19, 'UV', 29, 'pr', 'objcopy', 'V2', 'V3', 0.9682705718270572, 1.6369922161102295]
['UV', 26, 'CV', 123, 'ranlib', 'chroot', 'V3', 'V3', 0.9959807073954984, 1.2395992279052734]
['UV', 55, 'CV', 274, 'ranlib', 'join', 'V1', 'V1', 0.9968272853460242, 0.9804477691650391]
['CV', 122, 'UV', 52, 'sum', 'strip', 'V3', 'V1', 0.9794410536460006, 1.6179230213165283]
['UV', 66, 'CV', 172, 'diff3', 'mknod', 'V0', 'V3', 0.9568567026194145, 0.08629322052001953]
['BV', 58, 'UV', 1, 'ruby', 'xargs', 'V3', 'V2', 0.9962616822429906, 0.02675938606262207]
['BV', 66, 'UV', 55, 'lua', 'ranlib', 'V1', 'V1', 0.9687415058439793, 9.529618263244629]
['BV', 56, 'CV', 316, 'ssh', 'nohup', 'V3', 'V1', 0.9978488014751076, 0.9949600696563721]
['CV', 196, 'BV', 9, 'kill', 'dot', 'V0', 'V2', 0.9912663755458515, 0.022301197052001953]
['CV', 54, 'BV', 44, 'false', 'make', 'V2', 'V0', 0.9615795090715048, 0.26506781578063965]
['UV', 24, 'CV', 25, 'readelf', 'expand', 'V3', 'V2', 0.9947683109118086, 0.4184684753417969]
['CV', 128, 'UV', 69, 'nice', 'sdiff', 'V3', 'V0', 0.8736176935229067, 0.08823513984680176]
['UV', 23, 'CV', 115, 'strip', 'chown', 'V3', 'V3', 0.9932111337406653, 2.0883824825286865]
['CV', 262, 'UV', 63, 'stat', 'elfedit', 'V1', 'V1', 0.9590909090909091, 0.06939482688903809]
['CV', 95, 'BV', 48, 'du', 'gvmap', 'V3', 'V3', 0.9661711942593542, 0.7776029109954834]
['UV', 15, 'CV', 25, 'ld', 'expand', 'V2', 'V2', 0.9977106882243526, 1.1361644268035889]
['UV', 2, 'BV', 39, 'find', 'svn', 'V2', 'V1', 0.9827944230198754, 2.7205333709716797]
['CV', 319, 'UV', 13, 'readlink', 'strings', 'V1', 'V2', 0.9765319426336375, 0.7142353057861328]
['CV', 269, 'UV', 75, 'du', 'readelf', 'V1', 'V0', 0.9706780696395846, 0.4826185703277588]
['UV', 72, 'CV', 210, 'find', 'chroot', 'V0', 'V0', 0.99, 0.12060165405273438]
['CV', 27, 'BV', 5, 'expr', 'libvlccore.so', 'V2', 'V0', 0.9833480509650562, 3.7046563625335693]
