['BO', 47, 'CO', 168, 'libvlc.so.12.0.0', 'tty', 'O0', 'O1', 0.9907961343764381, 0.5154147148132324]
['BO', 3, 'CO', 258, 'openssl', 'dircolors', 'O1', 'O2', 0.9984383714445064, 2.3025319576263428]
['BO', 46, 'CO', 394, 'ruby', 'shuf', 'O3', 'O0', 0.9991884489230041, 10.42916750907898]
['UO', 33, 'BO', 54, 'objcopy', 'lua', 'O2', 'O3', 0.9821815555020467, 10.303906917572021]
['CO', 131, 'UO', 50, 'wc', 'strings', 'O1', 'O3', 0.97217996087807, 1.2683160305023193]
['CO', 5, 'BO', 41, 'basename', 'libSDL2-2.0.so.0.16.0', 'O3', 'O2', 0.9796865203761755, 1.934436321258545]
['CO', 358, 'BO', 39, 'whoami', 'codeblocks', 'O0', 'O3', 0.9941205291523763, 4.238913536071777]
['CO', 12, 'UO', 32, 'ptx', 'strings', 'O3', 'O2', 0.963982612295591, 1.7486255168914795]
['UO', 50, 'CO', 331, 'strings', 'dd', 'O3', 'O0', 0.987603305785124, 1.9946422576904297]
['BO', 68, 'CO', 360, 'git', 'ls', 'O3', 'O0', 0.9984958636249687, 18.41833472251892]
['CO', 209, 'UO', 52, 'touch', 'ld', 'O2', 'O3', 0.9746381805651275, 2.3289968967437744]
['UO', 69, 'CO', 296, 'as', 'shred', 'O0', 'O2', 0.9963116643614569, 3.385970115661621]
['CO', 67, 'BO', 56, 'nohup', 'libvlc.so.12.0.0', 'O3', 'O3', 0.9816158684083213, 0.5795676708221436]
['CO', 69, 'BO', 6, 'who', 'codeblocks', 'O3', 'O0', 0.997627845445007, 9.820116519927979]
['UO', 10, 'CO', 369, 'objcopy', 'od', 'O1', 'O0', 0.9909668785547006, 2.071422576904297]
['CO', 71, 'BO', 44, 'readlink', 'cmp', 'O3', 'O2', 0.9463986599664992, 0.0852043628692627]
['CO', 275, 'BO', 70, 'nohup', 'diff', 'O2', 'O3', 0.9180765805877115, 0.1695554256439209]
['CO', 0, 'UO', 17, 'sha384sum', 'objdump', 'O3', 'O1', 0.9798376538360828, 1.9528729915618896]
['BO', 59, 'UO', 75, 'libgeany.so.0.0.0', 'gprof', 'O3', 'O0', 0.9958296622613804, 156.9869179725647]
['UO', 82, 'CO', 309, 'cmp', 'rmdir', 'O0', 'O2', 0.9227941176470589, 0.07340455055236816]
['CO', 185, 'BO', 30, 'cat', 'libvlccore.so.9.0.0', 'O1', 'O2', 0.9917640298793334, 2.423034191131592]
['UO', 13, 'CO', 51, 'addr2line', 'realpath', 'O1', 'O3', 0.9942787086228034, 1.2792794704437256]
['CO', 368, 'BO', 59, 'cut', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9915332228971102, 10.446168422698975]
['UO', 68, 'CO', 218, 'readelf', 'users', 'O0', 'O2', 0.9952456418383518, 0.6619760990142822]
['CO', 164, 'BO', 12, 'base64', 'libgeany.so.0.0.0', 'O1', 'O0', 0.9953477102011146, 7.063387870788574]
['BO', 58, 'CO', 381, 'svn', 'who', 'O1', 'O0', 0.9858657243816255, 0.8805563449859619]
['UO', 85, 'BO', 82, 'locate', 'cp', 'O0', 'O3', 0.9763313609467456, 0.9183096885681152]
