['BO', 76, 'CO', 141, 'openssl', 'truncate', 'O2', 'O1', 0.9964476021314387, 2.4412217140197754]
['CO', 295, 'BO', 36, 'id', 'cluster', 'O2', 'O2', 0.963963963963964, 0.28444600105285645]
['UO', 38, 'CO', 328, 'elfedit', 'dirname', 'O2', 'O0', 0.9840954274353877, 0.08591866493225098]
['CO', 292, 'UO', 55, 'vdir', 'ar', 'O2', 'O3', 0.9576050576422462, 3.073343276977539]
['CO', 109, 'BO', 72, 'basename', 'make', 'O1', 'O2', 0.9521012200632626, 0.4041140079498291]
['UO', 85, 'CO', 116, 'locate', 'ptx', 'O0', 'O1', 0.9728227300802965, 0.5316689014434814]
['BO', 53, 'CO', 184, 'bash', 'uname', 'O0', 'O1', 0.996547756041427, 2.225059986114502]
['CO', 220, 'UO', 26, 'ptx', 'nm', 'O2', 'O2', 0.9647034680894726, 1.646531343460083]
['CO', 310, 'UO', 86, 'mknod', 'xargs', 'O2', 'O0', 0.9650872817955112, 0.15439844131469727]
['UO', 25, 'CO', 239, 'sdiff', 'date', 'O2', 'O2', 0.9142857142857143, 0.13936161994934082]
['UO', 35, 'CO', 340, 'gprof', 'factor', 'O2', 'O0', 0.9928517682468021, 2.297179698944092]
['BO', 83, 'CO', 130, 'lua', 'kill', 'O2', 'O1', 0.9911811023622047, 0.6585550308227539]
['CO', 150, 'UO', 79, 'whoami', 'size', 'O1', 'O0', 0.9911969331250887, 1.6108129024505615]
['CO', 107, 'BO', 2, 'unlink', 'perl', 'O1', 'O1', 0.9911468812877263, 2.469412326812744]
['CO', 179, 'UO', 37, 'mv', 'ar', 'O1', 'O2', 0.959445037353255, 3.8579699993133545]
['UO', 37, 'BO', 82, 'ar', 'cp', 'O2', 'O3', 0.9865747460087083, 3.176065444946289]
['BO', 43, 'CO', 215, 'diff', 'fmt', 'O1', 'O2', 0.975, 0.1809680461883545]
['CO', 105, 'UO', 76, 'touch', 'addr2line', 'O1', 'O0', 0.9869770019395955, 2.8631436824798584]
['UO', 65, 'CO', 161, 'sdiff', 'od', 'O3', 'O1', 0.9052496798975672, 0.14684367179870605]
['BO', 51, 'CO', 79, 'lua', 'link', 'O1', 'O3', 0.9934092270820851, 0.6379292011260986]
['BO', 18, 'CO', 203, 'libvlc.so.12.0.0', 'sort', 'O1', 'O1', 0.9833134684147795, 1.5370266437530518]
['CO', 64, 'UO', 77, 'tty', 'ar', 'O3', 'O0', 0.9926749864351601, 1.7661433219909668]
['CO', 324, 'UO', 19, 'ptx', 'cmp', 'O0', 'O1', 0.9528535980148883, 0.14140605926513672]
['CO', 207, 'BO', 49, 'ln', 'svn', 'O1', 'O0', 0.9831932773109243, 1.5179476737976074]
['UO', 75, 'BO', 15, 'gprof', 'diff', 'O0', 'O0', 0.998061076102763, 6.232420206069946]
['UO', 45, 'CO', 337, 'strip', 'chgrp', 'O3', 'O0', 0.9894754710575454, 2.4039647579193115]
['CO', 173, 'BO', 51, 'who', 'lua', 'O1', 'O1', 0.9612106964443139, 0.8699061870574951]
['CO', 26, 'UO', 28, 'kill', 'readelf', 'O3', 'O2', 0.96996336996337, 0.5547778606414795]
['CO', 266, 'BO', 44, 'df', 'cmp', 'O2', 'O2', 0.9631901840490797, 0.13567352294921875]
['UO', 43, 'BO', 19, 'find', 'libvlccore.so.9.0.0', 'O2', 'O1', 0.9722609766105867, 18.514128923416138]
['CO', 65, 'BO', 60, 'false', 'openssl', 'O3', 'O0', 0.9967767929089444, 2.7890610694885254]
['UO', 42, 'BO', 65, 'xargs', 'gvmap', 'O2', 'O0', 0.9342638451148131, 0.7755746841430664]
['BO', 59, 'CO', 216, 'libgeany.so.0.0.0', 'dir', 'O3', 'O2', 0.9984791425260718, 17.820317029953003]
['CO', 364, 'UO', 87, 'sha256sum', 'find', 'O0', 'O0', 0.9747327502429544, 1.033289909362793]
['UO', 50, 'CO', 382, 'strings', 'b2sum', 'O3', 'O0', 0.9880749574105622, 1.552826166152954]
['CO', 180, 'UO', 52, 'md5sum', 'ld', 'O1', 'O3', 0.980642446345911, 1.762500286102295]
['CO', 148, 'BO', 52, 'seq', 'svn', 'O1', 'O3', 0.9850570192685805, 0.76328444480896]
['BO', 25, 'UO', 54, 'dot', 'addr2line', 'O3', 'O3', 0.9908946050534942, 0.42801523208618164]
['BO', 3, 'CO', 361, 'openssl', 'nice', 'O1', 'O0', 0.995321376851955, 2.626101016998291]
['CO', 234, 'BO', 20, 'kill', 'sort', 'O2', 'O1', 0.9252525252525252, 0.16635799407958984]
['CO', 13, 'UO', 25, 'printenv', 'sdiff', 'O3', 'O2', 0.9015280135823429, 0.08112430572509766]
['CO', 49, 'UO', 61, 'nice', 'find', 'O3', 'O3', 0.9725177304964538, 0.47292613983154297]
['BO', 25, 'CO', 300, 'dot', 'sha512sum', 'O3', 'O2', 0.993485342019544, 0.03323841094970703]
['BO', 62, 'CO', 155, 'bash', 'realpath', 'O1', 'O1', 0.9955938697318008, 2.6107289791107178]
['UO', 67, 'BO', 72, 'strip', 'make', 'O0', 'O2', 0.9827417140615807, 11.704298496246338]
['CO', 117, 'BO', 15, 'printenv', 'diff', 'O1', 'O0', 0.9162640901771336, 0.22380614280700684]
['CO', 73, 'UO', 55, 'hostid', 'ar', 'O3', 'O3', 0.9768211920529801, 0.9081118106842041]
['BO', 78, 'CO', 48, 'ssh', 'ls', 'O0', 'O3', 0.9923262442446832, 5.749670743942261]
['BO', 39, 'CO', 148, 'codeblocks', 'seq', 'O3', 'O1', 0.9987788496763952, 4.179800987243652]
['CO', 277, 'BO', 31, 'who', 'bash', 'O2', 'O2', 0.9855181493323303, 2.5272793769836426]
['CO', 64, 'BO', 56, 'tty', 'libvlc.so.12.0.0', 'O3', 'O3', 0.9881364310430054, 0.4749331474304199]
['UO', 3, 'BO', 29, 'nm', 'libvlc.so.12.0.0', 'O1', 'O2', 0.9892693703645258, 6.521645784378052]
['UO', 77, 'CO', 100, 'ar', 'tac', 'O0', 'O3', 0.9975881012997454, 1.9221947193145752]
['BO', 63, 'CO', 147, 'cluster', 'chroot', 'O0', 'O1', 0.9726858877086495, 0.4740159511566162]
['CO', 165, 'BO', 63, 'cksum', 'cluster', 'O1', 'O0', 0.9572471324296141, 0.3759465217590332]
['CO', 126, 'BO', 65, 'pwd', 'gvmap', 'O1', 'O0', 0.9666498231430015, 0.42099809646606445]
