['CO', 99, 'BO', 12, 'sort', 'libgeany.so.0.0.0', 'O3', 'O0', 0.9928470588235294, 23.7191903591156]
['UO', 63, 'CO', 127, 'cmp', 'pr', 'O3', 'O1', 0.8945908460471568, 0.12092995643615723]
['CO', 64, 'UO', 60, 'tty', 'xargs', 'O3', 'O3', 0.9553695955369595, 0.12770795822143555]
['CO', 169, 'BO', 44, 'false', 'cmp', 'O1', 'O2', 0.9065817409766455, 0.05712723731994629]
['UO', 18, 'CO', 120, 'diff3', 'dirname', 'O1', 'O1', 0.9222972972972973, 0.0798029899597168]
['UO', 14, 'CO', 385, 'ar', 'hostid', 'O1', 'O0', 0.9913129318854886, 1.1158242225646973]
['UO', 54, 'CO', 362, 'addr2line', 'dircolors', 'O3', 'O0', 0.9930480121659787, 1.1158623695373535]
['BO', 59, 'CO', 122, 'libgeany.so.0.0.0', 'uptime', 'O3', 'O1', 0.9993369188830767, 7.723921537399292]
['CO', 194, 'BO', 65, 'tr', 'gvmap', 'O1', 'O0', 0.9653465346534653, 0.47536730766296387]
['BO', 43, 'CO', 401, 'diff', 'pathchk', 'O1', 'O0', 0.9825174825174825, 0.20680952072143555]
['BO', 74, 'UO', 25, 'dot', 'sdiff', 'O1', 'O2', 0.9820627802690582, 0.045575857162475586]
['BO', 59, 'UO', 71, 'libgeany.so.0.0.0', 'c++filt', 'O3', 'O0', 0.996012735442021, 146.87468957901]
['BO', 31, 'UO', 75, 'bash', 'gprof', 'O2', 'O0', 0.9824701195219123, 57.52165675163269]
['UO', 15, 'CO', 318, 'elfedit', 'mkdir', 'O1', 'O0', 0.9693251533742331, 0.24170517921447754]
['UO', 72, 'CO', 334, 'strings', 'pwd', 'O0', 'O0', 0.9983050847457627, 1.7060608863830566]
['BO', 44, 'CO', 402, 'cmp', 'tr', 'O2', 'O0', 0.9027355623100304, 0.10564184188842773]
['CO', 171, 'UO', 36, 'nohup', 'addr2line', 'O1', 'O2', 0.970103986135182, 1.0135762691497803]
['UO', 17, 'CO', 127, 'objdump', 'pr', 'O1', 'O1', 0.9935699588477366, 2.6785836219787598]
['UO', 18, 'CO', 51, 'diff3', 'realpath', 'O1', 'O3', 0.9210884353741496, 0.11481237411499023]
['UO', 13, 'CO', 314, 'addr2line', 'stat', 'O1', 'O0', 0.9879728419010669, 2.3429558277130127]
['BO', 67, 'CO', 224, 'libSDL2-2.0.so.0.16.0', 'dirname', 'O1', 'O2', 0.9955395861727171, 1.4854466915130615]
['UO', 18, 'BO', 46, 'diff3', 'ruby', 'O1', 'O3', 0.9907749703238935, 9.934155702590942]
['UO', 47, 'CO', 348, 'as', 'pinky', 'O3', 'O0', 0.9938163731684366, 1.9290096759796143]
['CO', 269, 'UO', 1, 'cksum', 'xargs', 'O2', 'O1', 0.9567099567099567, 0.11907339096069336]
['BO', 51, 'UO', 56, 'lua', 'elfedit', 'O1', 'O3', 0.9946698252887178, 0.633540153503418]
['BO', 72, 'UO', 49, 'make', 'c++filt', 'O2', 'O3', 0.9489551762641569, 6.149999618530273]
['BO', 61, 'CO', 406, 'git', 'rm', 'O1', 'O0', 0.99863434619324, 9.519526243209839]
['CO', 245, 'UO', 39, 'truncate', 'size', 'O2', 'O2', 0.978204010462075, 0.8586270809173584]
['UO', 11, 'CO', 348, 'ld', 'pinky', 'O1', 'O0', 0.9953418276476229, 2.0269384384155273]
['CO', 197, 'BO', 60, 'nl', 'openssl', 'O1', 'O0', 0.9931802226456724, 3.5075087547302246]
['BO', 75, 'CO', 171, 'gvmap', 'nohup', 'O1', 'O1', 0.9664570230607966, 0.2928004264831543]
['CO', 180, 'BO', 51, 'md5sum', 'lua', 'O1', 'O1', 0.9560570071258907, 0.727318525314331]
