['CO', 348, 'BO', 1, 'pinky', 'ssh', 'O0', 'O2', 0.9824561403508771, 1.8903496265411377]
['CO', 39, 'BO', 17, 'paste', 'codeblocks', 'O3', 'O2', 0.9926789924308227, 4.496025085449219]
['CO', 306, 'UO', 59, 'sleep', 'locate', 'O2', 'O3', 0.9661691542288557, 0.1709280014038086]
['BO', 26, 'CO', 106, 'gvmap', 'stat', 'O3', 'O1', 0.9509862522414824, 0.5627520084381104]
['CO', 370, 'UO', 11, 'df', 'ld', 'O0', 'O1', 0.964719717757742, 4.28972601890564]
['UO', 22, 'CO', 158, 'diff3', 'true', 'O2', 'O1', 0.9301470588235294, 0.06847357749938965]
['CO', 208, 'UO', 11, 'sha384sum', 'ld', 'O2', 'O1', 0.9817225145389089, 1.5817794799804688]
['UO', 87, 'CO', 368, 'find', 'cut', 'O0', 'O0', 0.9928385416666666, 0.8371381759643555]
['BO', 67, 'CO', 388, 'libSDL2-2.0.so.0.16.0', 'md5sum', 'O1', 'O0', 0.9927051671732523, 2.61139178276062]
['CO', 354, 'UO', 46, 'sum', 'readelf', 'O0', 'O3', 0.9692522711390636, 0.7080950736999512]
['UO', 19, 'CO', 277, 'cmp', 'who', 'O1', 'O2', 0.9021739130434783, 0.07426762580871582]
['UO', 47, 'CO', 297, 'as', 'pathchk', 'O3', 'O2', 0.9972617743702081, 1.103454828262329]
['CO', 16, 'UO', 75, 'dirname', 'gprof', 'O3', 'O0', 0.9948793963077752, 1.8590145111083984]
['UO', 68, 'CO', 304, 'readelf', 'fold', 'O0', 'O2', 0.995249406175772, 0.6744034290313721]
['CO', 306, 'UO', 74, 'sleep', 'ld', 'O2', 'O0', 0.9960139511709019, 2.0112192630767822]
['UO', 78, 'CO', 241, 'elfedit', 'chown', 'O0', 'O2', 0.9467376830892144, 0.15696358680725098]
['UO', 60, 'CO', 42, 'xargs', 'sum', 'O3', 'O3', 0.9725, 0.15723013877868652]
['CO', 3, 'UO', 34, 'unlink', 'ld', 'O3', 'O2', 0.9821782178217822, 1.3952643871307373]
