['UV', 69, 'CV', 285, 'sdiff', 'factor', 'V0', 'V1', 0.9569120287253142, 0.057729482650756836]
['CV', 92, 'BV', 67, 'mkdir', 'cluster', 'V3', 'V0', 0.9388516032811335, 0.3377702236175537]
['BV', 8, 'CV', 231, 'cluster', 'who', 'V2', 'V0', 0.98796992481203, 0.2431473731994629]
['BV', 60, 'UV', 24, 'codeblocks', 'readelf', 'V1', 'V3', 0.9934019235070454, 26.741740465164185]
['CV', 163, 'UV', 81, 'comm', 'ld', 'V3', 'V0', 0.9814287853826569, 1.714853048324585]
['UV', 1, 'CV', 261, 'xargs', 'touch', 'V2', 'V1', 0.9647218453188603, 0.10023069381713867]
['CV', 220, 'BV', 62, 'cut', 'diff', 'V0', 'V0', 0.874439461883408, 0.08742284774780273]
['CV', 4, 'BV', 83, 'basename', 'git', 'V2', 'V2', 0.9938147922292883, 3.5308926105499268]
['CV', 328, 'UV', 37, 'uname', 'locate', 'V1', 'V3', 0.9770594369134515, 0.1431441307067871]
['BV', 6, 'CV', 138, 'libvlc.so', 'printf', 'V0', 'V3', 0.9874357509994289, 0.4291422367095947]
['UV', 65, 'CV', 9, 'objdump', 'users', 'V1', 'V2', 0.9973049857763138, 1.1423497200012207]
['BV', 42, 'UV', 25, 'libvlc.so', 'as', 'V1', 'V3', 0.9591329871302777, 9.609794616699219]
['UV', 85, 'CV', 319, 'elfedit', 'readlink', 'V0', 'V1', 0.9759036144578314, 0.05731678009033203]
['CV', 249, 'UV', 40, 'tr', 'diff3', 'V0', 'V3', 0.8685897435897436, 0.07786107063293457]
['UV', 35, 'CV', 297, 'size', 'chroot', 'V3', 'V1', 0.9973544973544973, 0.5697293281555176]
['CV', 54, 'UV', 8, 'false', 'strip', 'V2', 'V2', 0.9840905073360439, 0.7969989776611328]
['UV', 53, 'CV', 106, 'readelf', 'pr', 'V1', 'V3', 0.9839541547277937, 0.5090281963348389]
['BV', 26, 'UV', 19, 'geany', 'elfedit', 'V2', 'V2', 0.9995525126415179, 4.368298768997192]
