['CO', 180, 'UO', 21, 'md5sum', 'sdiff', 'O1', 'O1', 0.8947368421052632, 0.09871196746826172]
['UO', 3, 'BO', 9, 'nm', 'git', 'O1', 'O0', 0.9673276332545024, 80.84646010398865]
['CO', 410, 'UO', 3, 'sleep', 'nm', 'O0', 'O1', 0.9761855881749127, 1.1133925914764404]
['UO', 13, 'CO', 17, 'addr2line', 'stdbuf', 'O1', 'O3', 0.9962894248608535, 1.1281838417053223]
['CO', 400, 'BO', 50, 'shred', 'perl', 'O0', 'O2', 0.9799700851921701, 5.0384111404418945]
['CO', 402, 'UO', 2, 'tr', 'find', 'O0', 'O1', 0.9468675654242664, 0.7775297164916992]
['CO', 362, 'BO', 57, 'dircolors', 'libvlccore.so.9.0.0', 'O0', 'O3', 0.9863996977710616, 3.2051150798797607]
['UO', 86, 'CO', 110, 'xargs', 'mkdir', 'O0', 'O1', 0.9524324324324325, 0.23635005950927734]
['UO', 15, 'CO', 15, 'elfedit', 'join', 'O1', 'O3', 0.9648093841642229, 0.12186765670776367]
['CO', 228, 'BO', 54, 'mkfifo', 'lua', 'O2', 'O3', 0.9799092676604018, 0.48127055168151855]
['CO', 345, 'BO', 59, 'chown', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9886836533547492, 17.52518916130066]
['CO', 84, 'BO', 55, 'vdir', 'make', 'O3', 'O1', 0.9321544568747745, 1.3358018398284912]
['CO', 89, 'UO', 35, 'pathchk', 'gprof', 'O3', 'O2', 0.9682350605519158, 1.0634353160858154]
['BO', 34, 'CO', 333, 'cp', 'mktemp', 'O2', 'O0', 0.9819819819819819, 0.24119114875793457]
['BO', 40, 'CO', 175, 'lua', 'readlink', 'O0', 'O1', 0.9859733978234583, 1.0483424663543701]
['BO', 19, 'CO', 132, 'libvlccore.so.9.0.0', 'factor', 'O1', 'O1', 0.9952489547700494, 3.50036358833313]
['UO', 0, 'CO', 59, 'locate', 'tsort', 'O1', 'O3', 0.9882055602358888, 0.24700713157653809]
['BO', 65, 'CO', 283, 'gvmap', 'mv', 'O0', 'O2', 0.9608138658628486, 1.4086723327636719]
['CO', 304, 'BO', 2, 'fold', 'perl', 'O2', 'O1', 0.9916063010233414, 2.3786187171936035]
['UO', 23, 'CO', 34, 'cmp', 'tail', 'O2', 'O3', 0.9118028534370947, 0.12117671966552734]
['UO', 28, 'CO', 37, 'readelf', 'truncate', 'O2', 'O3', 0.9933993399339934, 0.5031638145446777]
