['BO', 22, 'UO', 35, 'perl', 'gprof', 'O0', 'O2', 0.9840136416924224, 50.671334981918335]
['CO', 248, 'UO', 56, 'sync', 'elfedit', 'O2', 'O3', 0.9686800894854586, 0.06605648994445801]
['UO', 51, 'CO', 413, 'objcopy', 'rmdir', 'O3', 'O0', 0.9935817436263149, 1.1907808780670166]
['CO', 79, 'UO', 57, 'link', 'size', 'O3', 'O3', 0.9754654983570646, 0.8741097450256348]
['UO', 80, 'CO', 201, 'objdump', 'uniq', 'O0', 'O1', 0.9970296110646988, 2.8704161643981934]
['UO', 32, 'CO', 357, 'strings', 'split', 'O2', 'O0', 0.9900703351261895, 1.766284465789795]
['CO', 292, 'UO', 10, 'vdir', 'objcopy', 'O2', 'O1', 0.9537535635096611, 3.614778518676758]
['UO', 49, 'BO', 80, 'c++filt', 'ssh', 'O3', 'O3', 0.9735430157261795, 20.229546070098877]
['CO', 304, 'BO', 13, 'fold', 'ruby', 'O2', 'O1', 0.9936492761540563, 4.653692960739136]
['UO', 7, 'CO', 139, 'ranlib', 'base32', 'O1', 'O1', 0.9937254901960785, 1.1488304138183594]
['UO', 18, 'CO', 303, 'diff3', 'sha224sum', 'O1', 'O2', 0.9397781299524565, 0.08893465995788574]
['UO', 82, 'BO', 64, 'cmp', 'dot', 'O0', 'O0', 0.9902200488997555, 0.04575705528259277]
['UO', 59, 'CO', 36, 'locate', 'pinky', 'O3', 'O3', 0.9876868953386104, 0.25528526306152344]
['CO', 336, 'BO', 45, 'tee', 'diff', 'O0', 'O2', 0.9187554019014693, 0.23766493797302246]
['BO', 44, 'UO', 56, 'cmp', 'elfedit', 'O2', 'O3', 0.9747747747747748, 0.09978485107421875]
['UO', 25, 'CO', 375, 'sdiff', 'logname', 'O2', 'O0', 0.9290540540540541, 0.0867624282836914]
['UO', 29, 'CO', 227, 'as', 'dd', 'O2', 'O2', 0.9950339780449555, 2.5312857627868652]
['BO', 35, 'UO', 78, 'make', 'elfedit', 'O3', 'O0', 0.9922212618841832, 0.479581356048584]
['CO', 115, 'UO', 66, 'groups', 'nm', 'O1', 'O0', 0.9880189467818333, 1.9452285766601562]
['CO', 325, 'UO', 64, 'printenv', 'diff', 'O0', 'O3', 0.9259911894273127, 0.1905055046081543]
['UO', 59, 'CO', 47, 'locate', 'numfmt', 'O3', 'O3', 0.9846547314578005, 0.2740669250488281]
['CO', 293, 'BO', 83, '[', 'lua', 'O2', 'O2', 0.9663026521060842, 0.6734864711761475]
['CO', 343, 'BO', 2, 'date', 'perl', 'O0', 'O1', 0.9780716627105234, 5.577874422073364]
['CO', 55, 'UO', 66, 'cp', 'nm', 'O3', 'O0', 0.9863770723557383, 5.3759214878082275]
['CO', 88, 'UO', 66, 'shred', 'nm', 'O3', 'O0', 0.989458034869577, 3.231201410293579]
['CO', 248, 'BO', 23, 'sync', 'git', 'O2', 'O2', 0.9949622166246851, 3.5498709678649902]
['CO', 313, 'UO', 16, 'touch', 'size', 'O0', 'O1', 0.962683604605002, 2.0506203174591064]
['CO', 2, 'UO', 21, 'stat', 'sdiff', 'O3', 'O1', 0.9413092550790068, 0.17043757438659668]
['UO', 45, 'CO', 56, 'strip', 'cut', 'O3', 'O3', 0.9932743362831858, 1.227907657623291]
['CO', 97, 'BO', 67, 'uniq', 'libSDL2-2.0.so.0.16.0', 'O3', 'O1', 0.98160251755023, 2.8011858463287354]
['CO', 365, 'UO', 42, 'chmod', 'xargs', 'O0', 'O2', 0.9656218402426694, 0.2813701629638672]
['UO', 83, 'CO', 117, 'diff', 'printenv', 'O0', 'O1', 0.9758454106280193, 0.20429730415344238]
['CO', 360, 'UO', 46, 'ls', 'readelf', 'O0', 'O3', 0.9598349381017882, 2.238013744354248]
['CO', 59, 'UO', 23, 'tsort', 'cmp', 'O3', 'O2', 0.9191564147627417, 0.07326912879943848]
['CO', 370, 'BO', 24, 'df', 'cluster', 'O0', 'O3', 0.9545970488081725, 0.6997528076171875]
['CO', 342, 'BO', 33, 'expand', 'sort', 'O0', 'O2', 0.9220272904483431, 0.20810914039611816]
['CO', 63, 'UO', 72, 'logname', 'strings', 'O3', 'O0', 0.9934510250569476, 1.6005747318267822]
['BO', 5, 'CO', 77, 'libgeany.so.0.0.0', 'env', 'O1', 'O3', 0.9993917968601513, 5.397386312484741]
['BO', 51, 'CO', 235, 'lua', 'wc', 'O1', 'O2', 0.9911137440758294, 0.7790522575378418]
['BO', 34, 'CO', 62, 'cp', 'printf', 'O2', 'O3', 0.9613259668508287, 0.19017362594604492]
['CO', 190, 'UO', 24, 'timeout', 'diff', 'O1', 'O2', 0.9061433447098977, 0.2417135238647461]
['UO', 71, 'CO', 390, 'c++filt', 'chcon', 'O0', 'O0', 0.9970157352143245, 3.416764497756958]
['CO', 146, 'BO', 44, 'sum', 'cmp', 'O1', 'O2', 0.8985507246376812, 0.0727846622467041]
['CO', 185, 'UO', 28, 'cat', 'readelf', 'O1', 'O2', 0.9666666666666667, 0.5100688934326172]
['BO', 54, 'CO', 29, 'lua', 'nproc', 'O3', 'O3', 0.9930313588850174, 0.5998780727386475]
['UO', 66, 'CO', 193, 'nm', 'pathchk', 'O0', 'O1', 0.9949657390574744, 1.4211580753326416]
['CO', 36, 'UO', 48, 'pinky', 'ranlib', 'O3', 'O3', 0.9654541759804918, 1.2710061073303223]
['CO', 291, 'UO', 67, 'csplit', 'strip', 'O2', 'O0', 0.9899132066619751, 2.723217487335205]
['BO', 17, 'CO', 261, 'codeblocks', 'chmod', 'O2', 'O2', 0.9971676620897728, 5.275113105773926]
['UO', 30, 'BO', 58, 'ranlib', 'svn', 'O2', 'O1', 0.9845795752109398, 7.9332802295684814]
['CO', 380, 'UO', 71, 'yes', 'c++filt', 'O0', 'O0', 0.989687768547694, 1.852529525756836]
['CO', 386, 'BO', 23, 'unexpand', 'git', 'O0', 'O2', 0.9904905986600389, 5.447084903717041]
['UO', 85, 'CO', 0, 'locate', 'sha384sum', 'O0', 'O3', 0.9905913978494624, 0.3394947052001953]
['UO', 66, 'CO', 184, 'nm', 'uname', 'O0', 'O1', 0.9949622166246851, 1.3709754943847656]
['BO', 37, 'CO', 322, 'gvmap', 'users', 'O2', 'O0', 0.9760394644115574, 0.31667351722717285]
['UO', 65, 'CO', 20, 'sdiff', 'mkfifo', 'O3', 'O3', 0.943217665615142, 0.0830380916595459]
['CO', 167, 'BO', 8, 'logname', 'cp', 'O1', 'O0', 0.9406077348066298, 0.24773526191711426]
