['UO', 38, 'CO', 331, 'elfedit', 'dd', 'O2', 'O0', 0.9611650485436893, 0.1991863250732422]
['BO', 17, 'CO', 239, 'codeblocks', 'date', 'O2', 'O2', 0.998031011567807, 5.075092554092407]
['UO', 71, 'CO', 354, 'c++filt', 'sum', 'O0', 'O0', 0.998019801980198, 1.8742401599884033]
['UO', 17, 'CO', 242, 'objdump', 'tail', 'O1', 'O2', 0.9922730199613651, 2.6397433280944824]
['UO', 28, 'CO', 119, 'readelf', 'join', 'O2', 'O1', 0.9799713876967096, 0.6851143836975098]
['CO', 9, 'BO', 14, 'du', 'cmp', 'O3', 'O0', 0.9741935483870968, 0.22108960151672363]
['BO', 33, 'UO', 46, 'sort', 'readelf', 'O2', 'O3', 0.9660297239915074, 1.5394220352172852]
['UO', 41, 'CO', 350, 'locate', 'sha1sum', 'O2', 'O0', 0.9699499165275459, 0.31476330757141113]
['BO', 56, 'CO', 328, 'libvlc.so.12.0.0', 'dirname', 'O3', 'O0', 0.9940623453735774, 0.4812452793121338]
['CO', 225, 'UO', 5, 'stdbuf', 'readelf', 'O2', 'O1', 0.9671311182565202, 0.5600452423095703]
['CO', 128, 'BO', 29, 'tee', 'libvlc.so.12.0.0', 'O1', 'O2', 0.9826086956521739, 0.6040315628051758]
['BO', 35, 'CO', 314, 'make', 'stat', 'O3', 'O0', 0.9762178749520521, 1.1242239475250244]
['UO', 4, 'BO', 5, 'strip', 'libgeany.so.0.0.0', 'O1', 'O1', 0.976140750585406, 127.80457139015198]
['BO', 7, 'UO', 60, 'sort', 'xargs', 'O0', 'O3', 0.979002624671916, 0.5418069362640381]
['UO', 15, 'CO', 54, 'elfedit', 'true', 'O1', 'O3', 0.9839357429718876, 0.07511687278747559]
['UO', 54, 'CO', 153, 'addr2line', 'nice', 'O3', 'O1', 0.9942617523725447, 0.8766384124755859]
['CO', 232, 'UO', 36, 'tee', 'addr2line', 'O2', 'O2', 0.9765472312703583, 1.0077228546142578]
['CO', 107, 'UO', 41, 'unlink', 'locate', 'O1', 'O2', 0.9572093023255814, 0.20249581336975098]
['UO', 20, 'BO', 72, 'diff', 'make', 'O1', 'O2', 0.9539360605018907, 1.5375244617462158]
['UO', 10, 'CO', 286, 'objcopy', 'chcon', 'O1', 'O2', 0.9916317991631799, 2.032837390899658]
['BO', 71, 'CO', 126, 'libSDL2-2.0.so.0.16.0', 'pwd', 'O0', 'O1', 0.9953221348075696, 2.5472543239593506]
['CO', 318, 'BO', 78, 'mkdir', 'ssh', 'O0', 'O0', 0.9774377303697085, 6.019449710845947]
