['CV', 322, 'UV', 75, 'ginstall', 'readelf', 'V1', 'V0', 0.9695014662756598, 0.5319759845733643]
['CV', 74, 'UV', 13, 'pathchk', 'strings', 'V2', 'V2', 0.9771502478982539, 0.8139572143554688]
['BV', 18, 'CV', 298, 'sort', 'seq', 'V3', 'V1', 0.978494623655914, 0.11778926849365234]
['UV', 78, 'CV', 294, 'c++filt', 'sync', 'V0', 'V1', 0.9986257443884563, 0.4755682945251465]
['UV', 25, 'CV', 87, 'as', 'touch', 'V3', 'V3', 0.9958268127282212, 2.623507499694824]
['CV', 307, 'UV', 26, 'cut', 'ranlib', 'V1', 'V3', 0.9777869189633895, 0.8825132846832275]
['BV', 52, 'CV', 171, 'libSDL2-2.0.so', 'rmdir', 'V2', 'V3', 0.9953780973167288, 1.756695032119751]
['BV', 72, 'CV', 328, 'perl', 'uname', 'V1', 'V1', 0.999113409678611, 1.4015159606933594]
['CV', 118, 'BV', 21, 'sha1sum', 'cp', 'V3', 'V1', 0.8821917808219178, 0.11581969261169434]
['BV', 67, 'CV', 51, 'cluster', 'printf', 'V0', 'V2', 0.9688473520249221, 0.28058362007141113]
['CV', 132, 'BV', 4, 'cp', 'geany', 'V3', 'V3', 0.9859788466993556, 20.382554531097412]
['CV', 186, 'UV', 29, 'stty', 'objcopy', 'V0', 'V3', 0.9825031244420639, 1.0839369297027588]
['BV', 48, 'CV', 199, 'gvmap', 'expand', 'V3', 'V0', 0.9852180339985218, 0.18932843208312988]
['CV', 44, 'BV', 62, 'true', 'diff', 'V2', 'V0', 0.8798151001540833, 0.08142638206481934]
['CV', 151, 'BV', 51, 'md5sum', 'cp', 'V3', 'V0', 0.9068493150684931, 0.1160895824432373]
['BV', 55, 'CV', 245, 'codeblocks', '[', 'V3', 'V0', 0.9991270732011472, 2.647310733795166]
['CV', 48, 'BV', 23, 'df', 'diff', 'V2', 'V3', 0.90572878897752, 0.32746195793151855]
['BV', 16, 'CV', 141, 'libvlc.so', 'false', 'V3', 'V3', 0.9942196531791907, 0.39044809341430664]
['BV', 55, 'CV', 196, 'codeblocks', 'kill', 'V3', 'V0', 0.9992506088802847, 2.379225492477417]
['CV', 318, 'BV', 32, 'who', 'perl', 'V1', 'V0', 0.9881120860458534, 1.9033253192901611]
['CV', 253, 'UV', 60, 'fold', 'gprof', 'V0', 'V1', 0.9838455476753349, 0.7907116413116455]
['CV', 149, 'BV', 69, 'unexpand', 'gvmap', 'V3', 'V0', 0.9640179910044977, 0.27799534797668457]
['CV', 227, 'UV', 84, 'tty', 'ar', 'V0', 'V0', 0.9881053525913339, 0.6132028102874756]
['UV', 62, 'CV', 52, 'ar', 'logname', 'V1', 'V2', 0.9979951884522855, 0.7606444358825684]
['CV', 31, 'UV', 74, 'sha1sum', 'strip', 'V2', 'V0', 0.9800270819228165, 1.160045862197876]
['UV', 8, 'CV', 343, 'strip', 'sort', 'V2', 'V1', 0.9959520998482038, 1.9579041004180908]
['CV', 174, 'UV', 17, 'touch', 'addr2line', 'V0', 'V2', 0.9756877799104287, 0.9796695709228516]
['CV', 210, 'BV', 18, 'chroot', 'sort', 'V0', 'V3', 0.926, 0.11150193214416504]
