['UV', 61, 'CV', 80, 'addr2line', 'uniq', 'V1', 'V2', 0.9958176495190297, 0.9859211444854736]
['BV', 53, 'CV', 0, 'ssh', 'touch', 'V2', 'V2', 0.9987919969799924, 2.599088668823242]
['BV', 54, 'CV', 112, 'lua', 'expand', 'V3', 'V3', 0.9937655860349127, 0.6975674629211426]
['CV', 343, 'BV', 13, 'sort', 'cp', 'V1', 'V2', 0.8915555555555555, 0.24913501739501953]
['CV', 101, 'BV', 33, 'dirname', 'openssl', 'V3', 'V0', 0.9907431757218745, 3.504462480545044]
['CV', 9, 'BV', 82, 'users', 'gvmap', 'V2', 'V1', 0.9717114568599717, 0.24943971633911133]
['CV', 163, 'UV', 61, 'comm', 'addr2line', 'V3', 'V1', 0.9680497925311203, 1.1680114269256592]
['CV', 102, 'UV', 65, 'uptime', 'objdump', 'V3', 'V1', 0.976155431262879, 1.929245948791504]
['CV', 170, 'BV', 19, 'tac', 'cp', 'V3', 'V3', 0.8782608695652174, 0.20615911483764648]
['CV', 257, 'UV', 48, 'tac', 'locate', 'V0', 'V1', 0.8978451715881883, 0.28441739082336426]
['CV', 149, 'UV', 70, 'unexpand', 'locate', 'V3', 'V0', 0.8920704845814977, 0.15141701698303223]
['UV', 73, 'BV', 50, 'nm', 'sort', 'V0', 'V0', 0.9945089757127772, 1.228590965270996]
['UV', 45, 'CV', 240, 'cmp', 'link', 'V1', 'V0', 0.9566265060240964, 0.03531336784362793]
['CV', 17, 'BV', 8, 'mkfifo', 'cluster', 'V2', 'V2', 0.9664634146341463, 0.21177935600280762]
['BV', 40, 'UV', 19, 'lua', 'elfedit', 'V2', 'V2', 0.9932885906040269, 0.5299355983734131]
['BV', 16, 'CV', 230, 'libvlc.so', 'yes', 'V3', 'V0', 0.9949799196787149, 0.24146127700805664]
['UV', 68, 'CV', 196, 'diff', 'kill', 'V0', 'V0', 0.9807486631016042, 0.10300683975219727]
['CV', 136, 'UV', 19, 'tsort', 'elfedit', 'V3', 'V2', 0.9814814814814815, 0.08410358428955078]
['CV', 75, 'BV', 60, 'tr', 'codeblocks', 'V2', 'V1', 0.9948963317384371, 4.472557306289673]
['BV', 0, 'CV', 189, 'bash', 'uptime', 'V2', 'V0', 0.9979402677651905, 1.444345235824585]
['CV', 258, 'UV', 78, 'rmdir', 'c++filt', 'V0', 'V0', 0.9867155290884104, 0.5566391944885254]
['UV', 68, 'CV', 153, 'diff', 'link', 'V0', 'V3', 0.9742319127849356, 0.14453649520874023]
['UV', 42, 'CV', 324, 'diff', 'mv', 'V3', 'V1', 0.960811756473058, 0.3775031566619873]
['UV', 46, 'CV', 3, 'diff', 'test', 'V1', 'V2', 0.9864253393665159, 0.1915264129638672]
['UV', 30, 'CV', 145, 'ld', 'readlink', 'V3', 'V3', 0.9958053691275168, 1.6605005264282227]
