['CV', 7, 'BV', 28, 'dir', 'openssl', 'V2', 'V1', 0.9794246708922477, 9.258313417434692]
['UV', 83, 'CV', 256, 'addr2line', 'sort', 'V0', 'V0', 0.9948453608247423, 1.255523920059204]
['CV', 327, 'UV', 60, 'link', 'gprof', 'V1', 'V1', 0.9841865981419253, 0.6803717613220215]
['BV', 36, 'CV', 320, 'libvlc.so', 'head', 'V2', 'V1', 0.9942084942084942, 0.39093518257141113]
['CV', 287, 'UV', 43, 'date', 'sdiff', 'V1', 'V3', 0.8736176935229067, 0.08793139457702637]
['CV', 67, 'UV', 38, 'uname', 'xargs', 'V2', 'V3', 0.9616519174041298, 0.10929107666015625]
['BV', 62, 'CV', 268, 'diff', 'dir', 'V0', 'V1', 0.9305555555555556, 0.228135347366333]
['BV', 54, 'CV', 162, 'lua', 'tr', 'V3', 'V3', 0.9950708564386938, 0.7888858318328857]
['BV', 17, 'CV', 126, 'codeblocks', 'whoami', 'V2', 'V3', 0.9989881742869791, 3.132523775100708]
['UV', 2, 'BV', 35, 'find', 'libvlccore.so', 'V2', 'V2', 0.9838007492153488, 11.931742429733276]
['UV', 33, 'CV', 187, 'ar', 'join', 'V3', 'V0', 0.9955175224123879, 0.9516069889068604]
['CV', 18, 'UV', 86, 'pwd', 'size', 'V2', 'V0', 0.9836339966524084, 1.0109400749206543]
['CV', 76, 'BV', 76, 'comm', 'diff', 'V2', 'V2', 0.9070990359333918, 0.1793358325958252]
['BV', 8, 'UV', 49, 'cluster', 'xargs', 'V2', 'V1', 0.9747899159663865, 0.32607078552246094]
['BV', 46, 'CV', 213, 'cluster', 'whoami', 'V3', 'V0', 0.9872306464485235, 0.16218781471252441]
['BV', 11, 'UV', 70, 'bash', 'locate', 'V1', 'V0', 0.9929715762273902, 4.664119005203247]
['CV', 134, 'BV', 17, 'od', 'codeblocks', 'V3', 'V2', 0.9926374243464154, 7.669099807739258]
['CV', 76, 'UV', 47, 'comm', 'sdiff', 'V2', 'V1', 0.9074960127591707, 0.08132576942443848]
['CV', 179, 'BV', 27, 'mkdir', 'libSDL2-2.0.so', 'V0', 'V1', 0.9814686765316001, 1.6406493186950684]
['UV', 74, 'CV', 183, 'strip', 'users', 'V0', 'V0', 0.9982905982905983, 0.7867045402526855]
['CV', 155, 'BV', 27, 'cat', 'libSDL2-2.0.so', 'V3', 'V1', 0.9819103741263533, 2.0394084453582764]
['UV', 32, 'CV', 63, 'addr2line', 'mv', 'V3', 'V2', 0.9888910930370958, 2.6598072052001953]
['UV', 73, 'BV', 36, 'nm', 'libvlc.so', 'V0', 'V2', 0.9846104520679705, 6.367663621902466]
['CV', 100, 'UV', 69, 'join', 'sdiff', 'V3', 'V0', 0.9370277078085643, 0.13624238967895508]
['CV', 239, 'BV', 70, 'env', 'ssh', 'V0', 'V0', 0.9914718888186986, 1.4540042877197266]
['BV', 47, 'CV', 121, 'dot', 'echo', 'V3', 'V3', 0.993103448275862, 0.027599096298217773]
['BV', 41, 'CV', 207, 'libvlccore.so', 'sync', 'V1', 'V0', 0.9994790309976557, 0.8845682144165039]
['BV', 11, 'UV', 41, 'bash', 'cmp', 'V1', 'V3', 0.9967849105133426, 2.153280258178711]
['CV', 198, 'UV', 32, 'factor', 'addr2line', 'V0', 'V3', 0.9810447432223937, 0.7058696746826172]
['CV', 8, 'BV', 71, 'du', 'ruby', 'V2', 'V1', 1.0, 0.028995513916015625]
['UV', 20, 'CV', 247, 'size', 'shred', 'V2', 'V0', 0.9962049335863378, 1.5848321914672852]
['CV', 169, 'BV', 33, 'sort', 'openssl', 'V3', 'V0', 0.9777212614445575, 13.743520021438599]
['CV', 131, 'UV', 84, 'true', 'ar', 'V3', 'V0', 0.9799666110183639, 0.8962929248809814]
['CV', 286, 'UV', 9, 'expand', 'readelf', 'V1', 'V2', 0.971714790807307, 0.22081851959228516]
['UV', 69, 'CV', 126, 'sdiff', 'whoami', 'V0', 'V3', 0.9488, 0.07791304588317871]
['CV', 73, 'UV', 87, 'shred', 'objdump', 'V2', 'V0', 0.9755102040816327, 2.0579376220703125]
['CV', 80, 'BV', 50, 'uniq', 'sort', 'V2', 'V0', 0.9066022544283414, 0.08350634574890137]
['BV', 13, 'CV', 67, 'cp', 'uname', 'V2', 'V2', 0.97709049255441, 0.10668683052062988]
