['CV', 242, 'BV', 11, 'cat', 'bash', 'V0', 'V1', 0.986727589208007, 1.2282214164733887]
['UV', 34, 'CV', 264, 'elfedit', 'test', 'V3', 'V1', 0.9868421052631579, 0.06024599075317383]
['CV', 125, 'BV', 2, 'split', 'cmp', 'V3', 'V1', 0.9337016574585635, 0.10842394828796387]
['UV', 65, 'CV', 233, 'objdump', 'head', 'V1', 'V0', 0.9985011990407674, 1.0903575420379639]
['BV', 5, 'CV', 10, 'libvlccore.so', 'ptx', 'V0', 'V2', 0.996772591857001, 3.971431255340576]
['BV', 5, 'CV', 73, 'libvlccore.so', 'shred', 'V0', 'V2', 0.9981851179673321, 2.2372524738311768]
['CV', 226, 'BV', 11, 'logname', 'bash', 'V0', 'V1', 0.9897525346124496, 1.0953056812286377]
['CV', 189, 'UV', 23, 'uptime', 'strip', 'V0', 'V3', 0.98491921005386, 0.9605486392974854]
['BV', 64, 'CV', 63, 'openssl', 'mv', 'V2', 'V2', 0.9947163515016685, 4.313778638839722]
['CV', 155, 'BV', 42, 'cat', 'libvlc.so', 'V3', 'V1', 0.9769512833944474, 0.47936511039733887]
['CV', 166, 'BV', 9, 'fold', 'dot', 'V3', 'V2', 1.0, 0.031726837158203125]
['CV', 176, 'UV', 29, 'unlink', 'objcopy', 'V0', 'V3', 0.9840608585401196, 0.7131574153900146]
['CV', 29, 'UV', 37, 'tail', 'locate', 'V2', 'V3', 0.9640816326530612, 0.3344275951385498]
['CV', 250, 'UV', 4, 'comm', 'cmp', 'V0', 'V2', 0.8596491228070176, 0.04809117317199707]
['BV', 46, 'CV', 2, 'cluster', 'unlink', 'V3', 'V2', 0.9846625766871165, 0.1976933479309082]
['UV', 14, 'CV', 82, 'objcopy', 'sort', 'V2', 'V2', 0.9912052117263843, 2.7658541202545166]
['CV', 219, 'BV', 81, 'cp', 'dot', 'V0', 'V1', 0.9960629921259843, 0.049184322357177734]
['UV', 81, 'CV', 260, 'ld', 'ln', 'V0', 'V0', 0.9972698316396178, 1.1118648052215576]
['BV', 77, 'CV', 166, 'perl', 'fold', 'V2', 'V3', 0.998429805153094, 2.648912191390991]
['BV', 4, 'CV', 23, 'geany', 'wc', 'V3', 'V2', 0.9994190630316611, 7.253901481628418]
['CV', 95, 'BV', 52, 'du', 'libSDL2-2.0.so', 'V3', 'V2', 0.9748305905130688, 5.851408004760742]
['CV', 211, 'BV', 10, 'seq', 'gvmap', 'V0', 'V2', 0.9615384615384616, 0.18880367279052734]
['UV', 51, 'CV', 117, 'nm', 'pinky', 'V1', 'V3', 0.9938900203665988, 1.2094738483428955]
['UV', 72, 'CV', 108, 'find', 'chgrp', 'V0', 'V3', 0.970341715022566, 0.3940873146057129]
['CV', 293, 'UV', 0, 'paste', 'locate', 'V1', 'V2', 0.9013452914798207, 0.07895445823669434]
['UV', 46, 'CV', 266, 'diff', 'mkdir', 'V1', 'V1', 0.9863117870722433, 0.3005940914154053]
['UV', 70, 'CV', 119, 'locate', 'paste', 'V0', 'V3', 0.9506726457399103, 0.28263044357299805]
['BV', 74, 'CV', 342, 'git', 'sleep', 'V1', 'V1', 0.9993772057297073, 4.17793345451355]
['CV', 252, 'UV', 66, 'rm', 'diff3', 'V0', 'V0', 0.8609467455621302, 0.10053491592407227]
['CV', 261, 'BV', 74, 'touch', 'git', 'V1', 'V1', 0.9910040326750078, 3.161221742630005]
['BV', 61, 'CV', 131, 'cmp', 'true', 'V0', 'V3', 0.9101796407185628, 0.03197622299194336]
['UV', 75, 'CV', 321, 'readelf', 'hostid', 'V0', 'V1', 0.9895910780669145, 0.15231776237487793]
['CV', 296, 'UV', 60, 'sum', 'gprof', 'V1', 'V1', 0.9823805794831637, 0.9053270816802979]
['CV', 292, 'UV', 63, 'sha1sum', 'elfedit', 'V1', 'V1', 0.9767981438515081, 0.06104469299316406]
['CV', 160, 'BV', 33, 'shred', 'openssl', 'V3', 'V0', 0.9817123857024106, 6.790339708328247]
['BV', 17, 'CV', 103, 'codeblocks', 'dd', 'V2', 'V3', 0.9977681339119653, 6.806103467941284]
['CV', 7, 'UV', 3, 'dir', 'diff3', 'V2', 'V2', 0.9395121951219512, 0.19770336151123047]
['UV', 59, 'CV', 57, 'ld', 'who', 'V1', 'V2', 0.997169143665959, 1.5329558849334717]
['UV', 54, 'CV', 83, 'as', 'tac', 'V1', 'V2', 0.996386630532972, 2.8917715549468994]
['CV', 192, 'BV', 60, 'pwd', 'codeblocks', 'V0', 'V1', 0.9955053293951458, 3.0585248470306396]
['BV', 46, 'CV', 204, 'cluster', 'pinky', 'V3', 'V0', 0.9924585218702866, 0.2665388584136963]
['BV', 53, 'UV', 87, 'ssh', 'objdump', 'V2', 'V0', 0.9911578071361697, 59.30255675315857]
['CV', 59, 'UV', 31, 'head', 'gprof', 'V2', 'V3', 0.9697692919649961, 1.127976894378662]
['CV', 250, 'BV', 49, 'comm', 'make', 'V0', 'V3', 0.9659770114942529, 0.3205380439758301]
['UV', 63, 'CV', 328, 'elfedit', 'uname', 'V1', 'V1', 0.9896373056994818, 0.043469905853271484]
['CV', 277, 'UV', 59, 'dd', 'ld', 'V1', 'V1', 0.981651376146789, 1.8968479633331299]
['CV', 188, 'UV', 26, 'dirname', 'ranlib', 'V0', 'V3', 0.9837669094693028, 0.6393041610717773]
['BV', 57, 'CV', 247, 'svn', 'shred', 'V2', 'V0', 0.9918845807033363, 0.5784533023834229]
['UV', 19, 'CV', 73, 'elfedit', 'shred', 'V2', 'V2', 0.9804560260586319, 0.11384272575378418]
['UV', 45, 'CV', 138, 'cmp', 'printf', 'V1', 'V3', 0.9335548172757475, 0.0801534652709961]
['BV', 46, 'UV', 50, 'cluster', 'find', 'V3', 'V1', 0.9546165884194053, 1.4052760601043701]
['BV', 35, 'UV', 65, 'libvlccore.so', 'objdump', 'V2', 'V1', 0.9840557379245662, 44.01579308509827]
['CV', 35, 'BV', 58, 'sum', 'ruby', 'V2', 'V3', 1.0, 0.012511014938354492]
['BV', 9, 'CV', 20, 'dot', 'tee', 'V2', 'V2', 0.9926739926739927, 0.024400949478149414]
['CV', 106, 'UV', 49, 'pr', 'xargs', 'V3', 'V1', 0.9424836601307189, 0.11617779731750488]
['CV', 9, 'BV', 72, 'users', 'perl', 'V2', 'V1', 0.9889827396254132, 1.9559376239776611]
['BV', 69, 'CV', 78, 'gvmap', 'rm', 'V0', 'V2', 0.9685362517099864, 0.40677666664123535]
['UV', 1, 'CV', 191, 'xargs', 'mkfifo', 'V2', 'V0', 0.9659442724458205, 0.06241917610168457]
['BV', 77, 'CV', 297, 'perl', 'chroot', 'V2', 'V1', 0.9989917902923808, 1.4351871013641357]
['BV', 19, 'CV', 132, 'cp', 'cp', 'V3', 'V3', 0.8422939068100359, 0.4688081741333008]
['UV', 51, 'CV', 263, 'nm', 'unlink', 'V1', 'V1', 0.9974635383639823, 0.5352389812469482]
['CV', 99, 'BV', 13, 'stty', 'cp', 'V3', 'V2', 0.8809980806142035, 0.1999826431274414]
['CV', 263, 'UV', 73, 'unlink', 'nm', 'V1', 'V0', 0.9840213049267643, 0.6271624565124512]
['BV', 43, 'CV', 193, 'lua', 'pr', 'V0', 'V0', 0.9878465628560578, 0.6046781539916992]
['BV', 52, 'CV', 189, 'libSDL2-2.0.so', 'uptime', 'V2', 'V0', 0.9968798751950078, 1.1389267444610596]
['CV', 1, 'BV', 21, 'stat', 'cp', 'V2', 'V1', 0.9164179104477612, 0.09432244300842285]
['CV', 14, 'UV', 42, 'dirname', 'diff', 'V2', 'V3', 0.8880866425992779, 0.1466829776763916]
['UV', 31, 'CV', 331, 'gprof', 'vdir', 'V3', 'V1', 0.9935764216890233, 2.1071276664733887]
['BV', 18, 'CV', 314, 'sort', 'tty', 'V3', 'V1', 0.9859578736208626, 0.09597897529602051]
['CV', 61, 'UV', 27, 'ginstall', 'c++filt', 'V2', 'V3', 0.9658634538152611, 2.5274524688720703]
['CV', 227, 'UV', 75, 'tty', 'readelf', 'V0', 'V0', 0.9761194029850746, 0.15857982635498047]
['UV', 72, 'BV', 72, 'find', 'perl', 'V0', 'V1', 0.9730476848652384, 9.705220937728882]
['UV', 49, 'BV', 69, 'xargs', 'gvmap', 'V1', 'V0', 0.9544787077826725, 0.3039822578430176]
['BV', 11, 'CV', 276, 'bash', 'uptime', 'V1', 'V1', 0.9978312730427239, 1.3886704444885254]
['CV', 223, 'BV', 47, 'tsort', 'dot', 'V0', 'V3', 1.0, 0.021423816680908203]
['UV', 74, 'BV', 22, 'strip', 'cmp', 'V0', 'V3', 0.9966532797858099, 1.2908005714416504]
['CV', 271, 'UV', 71, 'ptx', 'xargs', 'V1', 'V0', 0.9396325459317585, 0.10568475723266602]
['BV', 6, 'CV', 87, 'libvlc.so', 'touch', 'V0', 'V3', 0.989406779661017, 0.6188342571258545]
['CV', 49, 'BV', 66, 'tsort', 'lua', 'V2', 'V1', 0.9566473988439307, 0.47782111167907715]
['CV', 6, 'UV', 10, 'fmt', 'as', 'V2', 'V2', 0.9809242342826437, 1.3133881092071533]
['CV', 339, 'BV', 49, 'rm', 'make', 'V1', 'V3', 0.9592897358163708, 0.5594384670257568]
['CV', 293, 'UV', 35, 'paste', 'size', 'V1', 'V3', 0.9806423229212494, 0.6660561561584473]
['UV', 24, 'CV', 75, 'readelf', 'tr', 'V3', 'V2', 0.9941627143378329, 0.5323705673217773]
['CV', 199, 'BV', 54, 'expand', 'lua', 'V0', 'V3', 0.9760129659643436, 0.4279639720916748]
['BV', 8, 'CV', 193, 'cluster', 'pr', 'V2', 'V0', 0.9690576652601969, 0.3217782974243164]
['UV', 44, 'CV', 41, 'diff3', 'nice', 'V1', 'V2', 0.9692832764505119, 0.06519913673400879]
