['CV', 326, 'UV', 83, 'env', 'addr2line', 'V1', 'V0', 0.9859918662449164, 0.6268532276153564]
['UV', 79, 'CV', 43, 'strings', 'chmod', 'V0', 'V2', 0.9931093884582257, 1.2238640785217285]
['BV', 27, 'UV', 25, 'libSDL2-2.0.so', 'as', 'V1', 'V3', 0.9758528709813281, 40.03249478340149]
['CV', 144, 'BV', 42, 'who', 'libvlc.so', 'V3', 'V1', 0.983789260385005, 0.601264476776123]
['CV', 72, 'BV', 49, 'id', 'make', 'V2', 'V3', 0.9578096947935368, 0.3963789939880371]
['UV', 67, 'BV', 41, 'cmp', 'libvlccore.so', 'V0', 'V1', 0.9887769417166178, 2.244241952896118]
['UV', 40, 'CV', 220, 'diff3', 'cut', 'V3', 'V0', 0.9428571428571428, 0.0670781135559082]
['CV', 10, 'UV', 60, 'ptx', 'gprof', 'V2', 'V1', 0.9608958407394241, 2.719449520111084]
['BV', 16, 'CV', 198, 'libvlc.so', 'factor', 'V3', 'V0', 0.9940564635958395, 0.2941713333129883]
['CV', 143, 'UV', 38, 'yes', 'xargs', 'V3', 'V3', 0.9667590027700831, 0.12813615798950195]
['UV', 16, 'CV', 213, 'gprof', 'whoami', 'V2', 'V0', 0.997592778335005, 0.5890522003173828]
['CV', 87, 'UV', 68, 'touch', 'diff', 'V3', 'V0', 0.9155158407798538, 0.2736518383026123]
['CV', 344, 'BV', 63, 'tac', 'ruby', 'V1', 'V0', 0.9861390565615917, 8.612809419631958]
['UV', 48, 'CV', 337, 'locate', 'comm', 'V1', 'V1', 0.9719525350593312, 0.10670018196105957]
['UV', 0, 'CV', 5, 'locate', 'mkdir', 'V2', 'V2', 0.9464068209500609, 0.13023900985717773]
['UV', 75, 'CV', 260, 'readelf', 'ln', 'V0', 'V0', 0.9832050384884534, 0.24413108825683594]
['CV', 12, 'UV', 1, 'stty', 'xargs', 'V2', 'V2', 0.8825000000000001, 0.12253737449645996]
['UV', 62, 'CV', 118, 'ar', 'sha1sum', 'V1', 'V3', 0.9960745829244357, 1.159031629562378]
['UV', 63, 'BV', 83, 'elfedit', 'git', 'V1', 'V2', 0.9900977198697068, 4.226961612701416]
['CV', 299, 'BV', 3, 'split', 'diff', 'V1', 'V1', 0.9076923076923077, 0.1361398696899414]
['UV', 5, 'CV', 162, 'diff', 'tr', 'V2', 'V3', 0.9704918032786886, 0.2225341796875]
