['UO', 10, 'BO', 6, 'objcopy', 'codeblocks', 'O1', 'O0', 0.9820171721266168, 109.92280292510986]
['UO', 18, 'CO', 311, 'diff3', 'ln', 'O1', 'O2', 0.8782412626832018, 0.1846942901611328]
['UO', 64, 'CO', 123, 'diff', 'dd', 'O3', 'O1', 0.9510791366906475, 0.3565201759338379]
['BO', 60, 'CO', 330, 'openssl', 'uptime', 'O0', 'O0', 0.9970152223659338, 3.995896100997925]
['BO', 79, 'CO', 248, 'bash', 'sync', 'O3', 'O2', 0.9976648104903898, 1.6727664470672607]
['BO', 56, 'CO', 155, 'libvlc.so.12.0.0', 'realpath', 'O3', 'O1', 0.991432651118515, 0.6036646366119385]
['BO', 70, 'CO', 151, 'diff', 'numfmt', 'O3', 'O1', 0.961352657004831, 0.25426793098449707]
['CO', 2, 'BO', 15, 'stat', 'diff', 'O3', 'O0', 0.9342783505154639, 0.45760250091552734]
['UO', 7, 'CO', 267, 'ranlib', 'tsort', 'O1', 'O2', 0.9940769990128332, 1.3890266418457031]
['CO', 6, 'BO', 43, 'mkdir', 'diff', 'O3', 'O1', 0.8896, 0.26682424545288086]
['CO', 286, 'UO', 54, 'chcon', 'addr2line', 'O2', 'O3', 0.967150979153506, 1.6526381969451904]
['CO', 258, 'UO', 3, 'dircolors', 'nm', 'O2', 'O1', 0.9773755656108597, 1.0456593036651611]
['UO', 33, 'BO', 15, 'objcopy', 'diff', 'O2', 'O0', 0.9860356865787432, 5.005512714385986]
['CO', 375, 'UO', 30, 'logname', 'ranlib', 'O0', 'O2', 0.9742489270386266, 1.0787222385406494]
['UO', 66, 'BO', 70, 'nm', 'diff', 'O0', 'O3', 0.9933901105885344, 5.2737650871276855]
['UO', 79, 'CO', 193, 'size', 'pathchk', 'O0', 'O1', 0.9951766207972762, 1.423689603805542]
['BO', 63, 'UO', 68, 'cluster', 'readelf', 'O0', 'O0', 0.9577039274924471, 4.554025888442993]
['UO', 22, 'BO', 61, 'diff3', 'git', 'O2', 'O1', 0.9881932175636662, 5.897698879241943]
['CO', 251, 'BO', 14, 'chroot', 'cmp', 'O2', 'O0', 0.8963730569948186, 0.08785748481750488]
['BO', 48, 'CO', 224, 'libvlccore.so.9.0.0', 'dirname', 'O0', 'O2', 0.9989894615273567, 2.4556784629821777]
['UO', 24, 'CO', 168, 'diff', 'tty', 'O2', 'O1', 0.9739534883720931, 0.16433238983154297]
['CO', 199, 'UO', 44, 'sha224sum', 'nm', 'O1', 'O3', 0.9721269296740995, 1.152251958847046]
['CO', 274, 'BO', 80, 'runcon', 'ssh', 'O2', 'O3', 0.9898568019093079, 1.0273926258087158]
['BO', 79, 'CO', 143, 'bash', 'paste', 'O3', 'O1', 0.9960679177837355, 2.1839890480041504]
['CO', 180, 'UO', 15, 'md5sum', 'elfedit', 'O1', 'O1', 0.9672131147540983, 0.09602022171020508]
['UO', 2, 'CO', 372, 'find', 'base64', 'O1', 'O0', 0.9869494290375204, 0.649693489074707]
['CO', 298, 'BO', 55, 'tr', 'make', 'O2', 'O1', 0.955637707948244, 0.44695425033569336]
['UO', 52, 'CO', 137, 'ld', 'chown', 'O3', 'O1', 0.9912782774597984, 2.6710410118103027]
['BO', 1, 'CO', 380, 'ssh', 'yes', 'O2', 'O0', 0.996149289099526, 1.3500680923461914]
['UO', 18, 'CO', 358, 'diff3', 'whoami', 'O1', 'O0', 0.9481361426256077, 0.09186363220214844]
['UO', 10, 'BO', 18, 'objcopy', 'libvlc.so.12.0.0', 'O1', 'O1', 0.9854255465420046, 7.6919167041778564]
['CO', 87, 'BO', 25, 'id', 'dot', 'O3', 'O3', 1.0, 0.03528285026550293]
['UO', 64, 'CO', 129, 'diff', 'chgrp', 'O3', 'O1', 0.9608127721335269, 0.3597722053527832]
['BO', 13, 'CO', 205, 'ruby', 'rmdir', 'O1', 'O1', 0.9983635061879922, 5.437321662902832]
['UO', 72, 'CO', 61, 'strings', 'cksum', 'O0', 'O3', 0.9968785471055619, 1.459686517715454]
['CO', 141, 'UO', 52, 'truncate', 'ld', 'O1', 'O3', 0.9811001410437236, 1.51035475730896]
