['UO', 32, 'CO', 140, 'strings', 'pinky', 'O2', 'O1', 0.9943905070118663, 1.1561617851257324]
['UO', 35, 'BO', 56, 'gprof', 'libvlc.so.12.0.0', 'O2', 'O3', 0.9860012172854534, 6.763287782669067]
['CO', 369, 'UO', 16, 'od', 'size', 'O0', 'O1', 0.9631410256410257, 1.927828073501587]
['UO', 40, 'BO', 16, 'objdump', 'make', 'O2', 'O0', 0.9868591124515295, 10.517068147659302]
['CO', 25, 'BO', 7, 'chgrp', 'sort', 'O3', 'O0', 0.9101123595505618, 0.4238440990447998]
['UO', 15, 'CO', 90, 'elfedit', 'tr', 'O1', 'O3', 0.9799666110183639, 0.10287022590637207]
['CO', 22, 'BO', 6, 'pwd', 'codeblocks', 'O3', 'O0', 0.9972558884061286, 7.791677474975586]
['UO', 71, 'CO', 15, 'c++filt', 'join', 'O0', 'O3', 0.99748322147651, 2.2081997394561768]
['UO', 81, 'CO', 38, 'diff3', 'sha1sum', 'O0', 'O3', 0.9425587467362925, 0.12578248977661133]
['CO', 135, 'BO', 39, 'date', 'codeblocks', 'O1', 'O3', 0.9917750226791654, 7.811061859130859]
['BO', 14, 'CO', 313, 'cmp', 'touch', 'O0', 'O0', 0.914004914004914, 0.16211175918579102]
['CO', 38, 'BO', 45, 'sha1sum', 'diff', 'O3', 'O2', 0.895458440445587, 0.22725296020507812]
['BO', 45, 'UO', 70, 'diff', 'ranlib', 'O2', 'O0', 0.9825632083696599, 5.695911169052124]
['UO', 26, 'CO', 123, 'nm', 'dd', 'O2', 'O1', 0.9890621835122544, 1.804307460784912]
['CO', 82, 'BO', 68, 'shuf', 'git', 'O3', 'O3', 0.9879595785852505, 8.267232656478882]
['CO', 278, 'UO', 10, 'b2sum', 'objcopy', 'O2', 'O1', 0.9766843819646837, 1.4586937427520752]
['CO', 192, 'UO', 8, 'shred', 'c++filt', 'O1', 'O1', 0.9607442240850542, 1.6671075820922852]
['CO', 292, 'BO', 2, 'vdir', 'perl', 'O2', 'O1', 0.9775105767089735, 8.720445394515991]
['CO', 325, 'BO', 46, 'printenv', 'ruby', 'O0', 'O3', 0.9930377802805365, 6.032485723495483]
['UO', 69, 'BO', 69, 'as', 'cmp', 'O0', 'O3', 0.9986988847583643, 2.634432315826416]
['CO', 16, 'BO', 48, 'dirname', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9964054636951833, 4.410238981246948]
['CO', 94, 'UO', 53, 'rm', 'gprof', 'O3', 'O3', 0.9589409056024558, 1.945340633392334]
['CO', 190, 'UO', 55, 'timeout', 'ar', 'O1', 'O3', 0.9730941704035875, 1.3243553638458252]
['UO', 9, 'CO', 398, 'strings', 'timeout', 'O1', 'O0', 0.9917915042068541, 1.4975345134735107]
['UO', 57, 'CO', 251, 'size', 'chroot', 'O3', 'O2', 0.9934440559440559, 0.9910576343536377]
['BO', 45, 'CO', 129, 'diff', 'chgrp', 'O2', 'O1', 0.9579579579579579, 0.3486342430114746]
['CO', 167, 'BO', 69, 'logname', 'cmp', 'O1', 'O3', 0.9132231404958677, 0.05968451499938965]
['CO', 144, 'BO', 3, 'sync', 'openssl', 'O1', 'O1', 0.9932960893854749, 2.5412344932556152]
['UO', 13, 'CO', 208, 'addr2line', 'sha384sum', 'O1', 'O2', 0.9945720250521921, 1.009338140487671]
['UO', 66, 'CO', 204, 'nm', 'tac', 'O0', 'O1', 0.9952862886455012, 1.8387131690979004]
['UO', 62, 'CO', 286, 'diff3', 'chcon', 'O3', 'O2', 0.8952380952380953, 0.15391111373901367]
['BO', 82, 'CO', 385, 'cp', 'hostid', 'O3', 'O0', 0.9658444022770398, 0.17525577545166016]
['BO', 30, 'CO', 21, 'libvlccore.so.9.0.0', 'mktemp', 'O2', 'O3', 0.9982940005686665, 2.9568333625793457]
['CO', 132, 'UO', 79, 'factor', 'size', 'O1', 'O0', 0.985066371681416, 2.4845833778381348]
