['BV', 32, 'CV', 311, 'perl', 'cksum', 'V0', 'V1', 0.998859965798974, 1.1490287780761719]
['BV', 11, 'CV', 192, 'bash', 'pwd', 'V1', 'V0', 0.9984799131378936, 1.2581822872161865]
['CV', 325, 'BV', 7, 'md5sum', 'libSDL2-2.0.so', 'V1', 'V0', 0.9805440461178166, 1.1573479175567627]
['CV', 147, 'UV', 73, 'hostid', 'nm', 'V3', 'V0', 0.9817232375979112, 0.9461212158203125]
['UV', 69, 'BV', 4, 'sdiff', 'geany', 'V0', 'V3', 0.9914191419141914, 11.282586574554443]
['UV', 72, 'CV', 231, 'find', 'who', 'V0', 'V0', 0.9843137254901961, 0.19353747367858887]
['CV', 122, 'BV', 30, 'sum', 'bash', 'V3', 'V0', 0.9803056027164686, 2.2102339267730713]
['UV', 21, 'CV', 24, 'objdump', 'factor', 'V2', 'V2', 0.9981357775361193, 1.0950703620910645]
['CV', 90, 'UV', 84, 'test', 'ar', 'V3', 'V0', 0.9749692244562987, 1.1933186054229736]
['CV', 34, 'UV', 63, 'echo', 'elfedit', 'V2', 'V1', 0.9811764705882353, 0.06446599960327148]
['CV', 264, 'UV', 72, 'test', 'find', 'V1', 'V0', 0.9274193548387096, 0.18279576301574707]
['CV', 136, 'UV', 70, 'tsort', 'locate', 'V3', 'V0', 0.8971553610503282, 0.16230535507202148]
['CV', 121, 'UV', 82, 'echo', 'gprof', 'V3', 'V0', 0.9792682926829268, 0.9787826538085938]
['CV', 99, 'UV', 58, 'stty', 'objcopy', 'V3', 'V1', 0.9764068228917583, 2.4569778442382812]
['UV', 66, 'CV', 222, 'diff3', 'df', 'V0', 'V0', 0.9296636085626911, 0.17378640174865723]
['BV', 73, 'CV', 14, 'geany', 'dirname', 'V0', 'V2', 0.9995690351775036, 3.276620864868164]
['UV', 58, 'CV', 134, 'objcopy', 'od', 'V1', 'V3', 0.9955974842767296, 2.035315752029419]
['UV', 21, 'CV', 38, 'objdump', 'split', 'V2', 'V2', 0.9951654328448406, 1.9552507400512695]
['BV', 50, 'CV', 239, 'sort', 'env', 'V0', 'V0', 0.9794238683127572, 0.0415341854095459]
['BV', 5, 'CV', 313, 'libvlccore.so', 'logname', 'V0', 'V1', 0.999465811965812, 0.9094245433807373]
['CV', 166, 'BV', 31, 'fold', 'codeblocks', 'V3', 'V0', 0.9930377668308703, 4.7300803661346436]
['BV', 67, 'CV', 168, 'cluster', 'sleep', 'V0', 'V3', 0.9755899104963385, 0.234238862991333]
['BV', 54, 'CV', 291, 'lua', 'pinky', 'V3', 'V1', 0.9968183264397072, 0.586860179901123]
['CV', 178, 'UV', 46, 'basename', 'diff', 'V0', 'V1', 0.9252032520325203, 0.12941527366638184]
['CV', 172, 'BV', 59, 'mknod', 'make', 'V3', 'V1', 0.9539257169722614, 0.43030452728271484]
['BV', 77, 'CV', 36, 'perl', 'chroot', 'V2', 'V2', 0.998570100807893, 2.423999547958374]
['UV', 51, 'CV', 96, 'nm', 'users', 'V1', 'V3', 0.9967084961941988, 1.029505729675293]
