['CV', 234, 'UV', 63, 'hostid', 'elfedit', 'V0', 'V1', 0.958005249343832, 0.04637598991394043]
['BV', 10, 'CV', 204, 'gvmap', 'pinky', 'V2', 'V0', 0.9914651493598862, 0.26862525939941406]
['UV', 10, 'CV', 139, 'as', 'logname', 'V2', 'V3', 0.9975842168836397, 1.3177049160003662]
['CV', 64, 'UV', 2, 'md5sum', 'find', 'V2', 'V2', 0.9304029304029304, 0.2877521514892578]
['BV', 27, 'CV', 248, 'libSDL2-2.0.so', 'pathchk', 'V1', 'V0', 0.9969325153374233, 0.8828146457672119]
['UV', 22, 'CV', 47, 'nm', 'od', 'V3', 'V2', 0.9937720572970729, 1.2977676391601562]
['BV', 59, 'CV', 238, 'make', 'md5sum', 'V1', 'V0', 0.9921798631476051, 0.33193349838256836]
['BV', 44, 'CV', 207, 'make', 'sync', 'V0', 'V0', 0.9934604904632153, 0.20574188232421875]
['CV', 22, 'BV', 41, 'kill', 'libvlccore.so', 'V2', 'V1', 0.9912359840185591, 1.5989394187927246]
['CV', 16, 'BV', 6, 'dd', 'libvlc.so', 'V2', 'V0', 0.9746974697469747, 0.6030726432800293]
['UV', 0, 'CV', 209, 'locate', 'sum', 'V2', 'V0', 0.9714285714285714, 0.08438587188720703]
['UV', 18, 'CV', 204, 'ar', 'pinky', 'V2', 'V0', 0.9971745711402623, 0.9170761108398438]
['CV', 251, 'UV', 65, 'nl', 'objdump', 'V0', 'V1', 0.9686826605372791, 2.706984281539917]
['CV', 250, 'BV', 31, 'comm', 'codeblocks', 'V0', 'V0', 0.996298988830877, 3.212939739227295]
['UV', 9, 'CV', 210, 'readelf', 'chroot', 'V2', 'V0', 0.9940334128878282, 0.18839764595031738]
['BV', 81, 'CV', 104, 'dot', 'mkfifo', 'V1', 'V3', 0.9935897435897436, 0.029023408889770508]
['BV', 31, 'CV', 282, 'codeblocks', 'chgrp', 'V0', 'V1', 0.9982969804152748, 4.121276140213013]
['CV', 188, 'BV', 71, 'dirname', 'ruby', 'V0', 'V1', 0.9873417721518988, 0.00843501091003418]
['BV', 72, 'UV', 11, 'perl', 'ranlib', 'V1', 'V2', 0.9881017957474937, 44.29419684410095]
['CV', 249, 'BV', 39, 'tr', 'svn', 'V0', 'V1', 0.976915974145891, 0.49844980239868164]
['CV', 179, 'BV', 6, 'mkdir', 'libvlc.so', 'V0', 'V0', 0.980428134556575, 0.3691396713256836]
['BV', 51, 'UV', 57, 'cp', 'strings', 'V0', 'V1', 0.9660056657223796, 1.7989089488983154]
['BV', 33, 'UV', 58, 'openssl', 'objcopy', 'V0', 'V1', 0.9908553856113943, 78.80956602096558]
['BV', 39, 'CV', 56, 'svn', 'yes', 'V1', 'V2', 0.9915413533834586, 0.3675096035003662]
['CV', 215, 'UV', 16, 'nice', 'gprof', 'V0', 'V2', 0.9811811811811811, 0.6788625717163086]
['CV', 219, 'BV', 29, 'cp', 'perl', 'V0', 'V3', 0.9805022617376384, 4.213900327682495]
['CV', 111, 'UV', 76, 'factor', 'as', 'V3', 'V0', 0.9764125068568295, 2.2981414794921875]
['BV', 12, 'UV', 20, 'sort', 'size', 'V2', 'V2', 0.9539602028872415, 2.3553521633148193]
['UV', 68, 'BV', 54, 'diff', 'lua', 'V0', 'V3', 0.9536762725558847, 1.8055636882781982]
['BV', 6, 'UV', 11, 'libvlc.so', 'ranlib', 'V0', 'V2', 0.9595861623019722, 5.624722957611084]
['CV', 243, 'BV', 6, 'csplit', 'libvlc.so', 'V0', 'V0', 0.9900941059930659, 0.8059580326080322]
['CV', 116, 'UV', 72, 'tail', 'find', 'V3', 'V0', 0.9188667095943336, 0.4236302375793457]
['BV', 10, 'UV', 75, 'gvmap', 'readelf', 'V2', 'V0', 0.9486754966887417, 1.0313520431518555]
['UV', 63, 'CV', 19, 'elfedit', 'pr', 'V1', 'V2', 0.9731543624161074, 0.10546183586120605]
['CV', 276, 'BV', 66, 'uptime', 'lua', 'V1', 'V1', 0.9736263736263736, 0.44232726097106934]
['CV', 336, 'BV', 37, 'tr', 'geany', 'V1', 'V1', 0.9929745679359281, 5.939180850982666]
['CV', 225, 'UV', 86, 'printf', 'size', 'V0', 'V0', 0.9842667166135981, 0.9173846244812012]
['CV', 306, 'UV', 30, 'cp', 'ld', 'V1', 'V3', 0.9706043956043956, 2.6164541244506836]
['UV', 55, 'BV', 49, 'ranlib', 'make', 'V1', 'V3', 0.9765120375807399, 6.460654020309448]
['UV', 40, 'CV', 111, 'diff3', 'factor', 'V3', 'V3', 0.902557856272838, 0.13205385208129883]
['CV', 339, 'BV', 31, 'rm', 'codeblocks', 'V1', 'V0', 0.9926629544710122, 5.399320840835571]
['CV', 113, 'BV', 9, 'date', 'dot', 'V3', 'V2', 1.0, 0.04894900321960449]
['CV', 117, 'BV', 66, 'pinky', 'lua', 'V3', 'V1', 0.958085923856095, 0.7023985385894775]
['BV', 5, 'CV', 244, 'libvlccore.so', 'vdir', 'V0', 'V0', 0.9982192826252861, 3.267897605895996]
['BV', 53, 'CV', 177, 'ssh', 'test', 'V2', 'V0', 0.9989342265529841, 1.6424033641815186]
['BV', 77, 'CV', 152, 'perl', 'env', 'V2', 'V3', 0.9984286836654525, 2.3959338665008545]
['CV', 248, 'BV', 54, 'pathchk', 'lua', 'V0', 'V3', 0.9817945383615084, 0.3907589912414551]
['BV', 59, 'CV', 8, 'make', 'du', 'V1', 'V2', 0.973069306930693, 0.9882192611694336]
['BV', 29, 'CV', 206, 'perl', 'paste', 'V3', 'V0', 0.9988825923856652, 1.3797719478607178]
['CV', 304, 'UV', 67, 'chmod', 'cmp', 'V1', 'V0', 0.9252032520325203, 0.08611297607421875]
['UV', 81, 'BV', 71, 'ld', 'ruby', 'V0', 'V1', 0.9984389634717452, 0.17423248291015625]
['BV', 54, 'UV', 61, 'lua', 'addr2line', 'V3', 'V1', 0.967274678111588, 9.77663779258728]
