['CV', 251, 'UV', 23, 'nl', 'strip', 'V0', 'V3', 0.962296195652174, 2.1262447834014893]
['UV', 70, 'CV', 165, 'locate', 'rm', 'V0', 'V3', 0.937227550130776, 0.2695021629333496]
['CV', 299, 'UV', 5, 'split', 'diff', 'V1', 'V2', 0.8987341772151899, 0.15086913108825684]
['CV', 18, 'UV', 33, 'pwd', 'ar', 'V2', 'V3', 0.9775418538178848, 1.0003085136413574]
['UV', 17, 'CV', 154, 'addr2line', 'uname', 'V2', 'V3', 0.9957374254049446, 0.8439197540283203]
['CV', 297, 'UV', 23, 'chroot', 'strip', 'V1', 'V3', 0.9851744711625384, 0.7576632499694824]
['BV', 12, 'CV', 331, 'sort', 'vdir', 'V2', 'V1', 0.9178082191780822, 0.2814822196960449]
['CV', 295, 'BV', 52, 'echo', 'libSDL2-2.0.so', 'V1', 'V2', 0.9879659908436886, 1.2524328231811523]
['CV', 199, 'UV', 74, 'expand', 'strip', 'V0', 'V0', 0.9839041095890411, 0.8320062160491943]
['CV', 36, 'BV', 61, 'chroot', 'cmp', 'V2', 'V0', 0.9337016574585635, 0.0317230224609375]
['UV', 77, 'CV', 21, 'ranlib', 'chgrp', 'V0', 'V2', 0.9939722724532851, 1.439314842224121]
['BV', 31, 'CV', 302, 'codeblocks', 'nice', 'V0', 'V1', 0.9994704792163093, 2.0470430850982666]
['UV', 4, 'CV', 99, 'cmp', 'stty', 'V2', 'V3', 0.91875, 0.08925652503967285]
['CV', 91, 'BV', 30, 'basename', 'bash', 'V3', 'V0', 0.9812828121433462, 1.6563117504119873]
['CV', 305, 'UV', 15, 'true', 'ld', 'V1', 'V2', 0.9875488634718401, 0.8178317546844482]
['CV', 291, 'BV', 23, 'pinky', 'diff', 'V1', 'V3', 0.9257294429708223, 0.1777815818786621]
['BV', 66, 'CV', 299, 'lua', 'split', 'V1', 'V1', 0.9934545454545455, 0.46369361877441406]
['BV', 13, 'CV', 161, 'cp', 'pathchk', 'V2', 'V3', 0.9811715481171548, 0.14852333068847656]
['CV', 301, 'UV', 62, 'ls', 'ar', 'V1', 'V1', 0.9710906701708278, 2.222963333129883]
['CV', 120, 'BV', 63, 'sync', 'ruby', 'V3', 'V0', 0.9930338806712806, 4.765439033508301]
['UV', 40, 'CV', 127, 'diff3', 'ls', 'V3', 'V3', 0.9118804091266719, 0.29169797897338867]
['CV', 255, 'UV', 10, 'sleep', 'as', 'V0', 'V2', 0.9858887381275441, 0.9484832286834717]
['CV', 228, 'BV', 76, 'false', 'diff', 'V0', 'V2', 0.921875, 0.10240650177001953]
['UV', 81, 'BV', 1, 'ld', 'libSDL2-2.0.so', 'V0', 'V3', 0.9844114316168143, 42.502363204956055]
['UV', 87, 'CV', 111, 'objdump', 'factor', 'V0', 'V3', 0.9951995199519952, 1.911895990371704]
['CV', 185, 'BV', 22, 'printenv', 'cmp', 'V0', 'V3', 0.8774509803921569, 0.03783988952636719]
['UV', 6, 'CV', 149, 'sdiff', 'unexpand', 'V2', 'V3', 0.9347181008902077, 0.09450387954711914]
['CV', 243, 'UV', 74, 'csplit', 'strip', 'V0', 'V0', 0.964615875039847, 2.9654810428619385]
['BV', 23, 'CV', 35, 'diff', 'sum', 'V3', 'V2', 0.9758828596037898, 0.17729663848876953]
['CV', 214, 'UV', 79, 'ls', 'strings', 'V0', 'V0', 0.9690570771482333, 1.9625730514526367]
['UV', 33, 'BV', 18, 'ar', 'sort', 'V3', 'V3', 0.9884518224467701, 3.15683913230896]
['BV', 4, 'CV', 244, 'geany', 'vdir', 'V3', 'V0', 0.99893206276185, 10.239628791809082]
['UV', 55, 'CV', 276, 'ranlib', 'uptime', 'V1', 'V1', 0.997591328783621, 0.7903649806976318]
['CV', 48, 'BV', 14, 'df', 'openssl', 'V2', 'V3', 0.9902644388896198, 3.852539300918579]
['UV', 19, 'CV', 134, 'elfedit', 'od', 'V2', 'V3', 0.9712230215827338, 0.12575626373291016]
['BV', 32, 'UV', 16, 'perl', 'gprof', 'V0', 'V2', 0.9856964766091464, 35.166441202163696]
['CV', 272, 'BV', 63, 'printenv', 'ruby', 'V1', 'V0', 0.9952705775352433, 2.598844051361084]
['CV', 155, 'BV', 82, 'cat', 'gvmap', 'V3', 'V1', 0.9591280653950953, 0.3234572410583496]
['UV', 82, 'CV', 49, 'gprof', 'tsort', 'V0', 'V2', 0.9975594874923734, 0.8217830657958984]
['BV', 26, 'CV', 210, 'geany', 'chroot', 'V2', 'V0', 0.9995500359971202, 2.6978230476379395]
['CV', 62, 'BV', 24, 'unexpand', 'git', 'V2', 'V0', 0.9910913140311804, 2.6322531700134277]
['UV', 2, 'CV', 85, 'find', 'mknod', 'V2', 'V2', 0.9925925925925926, 0.22681879997253418]
['CV', 232, 'BV', 40, 'readlink', 'lua', 'V0', 'V2', 0.9742876997915219, 0.4143047332763672]
['CV', 16, 'UV', 21, 'dd', 'objdump', 'V2', 'V2', 0.9767054908485857, 2.1878600120544434]
['CV', 285, 'UV', 46, 'factor', 'diff', 'V1', 'V1', 0.9252782193958664, 0.1521010398864746]
['UV', 42, 'CV', 310, 'diff', 'tsort', 'V3', 'V1', 0.981549815498155, 0.12607359886169434]
['BV', 12, 'CV', 264, 'sort', 'test', 'V2', 'V1', 0.9755799755799756, 0.09325003623962402]
['CV', 20, 'BV', 6, 'tee', 'libvlc.so', 'V2', 'V0', 0.9779951100244498, 0.3580923080444336]
['BV', 66, 'CV', 305, 'lua', 'true', 'V1', 'V1', 0.9940119760479041, 0.29224276542663574]
['UV', 34, 'CV', 57, 'elfedit', 'who', 'V3', 'V2', 0.9824253075571178, 0.09973788261413574]
['CV', 336, 'BV', 48, 'tr', 'gvmap', 'V1', 'V3', 0.9577167019027484, 0.25621724128723145]
['CV', 26, 'BV', 72, 'date', 'perl', 'V2', 'V1', 0.985239313116551, 2.7075588703155518]
['CV', 75, 'UV', 70, 'tr', 'locate', 'V2', 'V0', 0.8816964285714286, 0.14214181900024414]
['CV', 43, 'BV', 62, 'chmod', 'diff', 'V2', 'V0', 0.9015240328253225, 0.15937471389770508]
['CV', 126, 'BV', 55, 'whoami', 'codeblocks', 'V3', 'V3', 0.9950251850009327, 4.10770058631897]
