['CV', 68, 'BV', 43, 'cat', 'lua', 'V2', 'V0', 0.957351290684624, 0.7118213176727295]
['CV', 88, 'BV', 31, 'stat', 'codeblocks', 'V3', 'V0', 0.9912053802379721, 8.26860761642456]
['BV', 42, 'CV', 115, 'libvlc.so', 'chown', 'V1', 'V3', 0.9869219990658571, 0.748903751373291]
['BV', 31, 'CV', 207, 'codeblocks', 'sync', 'V0', 'V0', 0.9994697421621264, 1.7541439533233643]
['CV', 180, 'BV', 37, 'fmt', 'geany', 'V0', 'V1', 0.9947405494247475, 4.469954013824463]
['BV', 53, 'CV', 291, 'ssh', 'pinky', 'V2', 'V1', 0.9992411019200121, 2.02972412109375]
['BV', 80, 'CV', 320, 'cluster', 'head', 'V1', 'V1', 0.980465815176559, 0.23006153106689453]
['UV', 24, 'BV', 57, 'readelf', 'svn', 'V3', 'V2', 0.982392776523702, 3.7010929584503174]
['UV', 70, 'CV', 166, 'locate', 'fold', 'V0', 'V3', 0.9573991031390134, 0.14087367057800293]
['UV', 30, 'CV', 178, 'ld', 'basename', 'V3', 'V0', 0.9979911034581719, 0.7491893768310547]
['BV', 29, 'CV', 154, 'perl', 'uname', 'V3', 'V3', 0.9984142086901364, 2.1016902923583984]
['UV', 83, 'CV', 75, 'addr2line', 'tr', 'V0', 'V2', 0.9947391494958352, 0.931326150894165]
['UV', 71, 'CV', 208, 'xargs', 'echo', 'V0', 'V0', 0.9488636363636364, 0.029133081436157227]
['UV', 65, 'CV', 63, 'objdump', 'mv', 'V1', 'V2', 0.9924199887703538, 3.472163438796997]
['UV', 15, 'CV', 215, 'ld', 'nice', 'V2', 'V0', 0.9985567903016308, 0.8566856384277344]
['UV', 32, 'CV', 221, 'addr2line', 'od', 'V3', 'V0', 0.9961047392339321, 0.90561842918396]
['CV', 65, 'UV', 25, 'env', 'as', 'V2', 'V3', 0.983218297469211, 1.1496920585632324]
['CV', 125, 'UV', 1, 'split', 'xargs', 'V3', 'V2', 0.885593220338983, 0.17717361450195312]
