['CO', 410, 'BO', 66, 'sleep', 'svn', 'O0', 'O2', 0.983633387888707, 0.7224447727203369]
['BO', 70, 'CO', 101, 'diff', 'rmdir', 'O3', 'O3', 0.9632107023411371, 0.21020913124084473]
['UO', 55, 'BO', 44, 'ar', 'cmp', 'O3', 'O2', 0.9938725490196079, 1.1451892852783203]
['BO', 14, 'CO', 107, 'cmp', 'unlink', 'O0', 'O1', 0.9252336448598131, 0.07504749298095703]
['CO', 222, 'BO', 18, 'stty', 'libvlc.so.12.0.0', 'O2', 'O1', 0.9781420765027322, 0.6111371517181396]
['CO', 96, 'UO', 78, 'fold', 'elfedit', 'O3', 'O0', 0.9578207381370826, 0.10531854629516602]
['BO', 31, 'CO', 299, 'bash', 'comm', 'O2', 'O2', 0.9969797074091553, 2.011352777481079]
['CO', 215, 'BO', 22, 'fmt', 'perl', 'O2', 'O0', 0.994512066418068, 3.069446086883545]
['CO', 68, 'UO', 65, 'yes', 'sdiff', 'O3', 'O3', 0.9194847020933977, 0.08694672584533691]
['CO', 22, 'UO', 64, 'pwd', 'diff', 'O3', 'O3', 0.8747913188647747, 0.2052445411682129]
['CO', 100, 'BO', 45, 'tac', 'diff', 'O3', 'O2', 0.8890756302521008, 0.22764897346496582]
['CO', 90, 'UO', 62, 'tr', 'diff3', 'O3', 'O3', 0.9059474412171508, 0.10846257209777832]
['UO', 55, 'CO', 247, 'ar', 'paste', 'O3', 'O2', 0.9945912211358435, 0.8277413845062256]
['CO', 264, 'UO', 58, 'cut', 'objdump', 'O2', 'O3', 0.984915824915825, 1.593595266342163]
['CO', 69, 'UO', 50, 'who', 'strings', 'O3', 'O3', 0.9749460043196544, 1.2955479621887207]
['UO', 17, 'CO', 68, 'objdump', 'yes', 'O1', 'O3', 0.9976215644820295, 1.3897643089294434]
['BO', 15, 'CO', 382, 'diff', 'b2sum', 'O0', 'O0', 0.9834254143646409, 0.3599669933319092]
['CO', 249, 'BO', 41, 'echo', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9843077701847633, 1.580737590789795]
['UO', 12, 'CO', 398, 'gprof', 'timeout', 'O1', 'O0', 0.9920060905976399, 1.5894649028778076]
['CO', 203, 'BO', 8, 'sort', 'cp', 'O1', 'O0', 0.9372856442920137, 0.8327231407165527]
['CO', 93, 'UO', 17, 'nl', 'objdump', 'O3', 'O1', 0.9800603436967074, 1.8608312606811523]
['UO', 8, 'CO', 211, 'c++filt', 'unlink', 'O1', 'O2', 0.9944146079484425, 0.7310700416564941]
['CO', 140, 'UO', 40, 'pinky', 'objdump', 'O1', 'O2', 0.9812957441040933, 1.9930598735809326]
['BO', 23, 'CO', 190, 'git', 'timeout', 'O2', 'O1', 0.9988765986864846, 5.227939128875732]
['BO', 15, 'CO', 93, 'diff', 'nl', 'O0', 'O3', 0.9759939984996249, 0.25499820709228516]
['BO', 67, 'CO', 63, 'libSDL2-2.0.so.0.16.0', 'logname', 'O1', 'O3', 0.9963095091647189, 1.7336490154266357]
['CO', 385, 'UO', 33, 'hostid', 'objcopy', 'O0', 'O2', 0.9757618962751737, 1.1983861923217773]
['BO', 37, 'CO', 287, 'gvmap', 'link', 'O2', 'O2', 0.9760119940029985, 0.2193598747253418]
['CO', 220, 'UO', 13, 'ptx', 'addr2line', 'O2', 'O1', 0.9669221460266236, 1.6413891315460205]
['UO', 35, 'BO', 70, 'gprof', 'diff', 'O2', 'O3', 0.9908675799086758, 3.4612505435943604]
['BO', 57, 'CO', 87, 'libvlccore.so.9.0.0', 'id', 'O3', 'O3', 0.9988681380871534, 2.856003522872925]
['CO', 127, 'BO', 20, 'pr', 'sort', 'O1', 'O1', 0.8972267536704731, 0.31040382385253906]
['CO', 373, 'BO', 45, 'cksum', 'diff', 'O0', 'O2', 0.9017857142857143, 0.21222972869873047]
['BO', 61, 'CO', 63, 'git', 'logname', 'O1', 'O3', 0.9993064886654242, 3.709108829498291]
['UO', 8, 'BO', 5, 'c++filt', 'libgeany.so.0.0.0', 'O1', 'O1', 0.9769520379767556, 107.43272280693054]
['CO', 101, 'BO', 5, 'rmdir', 'libgeany.so.0.0.0', 'O3', 'O1', 0.994226678821027, 8.242981433868408]
['CO', 372, 'BO', 55, 'base64', 'make', 'O0', 'O1', 0.9611738148984199, 0.5689530372619629]
['CO', 130, 'UO', 44, 'kill', 'nm', 'O1', 'O3', 0.9749460043196544, 1.0131361484527588]
['CO', 87, 'BO', 38, 'id', 'acyclic', 'O3', 'O2', 1.0, 0.039179086685180664]
['CO', 20, 'UO', 0, 'mkfifo', 'locate', 'O3', 'O1', 0.9510061242344707, 0.21664810180664062]
['UO', 61, 'CO', 390, 'find', 'chcon', 'O3', 'O0', 0.9757299962078119, 1.1338934898376465]
['CO', 283, 'BO', 49, 'mv', 'svn', 'O2', 'O0', 0.981042654028436, 2.3398704528808594]
['BO', 5, 'CO', 205, 'libgeany.so.0.0.0', 'rmdir', 'O1', 'O1', 0.9991633390378399, 5.952044248580933]
['BO', 36, 'CO', 48, 'cluster', 'ls', 'O2', 'O3', 0.9548486403283736, 0.8515241146087646]
['BO', 45, 'UO', 82, 'diff', 'cmp', 'O2', 'O0', 0.9818780889621087, 0.2503809928894043]
['CO', 381, 'BO', 24, 'who', 'cluster', 'O0', 'O3', 0.9764542936288089, 0.394824743270874]
['UO', 45, 'BO', 11, 'strip', 'ssh', 'O3', 'O1', 0.9678532357148868, 24.94795250892639]
['BO', 23, 'CO', 155, 'git', 'realpath', 'O2', 'O1', 0.998531254049851, 5.216430425643921]
['BO', 68, 'CO', 398, 'git', 'timeout', 'O3', 'O0', 0.9993962654706973, 5.940715312957764]
['BO', 58, 'CO', 237, 'svn', 'nproc', 'O1', 'O2', 0.9932998324958124, 0.5057516098022461]
['BO', 72, 'UO', 59, 'make', 'locate', 'O2', 'O3', 0.9788285109386027, 1.2489690780639648]
['CO', 245, 'BO', 44, 'truncate', 'cmp', 'O2', 'O2', 0.8818565400843882, 0.05410122871398926]
['UO', 7, 'CO', 221, 'ranlib', 'printenv', 'O1', 'O2', 0.9960031974420464, 0.7364673614501953]
