['BV', 79, 'CV', 306, 'bash', 'cp', 'V3', 'V1', 0.9940206384415083, 3.4300951957702637]
['BV', 48, 'UV', 55, 'gvmap', 'ranlib', 'V3', 'V1', 0.9490679094540613, 4.594679355621338]
['CV', 23, 'BV', 58, 'wc', 'ruby', 'V2', 'V3', 1.0, 0.013751506805419922]
['BV', 4, 'CV', 43, 'geany', 'chmod', 'V3', 'V2', 0.9990911719750485, 7.295129060745239]
['BV', 71, 'CV', 119, 'ruby', 'paste', 'V1', 'V3', 0.993103448275862, 0.014614105224609375]
['BV', 70, 'UV', 85, 'ssh', 'elfedit', 'V0', 'V0', 0.9990621336459554, 3.0600266456604004]
['BV', 27, 'CV', 61, 'libSDL2-2.0.so', 'ginstall', 'V1', 'V2', 0.9903721051262034, 3.6168947219848633]
['UV', 86, 'CV', 152, 'size', 'env', 'V0', 'V3', 0.9966703662597114, 0.9998207092285156]
['UV', 57, 'CV', 208, 'strings', 'echo', 'V1', 'V0', 0.9978406391708055, 0.5075790882110596]
['CV', 105, 'BV', 11, 'pwd', 'bash', 'V3', 'V1', 0.9854077253218884, 2.213576316833496]
['CV', 196, 'BV', 51, 'kill', 'cp', 'V0', 'V0', 0.9021922428330522, 0.07109880447387695]
['CV', 335, 'BV', 44, 'pathchk', 'make', 'V1', 'V0', 0.9633620689655172, 0.2537050247192383]
['UV', 22, 'CV', 103, 'nm', 'dd', 'V3', 'V3', 0.99122106943336, 1.9044890403747559]
['BV', 27, 'CV', 95, 'libSDL2-2.0.so', 'du', 'V1', 'V3', 0.9912585165188328, 4.116326808929443]
['UV', 4, 'CV', 71, 'cmp', '[', 'V2', 'V2', 0.920303605313093, 0.06320977210998535]
['UV', 0, 'CV', 233, 'locate', 'head', 'V2', 'V0', 0.9504814305364512, 0.09136533737182617]
['CV', 224, 'UV', 42, 'cksum', 'diff', 'V0', 'V3', 0.9224952741020794, 0.12628936767578125]
['CV', 331, 'UV', 76, 'vdir', 'as', 'V1', 'V0', 0.9732613099257259, 3.0370752811431885]
['CV', 226, 'BV', 63, 'logname', 'ruby', 'V0', 'V0', 0.9951800654783558, 2.6723852157592773]
['UV', 9, 'CV', 188, 'readelf', 'dirname', 'V2', 'V0', 0.9940227136879857, 0.17766475677490234]
['UV', 40, 'CV', 160, 'diff3', 'shred', 'V3', 'V3', 0.8915801614763552, 0.15484189987182617]
['BV', 1, 'CV', 67, 'libSDL2-2.0.so', 'uname', 'V3', 'V2', 0.9970508166969148, 1.2783880233764648]
['CV', 338, 'BV', 2, 'nl', 'cmp', 'V1', 'V1', 0.9589216944801027, 0.11553144454956055]
['UV', 62, 'CV', 164, 'ar', 'nl', 'V1', 'V3', 0.9952820916060546, 1.1328675746917725]
['BV', 65, 'CV', 97, 'ssh', 'ptx', 'V1', 'V3', 0.9980589772303098, 4.393930196762085]
['CV', 212, 'UV', 51, 'split', 'nm', 'V0', 'V1', 0.9791362403505112, 0.8983426094055176]
['BV', 30, 'CV', 292, 'bash', 'sha1sum', 'V0', 'V1', 0.9988514987940738, 1.331761121749878]
['CV', 310, 'UV', 75, 'tsort', 'readelf', 'V1', 'V0', 0.9752727272727273, 0.1908886432647705]
['CV', 333, 'UV', 24, 'id', 'readelf', 'V1', 'V3', 0.975775927327782, 0.3849341869354248]
['CV', 29, 'BV', 75, 'tail', 'cmp', 'V2', 'V2', 0.9504373177842566, 0.10023713111877441]
['CV', 221, 'UV', 49, 'od', 'xargs', 'V0', 'V1', 0.8821362799263351, 0.06529784202575684]
['UV', 28, 'CV', 8, 'strings', 'du', 'V3', 'V2', 0.9888579387186629, 2.301292657852173]
['CV', 344, 'BV', 35, 'tac', 'libvlccore.so', 'V1', 'V2', 0.9845999330431872, 4.238636493682861]
['UV', 56, 'BV', 2, 'c++filt', 'cmp', 'V1', 'V1', 0.9945263157894737, 1.0393259525299072]
['CV', 139, 'UV', 25, 'logname', 'as', 'V3', 'V3', 0.9833266101922818, 1.42020583152771]
['UV', 8, 'BV', 30, 'strip', 'bash', 'V2', 'V0', 0.975470621791215, 32.47564482688904]
['CV', 27, 'BV', 75, 'expr', 'cmp', 'V2', 'V2', 0.9511059371362048, 0.13156962394714355]
['CV', 213, 'UV', 7, 'whoami', 'nm', 'V0', 'V2', 0.9811925625133575, 0.5748195648193359]
['UV', 1, 'CV', 22, 'xargs', 'kill', 'V2', 'V2', 0.9578651685393258, 0.08846807479858398]
['CV', 137, 'UV', 85, 'cksum', 'elfedit', 'V3', 'V0', 0.9880715705765407, 0.07732295989990234]
['CV', 298, 'UV', 38, 'seq', 'xargs', 'V1', 'V3', 0.956989247311828, 0.10146689414978027]
['BV', 24, 'CV', 267, 'git', 'fmt', 'V0', 'V1', 0.9992761054473065, 2.061898946762085]
['BV', 20, 'CV', 16, 'sort', 'dd', 'V1', 'V2', 0.9242053789731052, 0.135329008102417]
['BV', 36, 'CV', 324, 'libvlc.so', 'mv', 'V2', 'V1', 0.9890249050232165, 0.9054627418518066]
['BV', 40, 'CV', 190, 'lua', 'dd', 'V2', 'V0', 0.9960291197882197, 0.7234444618225098]
['CV', 7, 'BV', 22, 'dir', 'cmp', 'V2', 'V3', 0.9652173913043478, 0.15492677688598633]
['BV', 83, 'UV', 34, 'git', 'elfedit', 'V2', 'V3', 0.9993927301119112, 4.307947397232056]
['UV', 30, 'CV', 72, 'ld', 'id', 'V3', 'V2', 0.9983005240050984, 1.1975996494293213]
['CV', 75, 'BV', 81, 'tr', 'dot', 'V2', 'V1', 1.0, 0.02998828887939453]
['CV', 103, 'UV', 60, 'dd', 'gprof', 'V3', 'V1', 0.9637893196781273, 2.1904032230377197]
['CV', 323, 'UV', 5, 'unexpand', 'diff', 'V1', 'V2', 0.9172154280338665, 0.13084673881530762]
['UV', 13, 'BV', 79, 'strings', 'bash', 'V2', 'V3', 0.9702219439226327, 32.87807011604309]
['CV', 321, 'UV', 11, 'hostid', 'ranlib', 'V1', 'V2', 0.9815649324047522, 0.5964055061340332]
['UV', 14, 'CV', 202, 'objcopy', 'chown', 'V2', 'V0', 0.9958570688762299, 1.3431949615478516]
['UV', 41, 'CV', 326, 'cmp', 'env', 'V3', 'V1', 0.9711538461538461, 0.03580927848815918]
['BV', 71, 'CV', 279, 'ruby', 'pwd', 'V1', 'V1', 0.9898477157360406, 0.011063098907470703]
['CV', 108, 'UV', 42, 'chgrp', 'diff', 'V3', 'V3', 0.9076048329779673, 0.35667920112609863]
['BV', 17, 'UV', 77, 'codeblocks', 'ranlib', 'V2', 'V0', 0.9899851264253843, 55.43847060203552]
['UV', 57, 'CV', 235, 'strings', 'ginstall', 'V1', 'V0', 0.9939734833266372, 1.8160159587860107]
['BV', 61, 'UV', 78, 'cmp', 'c++filt', 'V0', 'V0', 0.9871618523613022, 0.542107105255127]
['CV', 173, 'BV', 51, 'ln', 'cp', 'V3', 'V0', 0.9423459244532804, 0.202958345413208]
['UV', 58, 'BV', 31, 'objcopy', 'codeblocks', 'V1', 'V0', 0.9809423482091554, 76.03930878639221]
['BV', 21, 'CV', 87, 'cp', 'touch', 'V1', 'V3', 0.9305711086226204, 0.16656231880187988]
['CV', 169, 'BV', 4, 'sort', 'geany', 'V3', 'V3', 0.9868053588051969, 20.94960880279541]
['CV', 275, 'UV', 38, 'dirname', 'xargs', 'V1', 'V3', 0.9559055118110236, 0.09179449081420898]
['CV', 164, 'BV', 33, 'nl', 'openssl', 'V3', 'V0', 0.987732634338139, 4.400821924209595]
['CV', 285, 'UV', 73, 'factor', 'nm', 'V1', 'V0', 0.9805825242718447, 0.6899144649505615]
['BV', 57, 'CV', 199, 'svn', 'expand', 'V2', 'V0', 0.995249406175772, 0.3324155807495117]
['CV', 259, 'BV', 24, 'mknod', 'git', 'V0', 'V0', 0.9926350739511017, 2.0702080726623535]
['UV', 75, 'BV', 24, 'readelf', 'git', 'V0', 'V0', 0.9624439779883134, 13.156649351119995]
['UV', 4, 'CV', 64, 'cmp', 'md5sum', 'V2', 'V2', 0.9449901768172888, 0.06033492088317871]
['BV', 36, 'CV', 67, 'libvlc.so', 'uname', 'V2', 'V2', 0.9941348973607038, 0.33006763458251953]
['CV', 34, 'BV', 28, 'echo', 'openssl', 'V2', 'V1', 0.9912206315159375, 2.440289258956909]
['BV', 10, 'CV', 188, 'gvmap', 'dirname', 'V2', 'V0', 0.984984984984985, 0.1654675006866455]
['BV', 37, 'CV', 340, 'geany', 'fold', 'V1', 'V1', 0.9994363286204143, 2.989359140396118]
['CV', 253, 'BV', 76, 'fold', 'diff', 'V0', 'V2', 0.9036827195467422, 0.12739348411560059]
['UV', 19, 'CV', 328, 'elfedit', 'uname', 'V2', 'V1', 0.9896907216494846, 0.04380679130554199]
['UV', 38, 'BV', 56, 'xargs', 'ssh', 'V3', 'V3', 0.9651690326357383, 2.4561562538146973]
['CV', 226, 'BV', 12, 'logname', 'sort', 'V0', 'V2', 0.8992248062015504, 0.08129072189331055]
['CV', 305, 'BV', 82, 'true', 'gvmap', 'V1', 'V1', 0.9712339137017411, 0.16220831871032715]
['BV', 16, 'UV', 44, 'libvlc.so', 'diff3', 'V3', 'V1', 0.9911347517730497, 0.6814179420471191]
['CV', 190, 'BV', 71, 'dd', 'ruby', 'V0', 'V1', 1.0, 0.014936447143554688]
['CV', 142, 'BV', 3, 'nohup', 'diff', 'V3', 'V1', 0.9080459770114943, 0.17237067222595215]
['UV', 19, 'BV', 34, 'elfedit', 'svn', 'V2', 'V0', 0.9297739297739298, 0.42450404167175293]
['UV', 12, 'CV', 319, 'c++filt', 'readlink', 'V2', 'V1', 0.9973718791064389, 0.6274657249450684]
['CV', 154, 'UV', 24, 'uname', 'readelf', 'V3', 'V3', 0.970381340244354, 0.4705958366394043]
['UV', 65, 'CV', 161, 'objdump', 'pathchk', 'V1', 'V3', 0.9976236447348878, 1.3475303649902344]
['BV', 68, 'CV', 141, 'dot', 'false', 'V0', 'V3', 0.9929078014184397, 0.025094985961914062]
['BV', 25, 'CV', 67, 'git', 'uname', 'V3', 'V2', 0.999113867966327, 3.9105687141418457]
['CV', 112, 'UV', 39, 'expand', 'find', 'V3', 'V3', 0.9729965156794425, 0.5255508422851562]
['UV', 67, 'CV', 28, 'cmp', 'chown', 'V0', 'V2', 0.9166666666666666, 0.10807609558105469]
['UV', 41, 'CV', 347, 'cmp', 'ln', 'V3', 'V1', 0.9260700389105059, 0.06215071678161621]
['BV', 50, 'UV', 26, 'sort', 'ranlib', 'V0', 'V3', 0.9737835153922543, 1.4560399055480957]
['UV', 31, 'CV', 227, 'gprof', 'tty', 'V3', 'V0', 0.9975495201143557, 0.555854082107544]
['UV', 56, 'CV', 61, 'c++filt', 'ginstall', 'V1', 'V2', 0.9902305588120359, 2.3149657249450684]
['UV', 37, 'CV', 148, 'locate', 'ginstall', 'V3', 'V3', 0.9715424018212863, 0.7188093662261963]
['UV', 82, 'CV', 219, 'gprof', 'cp', 'V0', 'V0', 0.9953289217594394, 1.6109108924865723]
['UV', 58, 'CV', 130, 'objcopy', 'chmod', 'V1', 'V3', 0.9952882048060311, 2.006619453430176]
['UV', 38, 'CV', 247, 'xargs', 'shred', 'V3', 'V0', 0.9736147757255936, 0.15591859817504883]
['CV', 6, 'BV', 67, 'fmt', 'cluster', 'V2', 'V0', 0.9552980132450332, 0.20682048797607422]
['UV', 8, 'CV', 296, 'strip', 'sum', 'V2', 'V1', 0.9971811134601832, 0.8773517608642578]
['BV', 49, 'UV', 42, 'make', 'diff', 'V3', 'V3', 0.9726962457337884, 1.4628269672393799]
['BV', 17, 'CV', 279, 'codeblocks', 'pwd', 'V2', 'V1', 0.9993653614266675, 2.4318199157714844]
['CV', 281, 'BV', 56, 'tee', 'ssh', 'V1', 'V3', 0.9855295566502463, 0.9514501094818115]
