['BV', 28, 'CV', 190, 'openssl', 'dd', 'V1', 'V0', 0.9992068999702588, 4.275033950805664]
['UV', 87, 'CV', 57, 'objdump', 'who', 'V0', 'V2', 0.9957206174537674, 1.4552762508392334]
['CV', 46, 'UV', 81, 'cut', 'ld', 'V2', 'V0', 0.9822315916277669, 1.573716163635254]
['BV', 22, 'CV', 233, 'cmp', 'head', 'V3', 'V0', 0.9226069246435845, 0.0522918701171875]
['CV', 150, 'BV', 14, 'mv', 'openssl', 'V3', 'V3', 0.9874136229022705, 7.691374778747559]
['UV', 49, 'CV', 284, 'xargs', 'wc', 'V1', 'V1', 0.9594320486815415, 0.0545496940612793]
['CV', 309, 'UV', 84, 'df', 'ar', 'V1', 'V0', 0.9761021837659662, 1.1732556819915771]
['CV', 64, 'UV', 83, 'md5sum', 'addr2line', 'V2', 'V0', 0.9800752711976976, 0.9479286670684814]
['CV', 278, 'BV', 2, 'mkfifo', 'cmp', 'V1', 'V1', 0.8551401869158879, 0.04173445701599121]
['BV', 53, 'CV', 144, 'ssh', 'who', 'V2', 'V3', 0.9983458646616541, 3.0608606338500977]
['CV', 148, 'BV', 62, 'ginstall', 'diff', 'V3', 'V0', 0.9562146892655368, 0.35963940620422363]
['CV', 265, 'BV', 32, 'basename', 'perl', 'V1', 'V0', 0.9899316109422492, 1.205796480178833]
['UV', 7, 'CV', 97, 'nm', 'ptx', 'V2', 'V3', 0.992822966507177, 1.6648619174957275]
['BV', 40, 'UV', 76, 'lua', 'as', 'V2', 'V0', 0.9646091391693556, 13.524897813796997]
['UV', 84, 'CV', 301, 'ar', 'ls', 'V0', 'V1', 0.9913793103448276, 2.0070672035217285]
['CV', 322, 'BV', 3, 'ginstall', 'diff', 'V1', 'V1', 0.9148936170212766, 0.3055553436279297]
['CV', 177, 'UV', 0, 'test', 'locate', 'V0', 'V2', 0.8809869375907111, 0.08437919616699219]
['BV', 12, 'UV', 73, 'sort', 'nm', 'V2', 'V0', 0.9629555865365464, 2.383531093597412]
['CV', 276, 'UV', 37, 'uptime', 'locate', 'V1', 'V3', 0.9681274900398407, 0.1769566535949707]
['UV', 73, 'CV', 51, 'nm', 'printf', 'V0', 'V2', 0.9939991427346764, 1.0284574031829834]
['CV', 103, 'UV', 8, 'dd', 'strip', 'V3', 'V2', 0.9678595096090126, 2.3993499279022217]
['UV', 72, 'CV', 219, 'find', 'cp', 'V0', 'V0', 0.9693945442448436, 0.3738410472869873]
['BV', 41, 'CV', 291, 'libvlccore.so', 'pinky', 'V1', 'V1', 0.9992270033496522, 1.4352965354919434]
['BV', 75, 'CV', 193, 'cmp', 'pr', 'V2', 'V0', 0.8979591836734694, 0.07645916938781738]
['CV', 159, 'BV', 44, 'id', 'make', 'V3', 'V0', 0.9571499750871948, 0.4563748836517334]
['CV', 339, 'BV', 37, 'rm', 'geany', 'V1', 'V1', 0.9918831926109064, 7.834906339645386]
['BV', 34, 'CV', 321, 'svn', 'hostid', 'V0', 'V1', 0.9959058341862845, 0.27626514434814453]
['UV', 40, 'CV', 138, 'diff3', 'printf', 'V3', 'V3', 0.8956043956043956, 0.10610747337341309]
['CV', 153, 'UV', 48, 'link', 'locate', 'V3', 'V1', 0.9106598984771573, 0.152496337890625]
['CV', 4, 'BV', 39, 'basename', 'svn', 'V2', 'V1', 0.984119570294255, 0.4211561679840088]
['BV', 53, 'CV', 226, 'ssh', 'logname', 'V2', 'V0', 0.9992364663663434, 1.278411626815796]
['UV', 53, 'CV', 310, 'readelf', 'tsort', 'V1', 'V1', 0.9917069799585349, 0.19163084030151367]
['CV', 308, 'BV', 75, 'od', 'cmp', 'V1', 'V2', 0.8752362948960303, 0.06455159187316895]
['UV', 55, 'BV', 9, 'ranlib', 'dot', 'V1', 'V2', 0.9979495591552183, 0.33037734031677246]
['CV', 191, 'BV', 1, 'mkfifo', 'libSDL2-2.0.so', 'V0', 'V3', 0.9872321021431829, 1.3067553043365479]
['UV', 40, 'CV', 341, 'diff3', 'uniq', 'V3', 'V1', 0.932258064516129, 0.07444357872009277]
['UV', 77, 'CV', 145, 'ranlib', 'readlink', 'V0', 'V3', 0.9930527176134042, 1.151686668395996]
['CV', 6, 'BV', 48, 'fmt', 'gvmap', 'V2', 'V3', 0.9590973201692524, 0.24660396575927734]
['CV', 113, 'BV', 58, 'date', 'ruby', 'V3', 'V3', 1.0, 0.02044057846069336]
['BV', 72, 'CV', 1, 'perl', 'stat', 'V1', 'V2', 0.998532971466295, 2.27238130569458]
['CV', 20, 'UV', 1, 'tee', 'xargs', 'V2', 'V2', 0.8898305084745762, 0.09581613540649414]
['BV', 28, 'UV', 87, 'openssl', 'objdump', 'V1', 'V0', 0.9908162093904259, 91.37109684944153]
['BV', 65, 'CV', 184, 'ssh', 'ptx', 'V1', 'V0', 0.9976229386421037, 4.7543463706970215]
['CV', 216, 'UV', 30, 'dircolors', 'ld', 'V0', 'V3', 0.9846066134549601, 1.207512617111206]
['CV', 57, 'BV', 16, 'who', 'libvlc.so', 'V2', 'V3', 0.9888475836431226, 0.6113724708557129]
['UV', 19, 'CV', 114, 'elfedit', 'expr', 'V2', 'V3', 0.9701492537313433, 0.11083006858825684]
['UV', 5, 'CV', 330, 'diff', 'csplit', 'V2', 'V1', 0.9571332886805091, 0.39777374267578125]
['UV', 29, 'CV', 0, 'objcopy', 'touch', 'V3', 'V2', 0.9947089947089947, 1.187718391418457]
['CV', 309, 'BV', 83, 'df', 'git', 'V1', 'V2', 0.9912337803237425, 5.377238512039185]
['CV', 125, 'UV', 65, 'split', 'objdump', 'V3', 'V1', 0.97045191193511, 2.479771375656128]
['BV', 60, 'UV', 4, 'codeblocks', 'cmp', 'V1', 'V2', 0.9989806969484615, 3.88430118560791]
['CV', 321, 'BV', 82, 'hostid', 'gvmap', 'V1', 'V1', 0.9534883720930233, 0.16192173957824707]
['CV', 273, 'UV', 12, 'stty', 'c++filt', 'V1', 'V2', 0.9809482571985279, 0.9175734519958496]
['BV', 35, 'UV', 46, 'libvlccore.so', 'diff', 'V2', 'V1', 0.9956071540633825, 7.272242784500122]
['BV', 29, 'CV', 119, 'perl', 'paste', 'V3', 'V3', 0.9981024667931688, 2.395631790161133]
['CV', 10, 'UV', 42, 'ptx', 'diff', 'V2', 'V3', 0.933456561922366, 0.4769289493560791]
['CV', 301, 'BV', 8, 'ls', 'cluster', 'V1', 'V2', 0.9428223844282239, 0.5491373538970947]
['CV', 33, 'UV', 77, 'sync', 'ranlib', 'V2', 'V0', 0.9848548590660496, 0.7675807476043701]
['BV', 59, 'CV', 154, 'make', 'uname', 'V1', 'V3', 0.9875478927203065, 0.3664400577545166]
['UV', 39, 'BV', 49, 'find', 'make', 'V3', 'V3', 0.9543424317617866, 2.9207422733306885]
['BV', 38, 'UV', 39, 'ruby', 'find', 'V2', 'V3', 0.9882983910287665, 0.08176493644714355]
['BV', 53, 'CV', 285, 'ssh', 'factor', 'V2', 'V1', 0.9992381532835594, 1.5547187328338623]
['CV', 187, 'UV', 31, 'join', 'gprof', 'V0', 'V3', 0.9748201438848921, 1.0635712146759033]
['CV', 244, 'UV', 27, 'vdir', 'c++filt', 'V0', 'V3', 0.9643966052577106, 2.0072836875915527]
['UV', 28, 'CV', 236, 'strings', 'unexpand', 'V3', 'V0', 0.9973410148460005, 0.6068897247314453]
['BV', 6, 'CV', 282, 'libvlc.so', 'chgrp', 'V0', 'V1', 0.9884991374353076, 0.44146060943603516]
['CV', 263, 'UV', 78, 'unlink', 'c++filt', 'V1', 'V0', 0.9816891737239642, 0.575002908706665]
['BV', 29, 'CV', 155, 'perl', 'cat', 'V3', 'V3', 0.9981030667088208, 2.472536563873291]
['CV', 27, 'UV', 17, 'expr', 'addr2line', 'V2', 'V2', 0.9535437760571769, 2.0081701278686523]
['CV', 45, 'UV', 18, 'cp', 'ar', 'V2', 'V2', 0.9636096305826135, 2.809751033782959]
['BV', 36, 'CV', 90, 'libvlc.so', 'test', 'V2', 'V3', 0.991647331786543, 0.515674352645874]
['CV', 121, 'UV', 71, 'echo', 'xargs', 'V3', 'V0', 0.9056179775280899, 0.04777836799621582]
['CV', 280, 'UV', 20, 'pr', 'size', 'V1', 'V2', 0.9707112970711297, 1.21407151222229]
['BV', 24, 'CV', 337, 'git', 'comm', 'V0', 'V1', 0.9991559146267937, 2.1729018688201904]
['UV', 36, 'CV', 309, 'objdump', 'df', 'V3', 'V1', 0.9978313906207644, 1.6201765537261963]
['CV', 124, 'UV', 16, 'seq', 'gprof', 'V3', 'V2', 0.9735922330097088, 1.2464392185211182]
['UV', 30, 'BV', 1, 'ld', 'libSDL2-2.0.so', 'V3', 'V3', 0.9819039617398049, 49.16381549835205]
['UV', 1, 'CV', 236, 'xargs', 'unexpand', 'V2', 'V0', 0.9756468797564688, 0.06642436981201172]
['BV', 25, 'CV', 43, 'git', 'chmod', 'V3', 'V2', 0.9983065198983911, 7.905961513519287]
['UV', 43, 'CV', 327, 'sdiff', 'link', 'V3', 'V1', 0.9620493358633776, 0.048056602478027344]
['CV', 98, 'BV', 19, 'printenv', 'cp', 'V3', 'V3', 0.8821292775665399, 0.15521693229675293]
['CV', 68, 'BV', 80, 'cat', 'cluster', 'V2', 'V1', 0.9521203830369357, 0.35671281814575195]
['CV', 156, 'UV', 43, 'csplit', 'sdiff', 'V3', 'V3', 0.9448621553884712, 0.13275837898254395]
['CV', 333, 'UV', 44, 'id', 'diff3', 'V1', 'V1', 0.895870736086176, 0.0645751953125]
['CV', 306, 'UV', 38, 'cp', 'xargs', 'V1', 'V3', 0.9508021390374332, 0.2383730411529541]
['UV', 77, 'CV', 306, 'ranlib', 'cp', 'V0', 'V1', 0.991636798088411, 1.6176187992095947]
['UV', 55, 'CV', 217, 'ranlib', 'chmod', 'V1', 'V0', 0.9952597274343274, 1.0475950241088867]
['CV', 238, 'UV', 13, 'md5sum', 'strings', 'V0', 'V2', 0.9779602420051858, 0.8050367832183838]
['BV', 24, 'UV', 41, 'git', 'cmp', 'V0', 'V3', 0.9986825558416672, 3.5078346729278564]
['UV', 20, 'CV', 329, 'size', 'cat', 'V2', 'V1', 0.9969768948391277, 0.6370537281036377]
['BV', 8, 'CV', 33, 'cluster', 'sync', 'V2', 'V2', 0.9876352395672334, 0.1924304962158203]
['BV', 68, 'CV', 32, 'dot', 'paste', 'V0', 'V2', 0.9923954372623575, 0.023611783981323242]
['BV', 3, 'CV', 47, 'diff', 'od', 'V1', 'V2', 0.9715555555555555, 0.2125234603881836]
['CV', 345, 'BV', 33, 'rmdir', 'openssl', 'V1', 'V0', 0.9936611906396915, 2.3035101890563965]
['CV', 47, 'BV', 42, 'od', 'libvlc.so', 'V2', 'V1', 0.9839195979899498, 0.6336607933044434]
['UV', 53, 'BV', 30, 'readelf', 'bash', 'V1', 'V0', 0.9417277913610432, 7.574570178985596]
['UV', 80, 'CV', 310, 'objcopy', 'tsort', 'V0', 'V1', 0.9976072466245086, 0.7759537696838379]
['BV', 49, 'UV', 70, 'make', 'locate', 'V3', 'V0', 0.9764884338263178, 1.0467305183410645]
['BV', 66, 'CV', 206, 'lua', 'paste', 'V1', 'V0', 0.9940652818991098, 0.3461883068084717]
['CV', 338, 'UV', 46, 'nl', 'diff', 'V1', 'V1', 0.9209039548022598, 0.4017832279205322]
['UV', 7, 'CV', 61, 'nm', 'ginstall', 'V2', 'V2', 0.9884681914280223, 2.4736437797546387]
['UV', 53, 'BV', 33, 'readelf', 'openssl', 'V1', 'V0', 0.9695203944419543, 18.25710391998291]
['BV', 64, 'UV', 12, 'openssl', 'c++filt', 'V2', 'V2', 0.9819062414328794, 26.067647457122803]
['CV', 335, 'BV', 25, 'pathchk', 'git', 'V1', 'V3', 0.9950175749923216, 3.3154430389404297]
['CV', 303, 'BV', 6, 'dircolors', 'libvlc.so', 'V1', 'V0', 0.9876314162028448, 0.3500983715057373]
['CV', 104, 'UV', 36, 'mkfifo', 'objdump', 'V3', 'V3', 0.9833923223523006, 1.498243808746338]
['CV', 186, 'UV', 3, 'stty', 'diff3', 'V0', 'V2', 0.8929765886287625, 0.07585978507995605]
['UV', 48, 'BV', 80, 'locate', 'cluster', 'V1', 'V1', 0.9680170575692963, 0.7500581741333008]
['CV', 56, 'UV', 84, 'yes', 'ar', 'V2', 'V0', 0.9798149705634988, 0.7456490993499756]
['UV', 68, 'CV', 239, 'diff', 'env', 'V0', 'V0', 0.9889380530973452, 0.08142471313476562]
['CV', 260, 'UV', 59, 'ln', 'ld', 'V0', 'V1', 0.9811266800114383, 1.37550687789917]
