['CV', 58, 'UV', 15, 'readlink', 'ld', 'V2', 'V2', 0.9801164607300099, 1.528676986694336]
['UV', 18, 'CV', 337, 'ar', 'comm', 'V2', 'V1', 0.9967506092607636, 0.7487838268280029]
['BV', 39, 'CV', 53, 'svn', 'tty', 'V1', 'V2', 0.9925058548009368, 0.3908369541168213]
['BV', 25, 'UV', 9, 'git', 'readelf', 'V3', 'V2', 0.998436533011954, 28.77262043952942]
['BV', 71, 'CV', 281, 'ruby', 'tee', 'V1', 'V1', 0.989247311827957, 0.011124372482299805]
['BV', 71, 'CV', 54, 'ruby', 'false', 'V1', 'V2', 0.9895287958115183, 0.010280847549438477]
['UV', 30, 'CV', 115, 'ld', 'chown', 'V3', 'V3', 0.9956391387298992, 2.6296377182006836]
['CV', 243, 'UV', 32, 'csplit', 'addr2line', 'V0', 'V3', 0.9577294685990339, 2.1770825386047363]
['UV', 38, 'CV', 347, 'xargs', 'ln', 'V3', 'V1', 0.9474412171507607, 0.13002467155456543]
['CV', 176, 'BV', 4, 'unlink', 'geany', 'V0', 'V3', 0.9959110443526515, 4.375463008880615]
['CV', 262, 'BV', 25, 'stat', 'git', 'V1', 'V3', 0.9953653217011995, 5.235591650009155]
['BV', 27, 'CV', 137, 'libSDL2-2.0.so', 'cksum', 'V1', 'V3', 0.9961522605469286, 1.408033847808838]
['BV', 46, 'CV', 234, 'cluster', 'hostid', 'V3', 'V0', 0.9871897518014412, 0.15135741233825684]
['UV', 43, 'CV', 219, 'sdiff', 'cp', 'V3', 'V0', 0.891566265060241, 0.1492307186126709]
['UV', 66, 'BV', 40, 'diff3', 'lua', 'V0', 'V2', 0.9613899613899614, 0.9298174381256104]
['BV', 36, 'CV', 4, 'libvlc.so', 'basename', 'V2', 'V2', 0.9921951219512195, 0.33991503715515137]
['UV', 7, 'CV', 93, 'nm', 'fmt', 'V2', 'V3', 0.9946180914924446, 1.061342477798462]
['CV', 154, 'BV', 45, 'uname', 'svn', 'V3', 'V3', 0.9802955665024631, 0.6768465042114258]
['BV', 54, 'CV', 340, 'lua', 'fold', 'V3', 'V1', 0.9961152476529621, 0.42644715309143066]
['BV', 11, 'CV', 154, 'bash', 'uname', 'V1', 'V3', 0.9980584618703484, 1.6354806423187256]
['BV', 19, 'CV', 202, 'cp', 'chown', 'V3', 'V0', 0.977112676056338, 0.20418977737426758]
['CV', 309, 'UV', 73, 'df', 'nm', 'V1', 'V0', 0.9763288142887885, 1.1884448528289795]
['UV', 31, 'CV', 310, 'gprof', 'tsort', 'V3', 'V1', 0.9975669099756691, 0.7061746120452881]
['BV', 20, 'CV', 75, 'sort', 'tr', 'V1', 'V2', 0.9372325249643366, 0.09989500045776367]
['CV', 132, 'BV', 63, 'cp', 'ruby', 'V3', 'V0', 0.9842297696136734, 17.518080472946167]
['CV', 301, 'BV', 7, 'ls', 'libSDL2-2.0.so', 'V1', 'V0', 0.9671019162285908, 3.064469337463379]
['CV', 183, 'UV', 18, 'users', 'ar', 'V0', 'V2', 0.9804520464263897, 0.7765152454376221]
['CV', 346, 'BV', 13, 'mknod', 'cp', 'V1', 'V2', 0.9218009478672986, 0.10870122909545898]
['UV', 5, 'BV', 71, 'diff', 'ruby', 'V2', 'V1', 1.0, 0.03869771957397461]
['UV', 65, 'CV', 300, 'objdump', 'whoami', 'V1', 'V1', 0.9987882459860649, 0.7942290306091309]
['BV', 76, 'CV', 48, 'diff', 'df', 'V2', 'V2', 0.9633699633699634, 0.3321406841278076]
['BV', 70, 'UV', 11, 'ssh', 'ranlib', 'V0', 'V2', 0.9906298802706923, 42.696221590042114]
['BV', 38, 'CV', 56, 'ruby', 'yes', 'V2', 'V2', 0.9900990099009901, 0.011039495468139648]
['UV', 29, 'CV', 138, 'objcopy', 'printf', 'V3', 'V3', 0.9940455341506129, 1.3792219161987305]
['BV', 74, 'CV', 178, 'git', 'basename', 'V1', 'V0', 0.9994802764929058, 1.9189765453338623]
['CV', 32, 'UV', 14, 'paste', 'objcopy', 'V2', 'V2', 0.9820580474934036, 0.9758932590484619]
['UV', 54, 'CV', 194, 'as', 'tee', 'V1', 'V0', 0.9983680130558955, 0.9698243141174316]
['BV', 29, 'UV', 31, 'perl', 'gprof', 'V3', 'V3', 0.9892755143673136, 44.10031199455261]
['UV', 30, 'CV', 242, 'ld', 'cat', 'V3', 'V0', 0.9979962788034922, 0.8559119701385498]
['CV', 170, 'BV', 16, 'tac', 'libvlc.so', 'V3', 'V3', 0.9807251032583754, 0.6444628238677979]
['BV', 5, 'CV', 105, 'libvlccore.so', 'pwd', 'V0', 'V3', 0.9976412003669244, 1.7629215717315674]
['UV', 8, 'CV', 160, 'strip', 'shred', 'V2', 'V3', 0.9929399899142713, 2.0352683067321777]
['UV', 66, 'CV', 119, 'diff3', 'paste', 'V0', 'V3', 0.9287925696594427, 0.08568239212036133]
['UV', 34, 'CV', 213, 'elfedit', 'whoami', 'V3', 'V0', 0.9806763285024155, 0.049703121185302734]
['BV', 0, 'UV', 26, 'bash', 'ranlib', 'V2', 'V3', 0.9869097051164755, 32.55698013305664]
['BV', 40, 'UV', 86, 'lua', 'size', 'V2', 'V0', 0.968012185833968, 10.168722867965698]
['BV', 21, 'CV', 276, 'cp', 'uptime', 'V1', 'V1', 0.9675850891410048, 0.07385468482971191]
['UV', 60, 'CV', 85, 'gprof', 'mknod', 'V1', 'V2', 0.9984402417625268, 0.8666574954986572]
['UV', 45, 'BV', 30, 'cmp', 'bash', 'V1', 'V0', 0.9764065335753176, 1.971360206604004]
['UV', 28, 'CV', 183, 'strings', 'users', 'V3', 'V0', 0.996904709263763, 0.655148983001709]
['UV', 17, 'CV', 155, 'addr2line', 'cat', 'V2', 'V3', 0.9970414201183432, 1.027174949645996]
['CV', 141, 'BV', 13, 'false', 'cp', 'V3', 'V2', 0.8911111111111111, 0.13374686241149902]
['BV', 37, 'CV', 111, 'geany', 'factor', 'V1', 'V3', 0.9987931674712217, 7.1344685554504395]
['CV', 346, 'UV', 41, 'mknod', 'cmp', 'V1', 'V3', 0.8681818181818182, 0.04662370681762695]
['UV', 34, 'CV', 247, 'elfedit', 'shred', 'V3', 'V0', 0.978021978021978, 0.0933079719543457]
['UV', 57, 'CV', 77, 'strings', 'nl', 'V1', 'V2', 0.9936621113091701, 1.8717467784881592]
['BV', 42, 'CV', 300, 'libvlc.so', 'whoami', 'V1', 'V1', 0.9943757030371203, 0.23208403587341309]
['CV', 15, 'UV', 13, 'uptime', 'strings', 'V2', 'V2', 0.9735494880546075, 1.0664317607879639]
['CV', 315, 'UV', 80, 'false', 'objcopy', 'V1', 'V0', 0.9876054398347393, 0.6706249713897705]
['BV', 35, 'CV', 248, 'libvlccore.so', 'pathchk', 'V2', 'V0', 0.9997674688989653, 1.1718676090240479]
