['BV', 74, 'CV', 104, 'git', 'mkfifo', 'V1', 'V3', 0.9987598181066556, 3.4081838130950928]
['CV', 345, 'UV', 85, 'rmdir', 'elfedit', 'V1', 'V0', 0.9746835443037974, 0.0539400577545166]
['CV', 79, 'UV', 1, 'fold', 'xargs', 'V2', 'V2', 0.8932584269662921, 0.09538555145263672]
['BV', 28, 'CV', 212, 'openssl', 'split', 'V1', 'V0', 0.9992027505107379, 2.8763086795806885]
['BV', 24, 'CV', 114, 'git', 'expr', 'V0', 'V3', 0.9986873508353222, 4.076443910598755]
['CV', 241, 'UV', 0, 'uname', 'locate', 'V0', 'V2', 0.8861538461538462, 0.07324814796447754]
['BV', 3, 'CV', 144, 'diff', 'who', 'V1', 'V3', 0.9639314697926059, 0.2071235179901123]
['UV', 17, 'CV', 33, 'addr2line', 'sync', 'V2', 'V2', 0.9969814575247952, 0.6709771156311035]
['CV', 30, 'UV', 0, 'pinky', 'locate', 'V2', 'V2', 0.9096774193548387, 0.12038636207580566]
['UV', 77, 'CV', 215, 'ranlib', 'nice', 'V0', 'V0', 0.9978827016726657, 0.5535674095153809]
['UV', 32, 'CV', 206, 'addr2line', 'paste', 'V3', 'V0', 0.9960238568588469, 0.575810432434082]
['BV', 43, 'CV', 81, 'lua', 'sleep', 'V0', 'V2', 0.9905362776025236, 0.43030858039855957]
['BV', 55, 'CV', 251, 'codeblocks', 'nl', 'V3', 'V0', 0.9977981651376147, 6.24563455581665]
['UV', 66, 'CV', 189, 'diff3', 'uptime', 'V0', 'V0', 0.9428571428571428, 0.06460452079772949]
['UV', 51, 'CV', 103, 'nm', 'dd', 'V1', 'V3', 0.9929988331388565, 1.9776647090911865]
['UV', 76, 'CV', 185, 'as', 'printenv', 'V0', 'V0', 0.9982869379014989, 0.71091628074646]
['CV', 305, 'UV', 72, 'true', 'find', 'V1', 'V0', 0.9376053962900506, 0.1295769214630127]
['CV', 134, 'UV', 75, 'od', 'readelf', 'V3', 'V0', 0.9600725952813067, 0.4602940082550049]
['BV', 45, 'CV', 175, 'svn', 'stat', 'V3', 'V0', 0.9971479500891266, 0.5610182285308838]
['BV', 33, 'CV', 301, 'openssl', 'ls', 'V0', 'V1', 0.9985503494693243, 6.97504997253418]
['BV', 50, 'CV', 291, 'sort', 'pinky', 'V0', 'V1', 0.9471830985915493, 0.06788897514343262]
['BV', 26, 'UV', 44, 'geany', 'diff3', 'V2', 'V1', 0.9990213958453805, 7.192813158035278]
['CV', 100, 'BV', 34, 'join', 'svn', 'V3', 'V0', 0.9666215606675688, 0.7481350898742676]
['BV', 64, 'CV', 219, 'openssl', 'cp', 'V2', 'V0', 0.9971309711662603, 2.9676294326782227]
['BV', 27, 'CV', 5, 'libSDL2-2.0.so', 'mkdir', 'V1', 'V2', 0.9945429740791268, 1.6397302150726318]
['UV', 7, 'CV', 245, 'nm', '[', 'V2', 'V0', 0.9957716701902748, 0.7261590957641602]
['UV', 17, 'CV', 79, 'addr2line', 'fold', 'V2', 'V2', 0.9957182616142154, 0.7817301750183105]
['CV', 105, 'BV', 13, 'pwd', 'cp', 'V3', 'V2', 0.8963730569948186, 0.1640183925628662]
['UV', 76, 'CV', 120, 'as', 'sync', 'V0', 'V3', 0.9980353634577603, 1.336913824081421]
['BV', 35, 'CV', 261, 'libvlccore.so', 'touch', 'V2', 'V1', 0.9993095512082854, 1.890693187713623]
['UV', 8, 'CV', 81, 'strip', 'sleep', 'V2', 'V2', 0.9971915043005091, 0.9327263832092285]
['CV', 125, 'BV', 30, 'split', 'bash', 'V3', 'V0', 0.9723430355748857, 2.98311448097229]
['BV', 54, 'CV', 318, 'lua', 'who', 'V3', 'V1', 0.9968223705115984, 0.5877690315246582]
['CV', 151, 'UV', 39, 'md5sum', 'find', 'V3', 'V3', 0.9689253344842469, 0.5582749843597412]
['UV', 67, 'CV', 43, 'cmp', 'chmod', 'V0', 'V2', 0.9296636085626911, 0.09884142875671387]
['CV', 115, 'BV', 64, 'chown', 'openssl', 'V3', 'V2', 0.9894781743210579, 3.815880537033081]
['UV', 27, 'CV', 241, 'c++filt', 'uname', 'V3', 'V0', 0.9968560520997081, 0.5188167095184326]
['UV', 54, 'CV', 107, 'as', 'tee', 'V1', 'V3', 0.9965300947551048, 1.6909511089324951]
['BV', 5, 'CV', 14, 'libvlccore.so', 'dirname', 'V0', 'V2', 0.9992043495557619, 1.174699306488037]
['CV', 347, 'BV', 58, 'ln', 'ruby', 'V1', 'V3', 1.0, 0.012545108795166016]
['CV', 157, 'UV', 1, 'vdir', 'xargs', 'V3', 'V2', 0.9619326500732064, 0.3422403335571289]
['CV', 102, 'UV', 8, 'uptime', 'strip', 'V3', 'V2', 0.9732004810170074, 1.5712964534759521]
['BV', 2, 'CV', 204, 'cmp', 'pinky', 'V1', 'V0', 0.9470468431771895, 0.05707669258117676]
['BV', 53, 'CV', 83, 'ssh', 'tac', 'V2', 'V2', 0.9974850210814409, 4.884416818618774]
['CV', 73, 'BV', 18, 'shred', 'sort', 'V2', 'V3', 0.9216326530612244, 0.25657176971435547]
['BV', 30, 'CV', 208, 'bash', 'echo', 'V0', 'V0', 0.9993067590987869, 0.941131591796875]
['BV', 12, 'CV', 23, 'sort', 'wc', 'V2', 'V2', 0.9602209944751381, 0.1389455795288086]
['BV', 78, 'CV', 37, 'make', 'seq', 'V2', 'V2', 0.9849906191369606, 0.3877906799316406]
['BV', 21, 'CV', 5, 'cp', 'mkdir', 'V1', 'V2', 0.9350473612990527, 0.10904335975646973]
['CV', 232, 'BV', 11, 'readlink', 'bash', 'V0', 'V1', 0.9865202739428198, 1.272251844406128]
['BV', 23, 'CV', 94, 'diff', 'dir', 'V3', 'V3', 0.9450056116722784, 0.6068389415740967]
['UV', 53, 'CV', 11, 'readelf', 'printenv', 'V1', 'V2', 0.9931318681318682, 0.20106720924377441]
['CV', 28, 'UV', 54, 'chown', 'as', 'V2', 'V1', 0.9758149316508938, 2.3885486125946045]
['UV', 38, 'BV', 41, 'xargs', 'libvlccore.so', 'V3', 'V1', 0.9684432848801093, 3.301295518875122]
['CV', 344, 'BV', 42, 'tac', 'libvlc.so', 'V1', 'V1', 0.980410447761194, 0.8094940185546875]
['CV', 135, 'BV', 3, 'df', 'diff', 'V3', 'V1', 0.9016874541452677, 0.35241150856018066]
['UV', 1, 'CV', 62, 'xargs', 'unexpand', 'V2', 'V2', 0.9660537482319661, 0.08429193496704102]
['UV', 53, 'CV', 318, 'readelf', 'who', 'V1', 'V1', 0.9906542056074766, 0.2505512237548828]
['BV', 79, 'CV', 65, 'bash', 'env', 'V3', 'V2', 0.9980203899831733, 1.4467830657958984]
['CV', 101, 'BV', 21, 'dirname', 'cp', 'V3', 'V1', 0.8878787878787879, 0.09481692314147949]
['CV', 245, 'BV', 50, '[', 'sort', 'V0', 'V0', 0.8782287822878229, 0.06053280830383301]
