['CV', 293, 'UV', 66, 'paste', 'diff3', 'V1', 'V0', 0.8681732580037664, 0.05581331253051758]
['BV', 54, 'UV', 79, 'lua', 'strings', 'V3', 'V0', 0.9697726012201886, 9.247731447219849]
['BV', 38, 'CV', 122, 'ruby', 'sum', 'V2', 'V3', 0.993993993993994, 0.016546010971069336]
['CV', 132, 'UV', 46, 'cp', 'diff', 'V3', 'V1', 0.9380804953560371, 0.6807239055633545]
['BV', 30, 'CV', 101, 'bash', 'dirname', 'V0', 'V3', 0.9965714285714286, 1.5211076736450195]
['CV', 100, 'UV', 38, 'join', 'xargs', 'V3', 'V3', 0.9640044994375703, 0.22334575653076172]
['UV', 20, 'BV', 54, 'size', 'lua', 'V2', 'V3', 0.9754551584625759, 9.087650775909424]
['CV', 209, 'BV', 54, 'sum', 'lua', 'V0', 'V3', 0.9781561194988757, 0.5343666076660156]
['CV', 82, 'UV', 31, 'sort', 'gprof', 'V2', 'V3', 0.9586486985416283, 2.6087682247161865]
['UV', 29, 'CV', 217, 'objcopy', 'chmod', 'V3', 'V0', 0.9950460014154282, 1.1233391761779785]
['CV', 323, 'UV', 42, 'unexpand', 'diff', 'V1', 'V3', 0.9108635097493036, 0.13118672370910645]
['UV', 10, 'CV', 323, 'as', 'unexpand', 'V2', 'V1', 0.9983746444534742, 0.9421000480651855]
['CV', 23, 'UV', 6, 'wc', 'sdiff', 'V2', 'V2', 0.8961832061068702, 0.09369778633117676]
['UV', 51, 'CV', 59, 'nm', 'head', 'V1', 'V2', 0.9967057854642783, 0.9573469161987305]
['CV', 37, 'BV', 11, 'seq', 'bash', 'V2', 'V1', 0.9864282636794485, 1.8600683212280273]
['CV', 273, 'BV', 40, 'stty', 'lua', 'V1', 'V2', 0.9720613287904599, 0.522850513458252]
['UV', 68, 'BV', 76, 'diff', 'diff', 'V0', 'V2', 0.9110847658565501, 0.5025625228881836]
['UV', 56, 'CV', 219, 'c++filt', 'cp', 'V1', 'V0', 0.993059808124107, 1.533984661102295]
['BV', 55, 'CV', 262, 'codeblocks', 'stat', 'V3', 'V1', 0.9992519635955617, 3.543534755706787]
['BV', 74, 'CV', 30, 'git', 'pinky', 'V1', 'V2', 0.9990704879938033, 3.6139304637908936]
['UV', 45, 'CV', 256, 'cmp', 'sort', 'V1', 'V0', 0.8885448916408669, 0.09150815010070801]
['CV', 112, 'BV', 57, 'expand', 'svn', 'V3', 'V2', 0.981149012567325, 0.6006326675415039]
['BV', 4, 'CV', 111, 'geany', 'factor', 'V3', 'V3', 0.9991752237205658, 7.864741563796997]
['BV', 27, 'CV', 145, 'libSDL2-2.0.so', 'readlink', 'V1', 'V3', 0.9940078986790141, 1.7699646949768066]
['BV', 35, 'CV', 63, 'libvlccore.so', 'mv', 'V2', 'V2', 0.9973675551168147, 4.8345723152160645]
['CV', 31, 'BV', 19, 'sha1sum', 'cp', 'V2', 'V3', 0.9279620853080569, 0.16580629348754883]
['CV', 156, 'UV', 61, 'csplit', 'addr2line', 'V3', 'V1', 0.9679187817258883, 1.605290174484253]
['CV', 180, 'UV', 56, 'fmt', 'c++filt', 'V0', 'V1', 0.9792342634652823, 0.6983249187469482]
['BV', 42, 'CV', 183, 'libvlc.so', 'users', 'V1', 'V0', 0.9933444259567388, 0.27023959159851074]
['UV', 76, 'CV', 346, 'as', 'mknod', 'V0', 'V1', 0.9985789398891574, 0.8924767971038818]
['UV', 17, 'CV', 262, 'addr2line', 'stat', 'V2', 'V1', 0.9965606190885641, 0.7671005725860596]
['BV', 18, 'UV', 81, 'sort', 'ld', 'V3', 'V0', 0.9657694962042788, 5.014434576034546]
['BV', 81, 'CV', 99, 'dot', 'stty', 'V1', 'V3', 0.9952830188679245, 0.03894543647766113]
['BV', 53, 'CV', 259, 'ssh', 'mknod', 'V2', 'V0', 0.9992378629677616, 1.5358262062072754]
['BV', 70, 'CV', 227, 'ssh', 'tty', 'V0', 'V0', 0.9992103600758054, 1.2507870197296143]
['BV', 79, 'CV', 95, 'bash', 'du', 'V3', 'V3', 0.9947550810152664, 5.5707738399505615]
['UV', 2, 'CV', 43, 'find', 'chmod', 'V2', 'V2', 0.9876681614349776, 0.39206528663635254]
['CV', 162, 'BV', 78, 'tr', 'make', 'V3', 'V2', 0.9446460980036298, 0.4957761764526367]
['BV', 31, 'CV', 215, 'codeblocks', 'nice', 'V0', 'V0', 0.9993379237288136, 1.9988813400268555]
['CV', 170, 'BV', 42, 'tac', 'libvlc.so', 'V3', 'V1', 0.983640081799591, 0.541790246963501]
['CV', 51, 'UV', 17, 'printf', 'addr2line', 'V2', 'V2', 0.9756148833298297, 1.2159831523895264]
