['UO', 83, 'CO', 275, 'diff', 'nohup', 'O0', 'O2', 0.964828137490008, 0.20324945449829102]
['BO', 26, 'CO', 191, 'gvmap', 'id', 'O3', 'O1', 0.9711141678129298, 0.3475534915924072]
['BO', 1, 'CO', 6, 'ssh', 'mkdir', 'O2', 'O3', 0.9959278650378127, 1.8856117725372314]
['CO', 195, 'BO', 56, 'comm', 'libvlc.so.12.0.0', 'O1', 'O3', 0.9873969946679593, 0.6274118423461914]
['BO', 27, 'UO', 70, 'perl', 'ranlib', 'O3', 'O0', 0.9877218737488322, 81.21065044403076]
['BO', 68, 'CO', 387, 'git', 'mv', 'O3', 'O0', 0.9973474801061007, 21.831772565841675]
['CO', 19, 'UO', 11, 'dd', 'ld', 'O3', 'O1', 0.9760924425554522, 3.2910261154174805]
['CO', 103, 'BO', 54, 'ln', 'lua', 'O3', 'O3', 0.9603676048248133, 1.4423613548278809]
['UO', 69, 'CO', 329, 'as', 'stdbuf', 'O0', 'O0', 0.9988868274582561, 2.8064284324645996]
['UO', 25, 'CO', 225, 'sdiff', 'stdbuf', 'O2', 'O2', 0.9250814332247557, 0.09108972549438477]
['CO', 81, 'UO', 27, 'cat', 'strip', 'O3', 'O2', 0.9791519434628976, 1.3503682613372803]
['CO', 194, 'UO', 5, 'tr', 'readelf', 'O1', 'O1', 0.9542736545902216, 0.6680362224578857]
['UO', 19, 'CO', 411, 'cmp', 'sort', 'O1', 'O0', 0.9270516717325228, 0.2949199676513672]
['CO', 7, 'UO', 11, 'fmt', 'ld', 'O3', 'O1', 0.9785419532324622, 1.7609474658966064]
['BO', 61, 'CO', 117, 'git', 'printenv', 'O1', 'O1', 0.9989583333333333, 3.521172285079956]
['BO', 70, 'CO', 257, 'diff', 'nice', 'O3', 'O2', 0.9872495446265938, 0.14946746826171875]
['BO', 43, 'UO', 41, 'diff', 'locate', 'O1', 'O2', 0.9797639123102867, 0.767026424407959]
