['UV', 12, 'CV', 114, 'c++filt', 'expr', 'V2', 'V3', 0.9962145110410094, 1.2406401634216309]
['CV', 127, 'UV', 62, 'ls', 'ar', 'V3', 'V1', 0.9593926553672316, 3.5451653003692627]
['UV', 60, 'CV', 241, 'gprof', 'uname', 'V1', 'V0', 0.998417095370004, 0.5611732006072998]
['UV', 21, 'CV', 114, 'objdump', 'expr', 'V2', 'V3', 0.996958174904943, 1.706895351409912]
['CV', 6, 'UV', 43, 'fmt', 'sdiff', 'V2', 'V3', 0.9146141215106732, 0.0760202407836914]
['UV', 6, 'CV', 100, 'sdiff', 'join', 'V2', 'V3', 0.9012658227848102, 0.12784981727600098]
['CV', 247, 'BV', 16, 'shred', 'libvlc.so', 'V0', 'V3', 0.9906059182714889, 0.5921926498413086]
['CV', 129, 'UV', 25, 'dircolors', 'as', 'V3', 'V3', 0.9810666666666666, 1.8584723472595215]
['BV', 41, 'UV', 58, 'libvlccore.so', 'objcopy', 'V1', 'V1', 0.9752133580705009, 33.75265693664551]
['UV', 26, 'CV', 336, 'ranlib', 'tr', 'V3', 'V1', 0.9959108566755265, 0.8596224784851074]
['BV', 9, 'CV', 138, 'dot', 'printf', 'V2', 'V3', 0.9948453608247423, 0.03471183776855469]
['CV', 114, 'BV', 31, 'expr', 'codeblocks', 'V3', 'V0', 0.9919007184846506, 5.723605394363403]
['UV', 69, 'CV', 252, 'sdiff', 'rm', 'V0', 'V0', 0.930635838150289, 0.10686016082763672]
['BV', 33, 'CV', 81, 'openssl', 'sleep', 'V0', 'V2', 0.9988418614445146, 2.8106465339660645]
['CV', 259, 'UV', 51, 'mknod', 'nm', 'V0', 'V1', 0.9793771043771043, 0.7194066047668457]
['UV', 68, 'CV', 130, 'diff', 'chmod', 'V0', 'V3', 0.954248366013072, 0.26705050468444824]
['UV', 13, 'CV', 63, 'strings', 'mv', 'V2', 'V2', 0.9874534405018623, 2.3724441528320312]
['CV', 143, 'UV', 87, 'yes', 'objdump', 'V3', 'V0', 0.9811844540407156, 1.3325319290161133]
['UV', 18, 'CV', 330, 'ar', 'csplit', 'V2', 'V1', 0.9925023430178069, 2.112595558166504]
['CV', 230, 'BV', 34, 'yes', 'svn', 'V0', 'V0', 0.9835813237557722, 0.32718634605407715]
['CV', 130, 'UV', 72, 'chmod', 'find', 'V3', 'V0', 0.8889623265036352, 0.3854990005493164]
['UV', 67, 'CV', 185, 'cmp', 'printenv', 'V0', 'V0', 0.9706601466992665, 0.03414273262023926]
['CV', 206, 'BV', 65, 'paste', 'ssh', 'V0', 'V1', 0.9894414690130069, 1.4669201374053955]
['BV', 15, 'CV', 24, 'libvlccore.so', 'factor', 'V3', 'V2', 0.9988512349224583, 1.6004080772399902]
['CV', 191, 'UV', 49, 'mkfifo', 'xargs', 'V0', 'V1', 0.8561797752808988, 0.045912981033325195]
['UV', 57, 'CV', 194, 'strings', 'tee', 'V1', 'V0', 0.9978540772532188, 0.6320483684539795]
['BV', 64, 'CV', 14, 'openssl', 'dirname', 'V2', 'V2', 0.9979166666666667, 1.3234529495239258]
['CV', 128, 'UV', 68, 'nice', 'diff', 'V3', 'V0', 0.8991097922848664, 0.16083765029907227]
['CV', 322, 'BV', 58, 'ginstall', 'ruby', 'V1', 'V3', 1.0, 0.02366924285888672]
['CV', 244, 'UV', 17, 'vdir', 'addr2line', 'V0', 'V2', 0.9686242960579243, 2.0309953689575195]
['UV', 63, 'CV', 82, 'elfedit', 'sort', 'V1', 'V2', 0.9533333333333334, 0.18438172340393066]
['UV', 81, 'CV', 45, 'ld', 'cp', 'V0', 'V2', 0.9915110356536503, 3.443150043487549]
['BV', 50, 'UV', 48, 'sort', 'locate', 'V0', 'V1', 0.9102333931777379, 0.22455835342407227]
['CV', 17, 'BV', 34, 'mkfifo', 'svn', 'V2', 'V0', 0.9781420765027322, 0.3981359004974365]
['BV', 27, 'CV', 113, 'libSDL2-2.0.so', 'date', 'V1', 'V3', 0.9938592978240556, 2.50608491897583]
['CV', 4, 'BV', 36, 'basename', 'libvlc.so', 'V2', 'V2', 0.9863414634146341, 0.4102463722229004]
['CV', 113, 'BV', 27, 'date', 'libSDL2-2.0.so', 'V3', 'V1', 0.97436924309171, 3.2217230796813965]
['UV', 22, 'CV', 246, 'nm', 'id', 'V3', 'V0', 0.9961148284049213, 0.7027063369750977]
['CV', 320, 'UV', 87, 'head', 'objdump', 'V1', 'V0', 0.9832972471388803, 1.2248435020446777]
['UV', 22, 'BV', 62, 'nm', 'diff', 'V3', 'V0', 0.9915254237288136, 1.8307225704193115]
['BV', 18, 'CV', 8, 'sort', 'du', 'V3', 'V2', 0.9411764705882353, 0.443281888961792]
['CV', 213, 'UV', 42, 'whoami', 'diff', 'V0', 'V3', 0.9127134724857685, 0.11480379104614258]
['CV', 312, 'UV', 76, 'printf', 'as', 'V1', 'V0', 0.9864253393665159, 1.2247037887573242]
['BV', 13, 'CV', 219, 'cp', 'cp', 'V2', 'V0', 0.9342806394316163, 0.22885584831237793]
['CV', 121, 'UV', 16, 'echo', 'gprof', 'V3', 'V2', 0.9743690851735016, 0.9531164169311523]
['CV', 243, 'BV', 10, 'csplit', 'gvmap', 'V0', 'V2', 0.9630459126539753, 0.6025726795196533]
['CV', 179, 'UV', 34, 'mkdir', 'elfedit', 'V0', 'V3', 0.9585921325051759, 0.07343673706054688]
['CV', 339, 'UV', 3, 'rm', 'diff3', 'V1', 'V2', 0.898989898989899, 0.10831856727600098]
['CV', 104, 'BV', 3, 'mkfifo', 'diff', 'V3', 'V1', 0.8840864440078585, 0.15889453887939453]
['BV', 14, 'CV', 159, 'openssl', 'id', 'V3', 'V3', 0.9981185324553151, 2.2315237522125244]
['UV', 51, 'CV', 77, 'nm', 'nl', 'V1', 'V2', 0.9918335601788839, 1.8620247840881348]
['UV', 50, 'CV', 61, 'find', 'ginstall', 'V1', 'V2', 0.9674485399712781, 0.7205634117126465]
['BV', 53, 'UV', 16, 'ssh', 'gprof', 'V2', 'V2', 0.99079840655333, 44.11297369003296]
['CV', 50, 'BV', 17, 'cksum', 'codeblocks', 'V2', 'V2', 0.9956882886310316, 3.293389320373535]
