['CO', 39, 'BO', 33, 'paste', 'sort', 'O3', 'O2', 0.8969276511397424, 0.17480850219726562]
['UO', 34, 'CO', 307, 'ld', 'sort', 'O2', 'O2', 0.9905100830367735, 4.0045082569122314]
['UO', 7, 'CO', 53, 'ranlib', 'chmod', 'O1', 'O3', 0.9916887041934265, 1.6947193145751953]
['CO', 358, 'UO', 31, 'whoami', 'c++filt', 'O0', 'O2', 0.9740431148262209, 0.9919881820678711]
['UO', 51, 'CO', 141, 'objcopy', 'truncate', 'O3', 'O1', 0.9931875224094657, 1.032593011856079]
['CO', 112, 'BO', 69, 'dir', 'cmp', 'O1', 'O3', 0.9745222929936306, 0.1997530460357666]
['UO', 77, 'CO', 339, 'ar', 'wc', 'O0', 'O0', 0.9981340797014527, 2.2335283756256104]
['CO', 83, 'BO', 23, 'csplit', 'git', 'O3', 'O2', 0.9884746054272567, 7.091804027557373]
['UO', 1, 'CO', 341, 'xargs', 'nproc', 'O1', 'O0', 0.9528795811518325, 0.1613311767578125]
['UO', 77, 'CO', 4, 'ar', 'test', 'O0', 'O3', 0.9975812953507122, 1.7569360733032227]
['BO', 11, 'CO', 353, 'ssh', 'echo', 'O1', 'O0', 0.9940652818991098, 1.3129615783691406]
['CO', 131, 'BO', 11, 'wc', 'ssh', 'O1', 'O1', 0.9759847708302826, 1.813882827758789]
['CO', 138, 'BO', 47, 'tail', 'libvlc.so.12.0.0', 'O1', 'O0', 0.9679144385026738, 1.1235885620117188]
['UO', 11, 'BO', 67, 'ld', 'libSDL2-2.0.so.0.16.0', 'O1', 'O1', 0.9841546931650329, 44.21779465675354]
['BO', 8, 'CO', 130, 'cp', 'kill', 'O0', 'O1', 0.9729912221471978, 0.27153515815734863]
['BO', 4, 'UO', 86, 'libgeany.so.0.0.0', 'xargs', 'O2', 'O0', 0.9995514354066986, 12.739651918411255]
['CO', 366, 'BO', 44, 'true', 'cmp', 'O0', 'O2', 0.9142857142857143, 0.06403040885925293]
['CO', 29, 'BO', 66, 'nproc', 'svn', 'O3', 'O2', 0.9731051344743277, 0.6312961578369141]
['CO', 340, 'UO', 38, 'factor', 'elfedit', 'O0', 'O2', 0.9758454106280193, 0.18698596954345703]
['BO', 59, 'CO', 406, 'libgeany.so.0.0.0', 'rm', 'O3', 'O0', 0.9987605715952173, 13.587524890899658]
['BO', 81, 'UO', 59, 'sort', 'locate', 'O3', 'O3', 0.9693034238488784, 0.6552305221557617]
['UO', 51, 'CO', 351, 'objcopy', 'paste', 'O3', 'O0', 0.9925306775742486, 1.3154966831207275]
['UO', 6, 'CO', 297, 'as', 'pathchk', 'O1', 'O2', 0.9960820164555308, 1.1944785118103027]
['BO', 55, 'CO', 123, 'make', 'dd', 'O1', 'O1', 0.9789827658680118, 0.7783856391906738]
['UO', 50, 'CO', 178, 'strings', 'unexpand', 'O3', 'O1', 0.993847506042628, 1.0402534008026123]
['CO', 159, 'UO', 70, 'cp', 'ranlib', 'O1', 'O0', 0.9813789632611978, 5.271908283233643]
['CO', 250, 'BO', 4, 'sum', 'libgeany.so.0.0.0', 'O2', 'O2', 0.9939334192765602, 6.991153955459595]
['CO', 253, 'BO', 68, 'split', 'git', 'O2', 'O3', 0.988873075430198, 6.926360845565796]
['BO', 49, 'CO', 402, 'svn', 'tr', 'O0', 'O0', 0.9901095019427764, 0.9879617691040039]
['BO', 63, 'CO', 286, 'cluster', 'chcon', 'O0', 'O2', 0.975609756097561, 0.691382646560669]
['BO', 77, 'CO', 385, 'libSDL2-2.0.so.0.16.0', 'hostid', 'O3', 'O0', 0.9931623931623932, 1.732736349105835]
['UO', 53, 'CO', 361, 'gprof', 'nice', 'O3', 'O0', 0.9931076424082709, 1.0551958084106445]
['CO', 336, 'UO', 58, 'tee', 'objdump', 'O0', 'O3', 0.9796628311479797, 1.9456965923309326]
['UO', 35, 'CO', 372, 'gprof', 'base64', 'O2', 'O0', 0.9932991722506898, 1.3329408168792725]
['BO', 15, 'CO', 32, 'diff', 'expr', 'O0', 'O3', 0.9642346208869814, 0.3000907897949219]
['CO', 33, 'UO', 16, 'chown', 'size', 'O3', 'O1', 0.9612571654477169, 1.9710524082183838]
['CO', 116, 'UO', 23, 'ptx', 'cmp', 'O1', 'O2', 0.9326788218793829, 0.1082601547241211]
['BO', 18, 'CO', 255, 'libvlc.so.12.0.0', 'numfmt', 'O1', 'O2', 0.9910581222056631, 0.5845084190368652]
['BO', 55, 'UO', 85, 'make', 'locate', 'O1', 'O0', 0.9600386722526587, 1.844527006149292]
['CO', 271, 'BO', 64, 'logname', 'dot', 'O2', 'O0', 1.0, 0.02405571937561035]
['BO', 38, 'CO', 255, 'acyclic', 'numfmt', 'O2', 'O2', 0.9731182795698925, 0.04813528060913086]
['BO', 45, 'UO', 56, 'diff', 'elfedit', 'O2', 'O3', 0.986050566695728, 0.25791454315185547]
['BO', 61, 'CO', 237, 'git', 'nproc', 'O1', 'O2', 0.9991318690858582, 3.38234281539917]
