['BO', 54, 'CO', 4, 'lua', 'test', 'O3', 'O3', 0.9906367041198502, 0.707697868347168]
['UO', 52, 'CO', 71, 'ld', 'readlink', 'O3', 'O3', 0.9952646239554318, 1.6890490055084229]
['UO', 14, 'CO', 40, 'ar', 'sync', 'O1', 'O3', 0.9960714987232371, 1.0342655181884766]
['UO', 17, 'CO', 45, 'objdump', 'split', 'O1', 'O3', 0.9966572383646182, 2.567042112350464]
['BO', 8, 'CO', 336, 'cp', 'tee', 'O0', 'O0', 0.9856209150326798, 0.2990992069244385]
['UO', 6, 'CO', 259, 'as', 'realpath', 'O1', 'O2', 0.9938056523422377, 1.7519879341125488]
['CO', 232, 'BO', 41, 'tee', 'libSDL2-2.0.so.0.16.0', 'O2', 'O2', 0.9799095931692616, 2.061673164367676]
['CO', 341, 'BO', 66, 'nproc', 'svn', 'O0', 'O2', 0.9829129373474369, 0.7099785804748535]
['UO', 67, 'BO', 36, 'strip', 'cluster', 'O0', 'O2', 0.9915957332184032, 6.56627631187439]
['CO', 135, 'UO', 87, 'date', 'find', 'O1', 'O0', 0.9685929648241206, 1.176069736480713]
['UO', 73, 'CO', 1, 'objcopy', 'touch', 'O0', 'O3', 0.9972235076353541, 2.9839484691619873]
['CO', 132, 'UO', 5, 'factor', 'readelf', 'O1', 'O1', 0.953204476093591, 0.817920446395874]
['BO', 53, 'CO', 73, 'bash', 'hostid', 'O0', 'O3', 0.9975379565038982, 2.1100072860717773]
['UO', 10, 'CO', 204, 'objcopy', 'tac', 'O1', 'O1', 0.9924346629986245, 1.363532543182373]
['CO', 367, 'UO', 6, 'cp', 'as', 'O0', 'O1', 0.9562428407789233, 7.443023920059204]
['CO', 343, 'BO', 37, 'date', 'gvmap', 'O0', 'O2', 0.9532093581283744, 0.5561549663543701]
['CO', 116, 'UO', 79, 'ptx', 'size', 'O1', 'O0', 0.9878954607977992, 2.920786142349243]
['CO', 330, 'UO', 1, 'uptime', 'xargs', 'O0', 'O1', 0.9410377358490566, 0.21865177154541016]
['BO', 76, 'CO', 270, 'openssl', 'printf', 'O2', 'O2', 0.9953508966127961, 2.5059256553649902]
['CO', 359, 'BO', 71, 'numfmt', 'libSDL2-2.0.so.0.16.0', 'O0', 'O0', 0.9785282468209298, 4.549123525619507]
['UO', 70, 'CO', 185, 'ranlib', 'cat', 'O0', 'O1', 0.9951199674664498, 1.5795793533325195]
['CO', 202, 'BO', 51, 'sleep', 'lua', 'O1', 'O1', 0.9656523049111179, 0.6324496269226074]
['CO', 8, 'UO', 80, 'dir', 'objdump', 'O3', 'O0', 0.986228813559322, 8.318580150604248]
['UO', 51, 'CO', 165, 'objcopy', 'cksum', 'O3', 'O1', 0.9935368043087971, 0.9908039569854736]
['CO', 302, 'BO', 50, 'rm', 'perl', 'O2', 'O2', 0.983336587906008, 4.91275954246521]
['CO', 376, 'UO', 77, 'tty', 'ar', 'O0', 'O0', 0.9902293391233546, 1.8167109489440918]
['CO', 83, 'UO', 0, 'csplit', 'locate', 'O3', 'O1', 0.9510328997704667, 0.35510921478271484]
['BO', 62, 'CO', 360, 'bash', 'ls', 'O1', 'O0', 0.9932293986636971, 8.804747819900513]
['BO', 83, 'CO', 278, 'lua', 'b2sum', 'O2', 'O2', 0.9882352941176471, 0.7702510356903076]
['CO', 24, 'BO', 36, 'tee', 'cluster', 'O3', 'O2', 0.9479768786127167, 0.3181447982788086]
['BO', 8, 'CO', 160, 'cp', 'cut', 'O0', 'O1', 0.9682959048877147, 0.3025195598602295]
['BO', 65, 'CO', 296, 'gvmap', 'shred', 'O0', 'O2', 0.977218794494542, 0.6371645927429199]
['CO', 320, 'UO', 39, 'dir', 'size', 'O0', 'O2', 0.9613420860685631, 4.225111246109009]
['CO', 22, 'BO', 64, 'pwd', 'dot', 'O3', 'O0', 1.0, 0.03344440460205078]
['CO', 297, 'UO', 15, 'pathchk', 'elfedit', 'O2', 'O1', 0.9526881720430107, 0.0669703483581543]
['CO', 244, 'BO', 38, 'pinky', 'acyclic', 'O2', 'O2', 0.9814814814814815, 0.038828372955322266]
['CO', 257, 'BO', 64, 'nice', 'dot', 'O2', 'O0', 1.0, 0.024352550506591797]
['BO', 18, 'UO', 87, 'libvlc.so.12.0.0', 'find', 'O1', 'O0', 0.9705488621151271, 4.454755067825317]
['UO', 73, 'CO', 55, 'objcopy', 'cp', 'O0', 'O3', 0.9935755427558707, 5.517056226730347]
['BO', 53, 'CO', 297, 'bash', 'pathchk', 'O0', 'O2', 0.9978584960052714, 1.9312918186187744]
['UO', 59, 'CO', 199, 'locate', 'sha224sum', 'O3', 'O1', 0.978021978021978, 0.2363266944885254]
['BO', 66, 'UO', 10, 'svn', 'objcopy', 'O2', 'O1', 0.9680247550283652, 10.67086935043335]
['UO', 74, 'CO', 231, 'ld', 'pr', 'O0', 'O2', 0.9966842207918861, 3.4168858528137207]
['CO', 380, 'BO', 21, 'yes', 'cp', 'O0', 'O1', 0.9235294117647059, 0.18696069717407227]
