['BO', 80, 'UO', 71, 'ssh', 'c++filt', 'O3', 'O0', 0.9795580940928904, 35.725427865982056]
['UO', 22, 'CO', 140, 'diff3', 'pinky', 'O2', 'O1', 0.9142857142857143, 0.09256863594055176]
['CO', 78, 'UO', 56, 'chcon', 'elfedit', 'O3', 'O3', 0.9894039735099338, 0.1479649543762207]
['UO', 68, 'CO', 69, 'readelf', 'who', 'O0', 'O3', 0.9959214886566403, 0.9562473297119141]
['CO', 61, 'UO', 46, 'cksum', 'readelf', 'O3', 'O3', 0.9828326180257511, 0.5551755428314209]
['CO', 350, 'BO', 59, 'sha1sum', 'libgeany.so.0.0.0', 'O0', 'O3', 0.9917556128082444, 10.527612924575806]
['CO', 342, 'UO', 5, 'expand', 'readelf', 'O0', 'O1', 0.95630725863284, 0.6281225681304932]
['UO', 56, 'BO', 66, 'elfedit', 'svn', 'O3', 'O2', 0.9346510689794272, 0.5747013092041016]
['CO', 83, 'BO', 10, 'csplit', 'openssl', 'O3', 'O3', 0.9906338488346765, 4.147227764129639]
['UO', 87, 'CO', 19, 'find', 'dd', 'O0', 'O3', 0.9866585809581565, 1.2658088207244873]
['CO', 329, 'BO', 68, 'stdbuf', 'git', 'O0', 'O3', 0.9898941913193695, 6.26641845703125]
['CO', 398, 'BO', 2, 'timeout', 'perl', 'O0', 'O1', 0.9860865598448993, 4.016806125640869]
['BO', 19, 'CO', 389, 'libvlccore.so.9.0.0', 'env', 'O1', 'O0', 0.9976945244956772, 2.7220089435577393]
['UO', 79, 'CO', 275, 'size', 'nohup', 'O0', 'O2', 0.996307867083215, 1.3279683589935303]
['CO', 311, 'UO', 76, 'ln', 'addr2line', 'O2', 'O0', 0.9851933095695092, 3.1974475383758545]
['CO', 210, 'UO', 24, 'stat', 'diff', 'O2', 'O2', 0.9005196733481812, 0.3441500663757324]
['CO', 97, 'UO', 54, 'uniq', 'addr2line', 'O3', 'O3', 0.9721984602224123, 1.3248403072357178]
['CO', 374, 'BO', 73, 'printf', 'cluster', 'O0', 'O1', 0.9410526315789474, 0.3620119094848633]
['CO', 86, 'BO', 2, 'timeout', 'perl', 'O3', 'O1', 0.9896089066514416, 3.7843635082244873]
['CO', 315, 'UO', 25, 'unlink', 'sdiff', 'O0', 'O2', 0.8918918918918919, 0.08778262138366699]
['CO', 222, 'UO', 16, 'stty', 'size', 'O2', 'O1', 0.9702970297029703, 1.2408337593078613]
['CO', 188, 'UO', 27, 'vdir', 'strip', 'O1', 'O2', 0.9555340744320928, 3.9701874256134033]
['CO', 410, 'BO', 29, 'sleep', 'libvlc.so.12.0.0', 'O0', 'O2', 0.981404958677686, 0.5818459987640381]
['UO', 41, 'CO', 301, 'locate', 'nl', 'O2', 'O2', 0.9817184643510055, 0.2109699249267578]
['BO', 7, 'CO', 77, 'sort', 'env', 'O0', 'O3', 0.9781420765027322, 0.21828722953796387]
['BO', 61, 'CO', 132, 'git', 'factor', 'O1', 'O1', 0.99845087998623, 6.4430928230285645]
['CO', 204, 'UO', 31, 'tac', 'c++filt', 'O1', 'O2', 0.9717022202873313, 1.169118881225586]
['BO', 21, 'CO', 253, 'cp', 'split', 'O1', 'O2', 0.9611992945326279, 0.23143553733825684]
['UO', 16, 'CO', 364, 'size', 'sha256sum', 'O1', 'O0', 0.9873262469337695, 1.3997223377227783]
['BO', 57, 'CO', 303, 'libvlccore.so.9.0.0', 'sha224sum', 'O3', 'O2', 0.9986718527653923, 2.248021364212036]
['CO', 372, 'UO', 27, 'base64', 'strip', 'O0', 'O2', 0.9729682288923995, 1.608508586883545]
['CO', 279, 'BO', 53, 'readlink', 'bash', 'O2', 'O0', 0.9880484610347086, 2.9614317417144775]
['CO', 268, 'UO', 23, 'base64', 'cmp', 'O2', 'O2', 0.8787878787878788, 0.05856728553771973]
['BO', 30, 'CO', 337, 'libvlccore.so.9.0.0', 'chgrp', 'O2', 'O0', 0.9979538690476191, 4.782159328460693]
['BO', 42, 'CO', 169, 'cmp', 'false', 'O1', 'O1', 0.9323467230443975, 0.058586835861206055]
['UO', 1, 'CO', 212, 'xargs', 'test', 'O1', 'O2', 0.952317880794702, 0.1388988494873047]
['CO', 18, 'BO', 6, 'uptime', 'codeblocks', 'O3', 'O0', 0.9971711456859972, 9.115642786026001]
['BO', 42, 'CO', 229, 'cmp', 'mktemp', 'O1', 'O2', 0.9030520646319569, 0.07757806777954102]
['UO', 10, 'CO', 69, 'objcopy', 'who', 'O1', 'O3', 0.9921742089145968, 1.5431678295135498]
['CO', 300, 'BO', 69, 'sha512sum', 'cmp', 'O2', 'O3', 0.9193857965451055, 0.06622171401977539]
['BO', 80, 'UO', 79, 'ssh', 'size', 'O3', 'O0', 0.9792382374906646, 36.29395365715027]
['CO', 389, 'BO', 55, 'env', 'make', 'O0', 'O1', 0.9689213893967094, 0.510272741317749]
['UO', 9, 'CO', 95, 'strings', 'sha224sum', 'O1', 'O3', 0.9941980936593452, 1.1361474990844727]
