['CV', 28, 'BV', 75, 'chown', 'cmp', 'V2', 'V2', 0.93974175035868, 0.10369205474853516]
['BV', 74, 'CV', 71, 'git', '[', 'V1', 'V2', 0.9988631078497235, 3.338192939758301]
['UV', 2, 'CV', 307, 'find', 'cut', 'V2', 'V1', 0.9950124688279302, 0.21212506294250488]
['BV', 60, 'UV', 44, 'codeblocks', 'diff3', 'V1', 'V1', 0.9986075068042282, 5.029900550842285]
['CV', 278, 'UV', 34, 'mkfifo', 'elfedit', 'V1', 'V3', 0.9669811320754716, 0.05422854423522949]
['BV', 69, 'CV', 42, 'gvmap', 'dircolors', 'V0', 'V2', 0.9826224328593997, 0.2160487174987793]
['UV', 31, 'BV', 54, 'gprof', 'lua', 'V3', 'V3', 0.9750843498572541, 9.706767559051514]
['CV', 10, 'UV', 45, 'ptx', 'cmp', 'V2', 'V1', 0.9776876267748479, 0.15433859825134277]
['BV', 11, 'CV', 162, 'bash', 'tr', 'V1', 'V3', 0.9965797349294571, 2.191742181777954]
['BV', 59, 'CV', 340, 'make', 'fold', 'V1', 'V1', 0.996031746031746, 0.2757551670074463]
['UV', 26, 'CV', 161, 'ranlib', 'pathchk', 'V3', 'V3', 0.9959522363893949, 1.0174849033355713]
['CV', 4, 'BV', 57, 'basename', 'svn', 'V2', 'V2', 0.9841269841269842, 0.4186587333679199]
['CV', 323, 'BV', 9, 'unexpand', 'dot', 'V1', 'V2', 1.0, 0.02242588996887207]
['UV', 47, 'CV', 336, 'sdiff', 'tr', 'V1', 'V1', 0.9410801963993454, 0.07370805740356445]
['BV', 23, 'CV', 301, 'diff', 'ls', 'V3', 'V1', 0.9612456747404844, 0.3906373977661133]
['CV', 146, 'BV', 18, 'head', 'sort', 'V3', 'V3', 0.8856181665264928, 0.22036004066467285]
['UV', 67, 'BV', 33, 'cmp', 'openssl', 'V0', 'V0', 0.9888888888888889, 4.321695566177368]
['BV', 2, 'CV', 264, 'cmp', 'test', 'V1', 'V1', 0.9695652173913043, 0.04719877243041992]
['CV', 25, 'UV', 19, 'expand', 'elfedit', 'V2', 'V2', 0.9824945295404814, 0.06546974182128906]
['CV', 233, 'UV', 63, 'head', 'elfedit', 'V0', 'V1', 0.9564270152505446, 0.06609249114990234]
['UV', 78, 'CV', 49, 'c++filt', 'tsort', 'V0', 'V2', 0.9964069166853806, 0.7445662021636963]
['CV', 136, 'BV', 21, 'tsort', 'cp', 'V3', 'V1', 0.8922651933701657, 0.11017847061157227]
['CV', 41, 'BV', 19, 'nice', 'cp', 'V2', 'V3', 0.8702807357212003, 0.14147090911865234]
['CV', 66, 'BV', 75, 'link', 'cmp', 'V2', 'V2', 0.9150743099787686, 0.05270981788635254]
['CV', 272, 'UV', 42, 'printenv', 'diff', 'V1', 'V3', 0.9294566253574833, 0.11341094970703125]
['UV', 35, 'BV', 31, 'size', 'codeblocks', 'V3', 'V0', 0.9817167647970251, 58.30626082420349]
['UV', 87, 'CV', 236, 'objdump', 'unexpand', 'V0', 'V0', 0.9978148899641017, 0.7937955856323242]
['UV', 35, 'BV', 38, 'size', 'ruby', 'V3', 'V2', 0.9977411339507567, 0.1262378692626953]
['CV', 83, 'BV', 5, 'tac', 'libvlccore.so', 'V2', 'V0', 0.9810270680495826, 3.479649066925049]
['CV', 223, 'BV', 43, 'tsort', 'lua', 'V0', 'V0', 0.9582329317269076, 0.356431245803833]
['BV', 22, 'CV', 221, 'cmp', 'od', 'V3', 'V0', 0.9426386233269598, 0.0640249252319336]
['CV', 244, 'BV', 2, 'vdir', 'cmp', 'V0', 'V1', 0.9369482976040353, 0.13003134727478027]
['UV', 87, 'CV', 346, 'objdump', 'mknod', 'V0', 'V1', 0.9981282171268133, 0.8122673034667969]
['BV', 54, 'UV', 75, 'lua', 'readelf', 'V3', 'V0', 0.977825982164377, 2.4283320903778076]
['CV', 215, 'BV', 44, 'nice', 'make', 'V0', 'V0', 0.9654427645788337, 0.24113845825195312]
['UV', 67, 'BV', 2, 'cmp', 'cmp', 'V0', 'V1', 0.8745644599303136, 0.06432723999023438]
['CV', 304, 'BV', 55, 'chmod', 'codeblocks', 'V1', 'V3', 0.9927088482451805, 5.3671555519104]
['UV', 87, 'CV', 185, 'objdump', 'printenv', 'V0', 'V0', 0.9984323561686784, 0.6480145454406738]
['UV', 11, 'CV', 256, 'ranlib', 'sort', 'V2', 'V0', 0.9945216200352182, 1.4044699668884277]
['CV', 260, 'BV', 5, 'ln', 'libvlccore.so', 'V0', 'V0', 0.9902258618412363, 1.5916666984558105]
['BV', 52, 'CV', 237, 'libSDL2-2.0.so', 'mv', 'V2', 'V0', 0.9945191828599901, 3.0684797763824463]
['CV', 217, 'UV', 30, 'chmod', 'ld', 'V0', 'V3', 0.9777402085094393, 1.6110186576843262]
['UV', 51, 'CV', 175, 'nm', 'stat', 'V1', 'V0', 0.9958237627897265, 0.7975833415985107]
['CV', 319, 'BV', 50, 'readlink', 'sort', 'V1', 'V0', 0.8918918918918919, 0.056955814361572266]
['BV', 24, 'CV', 309, 'git', 'df', 'V0', 'V1', 0.998681450404555, 3.324399948120117]
['CV', 322, 'BV', 38, 'ginstall', 'ruby', 'V1', 'V2', 1.0, 0.02368903160095215]
['UV', 15, 'CV', 295, 'ld', 'echo', 'V2', 'V1', 0.9988434292323262, 0.7652716636657715]
['CV', 271, 'UV', 72, 'ptx', 'find', 'V1', 'V0', 0.9001248439450686, 0.4486427307128906]
['CV', 86, 'UV', 61, 'ln', 'addr2line', 'V2', 'V1', 0.9670984988690109, 1.3358790874481201]
['BV', 83, 'CV', 86, 'git', 'ln', 'V2', 'V2', 0.9987885605503396, 5.640706539154053]
['CV', 50, 'UV', 2, 'cksum', 'find', 'V2', 'V2', 0.9375, 0.23103737831115723]
['CV', 93, 'BV', 76, 'fmt', 'diff', 'V3', 'V2', 0.8976510067114094, 0.20555329322814941]
['UV', 36, 'CV', 274, 'objdump', 'join', 'V3', 'V1', 0.9980936819172114, 1.3749299049377441]
['UV', 66, 'CV', 22, 'diff3', 'kill', 'V0', 'V2', 0.9592529711375212, 0.06799006462097168]
['CV', 3, 'BV', 26, 'test', 'geany', 'V2', 'V2', 0.9934576088904822, 5.660419702529907]
['CV', 274, 'BV', 52, 'join', 'libSDL2-2.0.so', 'V1', 'V2', 0.9811710085117359, 1.9497575759887695]
['UV', 77, 'CV', 277, 'ranlib', 'dd', 'V0', 'V1', 0.9950900163666121, 1.1200766563415527]
['CV', 292, 'BV', 13, 'sha1sum', 'cp', 'V1', 'V2', 0.9215686274509804, 0.1220698356628418]
['CV', 334, 'UV', 36, 'shred', 'objdump', 'V1', 'V3', 0.9821958456973294, 2.0104897022247314]
['UV', 53, 'CV', 255, 'readelf', 'sleep', 'V1', 'V0', 0.9915907498248073, 0.18490982055664062]
['BV', 65, 'CV', 98, 'ssh', 'printenv', 'V1', 'V3', 0.9984781616192361, 2.008687734603882]
['BV', 56, 'CV', 230, 'ssh', 'yes', 'V3', 'V0', 0.9987623762376238, 0.7258498668670654]
['CV', 70, 'UV', 81, 'vdir', 'ld', 'V2', 'V0', 0.9714774671990872, 3.466805934906006]
['CV', 247, 'BV', 79, 'shred', 'bash', 'V0', 'V3', 0.9843014128728415, 2.3831915855407715]
['BV', 46, 'CV', 283, 'cluster', 'kill', 'V3', 'V1', 0.9922057677318784, 0.19123172760009766]
