['BV', 43, 'UV', 17, 'lua', 'addr2line', 'V0', 'V2', 0.9638182085600824, 7.916723966598511]
['BV', 44, 'CV', 120, 'make', 'sync', 'V0', 'V3', 0.9866939611054247, 0.36174559593200684]
['UV', 18, 'CV', 35, 'ar', 'sum', 'V2', 'V2', 0.9971938264181198, 0.9894037246704102]
['CV', 251, 'UV', 8, 'nl', 'strip', 'V0', 'V2', 0.9612558450233801, 2.105282783508301]
['UV', 58, 'CV', 51, 'objcopy', 'printf', 'V1', 'V2', 0.9951706374758532, 1.4184529781341553]
['CV', 114, 'UV', 8, 'expr', 'strip', 'V3', 'V2', 0.9671289162814587, 1.5681331157684326]
['BV', 65, 'UV', 38, 'ssh', 'xargs', 'V1', 'V3', 0.998062881835792, 5.289160251617432]
['BV', 4, 'CV', 215, 'geany', 'nice', 'V3', 'V0', 0.9995830032108752, 3.06856369972229]
['CV', 51, 'UV', 11, 'printf', 'ranlib', 'V2', 'V2', 0.9734232447441491, 1.2580218315124512]
['CV', 36, 'UV', 42, 'chroot', 'diff', 'V2', 'V3', 0.9138673557278209, 0.1900191307067871]
['BV', 7, 'CV', 48, 'libSDL2-2.0.so', 'df', 'V0', 'V2', 0.9910821471445721, 2.1566054821014404]
['BV', 66, 'CV', 234, 'lua', 'hostid', 'V1', 'V0', 0.9932835820895523, 0.308077335357666]
['BV', 51, 'CV', 107, 'cp', 'tee', 'V0', 'V3', 0.9232876712328767, 0.10987591743469238]
['BV', 67, 'CV', 314, 'cluster', 'tty', 'V0', 'V1', 0.9821905609973286, 0.1405794620513916]
['BV', 66, 'CV', 153, 'lua', 'link', 'V1', 'V3', 0.992816091954023, 0.5128262042999268]
['BV', 70, 'CV', 46, 'ssh', 'cut', 'V0', 'V2', 0.9979689086790094, 2.4723446369171143]
['CV', 269, 'UV', 23, 'du', 'strip', 'V1', 'V3', 0.9742135121196493, 2.0523428916931152]
['UV', 26, 'CV', 329, 'ranlib', 'cat', 'V3', 'V1', 0.9970990468296727, 0.6402072906494141]
['UV', 65, 'CV', 181, 'objdump', 'dir', 'V1', 'V0', 0.9934031263444716, 2.753784656524658]
['UV', 33, 'BV', 60, 'ar', 'codeblocks', 'V3', 'V1', 0.9800836486755626, 61.66391706466675]
['UV', 54, 'CV', 66, 'as', 'link', 'V1', 'V2', 0.9981034949878081, 1.0662696361541748]
['UV', 10, 'BV', 13, 'as', 'cp', 'V2', 'V2', 0.9931809571915646, 3.8093154430389404]
['BV', 3, 'CV', 175, 'diff', 'stat', 'V1', 'V0', 0.9855222337125129, 0.12598228454589844]
['UV', 26, 'CV', 132, 'ranlib', 'cp', 'V3', 'V3', 0.9862119013062409, 3.1033143997192383]
['BV', 75, 'CV', 344, 'cmp', 'tac', 'V2', 'V1', 0.9112801013941698, 0.12459492683410645]
['CV', 4, 'UV', 71, 'basename', 'xargs', 'V2', 'V0', 0.8647342995169083, 0.043927907943725586]
['CV', 242, 'BV', 13, 'cat', 'cp', 'V0', 'V2', 0.9163679808841099, 0.10030126571655273]
['CV', 262, 'BV', 21, 'stat', 'cp', 'V1', 'V1', 0.8913738019169329, 0.08303570747375488]
['CV', 27, 'UV', 69, 'expr', 'sdiff', 'V2', 'V0', 0.956745623069001, 0.1809978485107422]
['CV', 230, 'BV', 75, 'yes', 'cmp', 'V0', 'V2', 0.8405797101449275, 0.03763628005981445]
['CV', 232, 'BV', 34, 'readlink', 'svn', 'V0', 'V0', 0.9726858877086495, 0.35730981826782227]
['CV', 117, 'UV', 80, 'pinky', 'objcopy', 'V3', 'V0', 0.976, 1.5271878242492676]
['CV', 229, 'BV', 27, 'nohup', 'libSDL2-2.0.so', 'V0', 'V1', 0.9841446453407511, 1.307847023010254]
