['UO', 22, 'CO', 392, 'diff3', 'uname', 'O2', 'O0', 0.9518072289156626, 0.0850379467010498]
['UO', 1, 'CO', 143, 'xargs', 'paste', 'O1', 'O1', 0.9572192513368984, 0.1456913948059082]
['UO', 20, 'CO', 247, 'diff', 'paste', 'O1', 'O2', 0.97632058287796, 0.15867972373962402]
['CO', 220, 'UO', 4, 'ptx', 'strip', 'O2', 'O1', 0.9700840336134454, 1.9401447772979736]
['UO', 77, 'CO', 56, 'ar', 'cut', 'O0', 'O3', 0.9967759269210102, 1.881744146347046]
['BO', 41, 'CO', 258, 'libSDL2-2.0.so.0.16.0', 'dircolors', 'O2', 'O2', 0.9957334671853432, 1.630460500717163]
['CO', 105, 'UO', 83, 'touch', 'diff', 'O1', 'O0', 0.9317871759890859, 0.4154016971588135]
['BO', 55, 'UO', 1, 'make', 'xargs', 'O1', 'O1', 0.9859909353110836, 0.7978582382202148]
['UO', 50, 'CO', 379, 'strings', 'nohup', 'O3', 'O0', 0.9929747530186608, 1.0453972816467285]
['BO', 32, 'CO', 221, 'ruby', 'printenv', 'O2', 'O2', 0.9996089625777187, 3.167480707168579]
['UO', 48, 'BO', 36, 'ranlib', 'cluster', 'O3', 'O2', 0.9782494299245746, 3.8622758388519287]
['UO', 82, 'CO', 142, 'cmp', 'sha1sum', 'O0', 'O1', 0.92, 0.09701085090637207]
['CO', 165, 'UO', 15, 'cksum', 'elfedit', 'O1', 'O1', 0.9561752988047809, 0.08399415016174316]
['CO', 232, 'BO', 30, 'tee', 'libvlccore.so.9.0.0', 'O2', 'O2', 0.990228013029316, 2.4602527618408203]
['BO', 43, 'CO', 269, 'diff', 'cksum', 'O1', 'O2', 0.9777777777777777, 0.14735841751098633]
['CO', 181, 'BO', 39, 'env', 'codeblocks', 'O1', 'O3', 0.9954676303056287, 4.409660577774048]
['UO', 63, 'CO', 319, 'cmp', 'fmt', 'O3', 'O0', 0.9412780656303973, 0.09254622459411621]
['CO', 25, 'BO', 69, 'chgrp', 'cmp', 'O3', 'O3', 0.9402597402597402, 0.12290549278259277]
['CO', 7, 'UO', 62, 'fmt', 'diff3', 'O3', 'O3', 0.8906474820143885, 0.09908390045166016]
['CO', 168, 'BO', 62, 'tty', 'bash', 'O1', 'O1', 0.9852969626620236, 2.0294973850250244]
['CO', 22, 'BO', 57, 'pwd', 'libvlccore.so.9.0.0', 'O3', 'O3', 0.991305169643701, 2.9885783195495605]
['CO', 276, 'BO', 79, 'yes', 'bash', 'O2', 'O3', 0.9890337078651685, 1.593531847000122]
['CO', 375, 'UO', 0, 'logname', 'locate', 'O0', 'O1', 0.9429081177520071, 0.24028277397155762]
['CO', 219, 'UO', 44, 'groups', 'nm', 'O2', 'O3', 0.98, 0.9314591884613037]
['BO', 13, 'UO', 73, 'ruby', 'objcopy', 'O1', 'O0', 0.9946891261198434, 175.7844696044922]
['BO', 71, 'UO', 77, 'libSDL2-2.0.so.0.16.0', 'ar', 'O0', 'O0', 0.9870042297554098, 53.056639194488525]
['CO', 50, 'BO', 57, 'dircolors', 'libvlccore.so.9.0.0', 'O3', 'O3', 0.9926352563497309, 3.0158801078796387]
['CO', 31, 'BO', 51, 'date', 'lua', 'O3', 'O1', 0.9540229885057472, 1.1939105987548828]
['CO', 330, 'BO', 68, 'uptime', 'git', 'O0', 'O3', 0.9905098783538953, 7.521582365036011]
['UO', 53, 'BO', 60, 'gprof', 'openssl', 'O3', 'O0', 0.9796017484215639, 43.809322118759155]
['BO', 83, 'UO', 5, 'lua', 'readelf', 'O2', 'O1', 0.9669271306560058, 5.08450984954834]
['UO', 78, 'CO', 157, 'elfedit', 'chmod', 'O0', 'O1', 0.9530386740331491, 0.1473684310913086]
['UO', 26, 'CO', 32, 'nm', 'expr', 'O2', 'O3', 0.994187253477268, 1.2282602787017822]
['UO', 65, 'CO', 348, 'sdiff', 'pinky', 'O3', 'O0', 0.9263456090651558, 0.1270918846130371]
