['CO', 171, 'BO', 8, 'nohup', 'cp', 'O1', 'O0', 0.9244264507422402, 0.28243494033813477]
['CO', 244, 'BO', 28, 'pinky', 'ruby', 'O2', 'O0', 0.9931469670240195, 5.318826675415039]
['CO', 339, 'UO', 50, 'wc', 'strings', 'O0', 'O3', 0.9690455717970765, 1.4955081939697266]
['BO', 10, 'CO', 101, 'openssl', 'rmdir', 'O3', 'O3', 0.9975693293558723, 2.489955186843872]
['CO', 350, 'BO', 77, 'sha1sum', 'libSDL2-2.0.so.0.16.0', 'O0', 'O3', 0.977249690280437, 3.0233519077301025]
['CO', 405, 'UO', 84, 'nl', 'sdiff', 'O0', 'O0', 0.9094540612516644, 0.13431954383850098]
['CO', 271, 'BO', 75, 'logname', 'gvmap', 'O2', 'O1', 0.9618488628026413, 0.2054886817932129]
['BO', 39, 'CO', 33, 'codeblocks', 'chown', 'O3', 'O3', 0.9974706413730804, 6.537283897399902]
['CO', 53, 'UO', 25, 'chmod', 'sdiff', 'O3', 'O2', 0.9317073170731707, 0.14836835861206055]
['UO', 8, 'CO', 198, 'c++filt', 'rm', 'O1', 'O1', 0.9815778934721666, 1.954935073852539]
['CO', 315, 'BO', 29, 'unlink', 'libvlc.so.12.0.0', 'O0', 'O2', 0.9812402292860865, 0.535743236541748]
['CO', 150, 'UO', 59, 'whoami', 'locate', 'O1', 'O3', 0.9591439688715954, 0.19234800338745117]
['BO', 62, 'CO', 119, 'bash', 'join', 'O1', 'O1', 0.9946467832903164, 2.6596152782440186]
['UO', 44, 'CO', 335, 'nm', 'pr', 'O3', 'O0', 0.9902220411489102, 1.9256510734558105]
['UO', 59, 'CO', 264, 'locate', 'cut', 'O3', 'O2', 0.9792060491493384, 0.2068178653717041]
['CO', 226, 'UO', 1, 'uptime', 'xargs', 'O2', 'O1', 0.9435897435897436, 0.16858553886413574]
['CO', 23, 'BO', 40, 'pr', 'lua', 'O3', 'O0', 0.9795776282200046, 1.5437524318695068]
['CO', 45, 'UO', 83, 'split', 'diff', 'O3', 'O0', 0.8924731182795699, 0.3963303565979004]
['CO', 50, 'BO', 48, 'dircolors', 'libvlccore.so.9.0.0', 'O3', 'O0', 0.9961359570661896, 5.312490224838257]
['UO', 21, 'CO', 390, 'sdiff', 'chcon', 'O1', 'O0', 0.9279279279279279, 0.23581433296203613]
['UO', 86, 'CO', 14, 'xargs', 'stty', 'O0', 'O3', 0.9771547248182763, 0.23323416709899902]
['CO', 69, 'BO', 66, 'who', 'svn', 'O3', 'O2', 0.9803149606299213, 0.8470442295074463]
['UO', 7, 'CO', 194, 'ranlib', 'tr', 'O1', 'O1', 0.9925954793452845, 1.2549676895141602]
